architecture,objective,variant,hidden_cap,seed,off_test_ba,on_test_ba,delta_test_ba_reg_on_minus_off,off_last_hidden_events_per_neuron_second,on_last_hidden_events_per_neuron_second,delta_last_hidden_events_per_neuron_second
short_mid_long,whole_count_ce,binary,1,11,0.2335678210678211,0.08333333333333333,-0.15023448773448778,5.432571239231279,0.40680914512922467,-5.0257620941020535
short_mid_long,whole_count_ce,binary,1,23,0.2314713064713065,0.08766233766233766,-0.14380896880896885,4.828528827037774,0.832090788601723,-3.9964380384360507
short_mid_long,whole_count_ce,binary,1,37,0.2239607614607614,0.08333333333333333,-0.14062742812742807,5.190772034459907,0.0,-5.190772034459907
short_mid_long,whole_count_ce,binary,1,53,0.1978785103785103,0.08333333333333333,-0.11454517704517696,3.531022200132538,0.05591451292246521,-3.475107687210073
short_mid_long,whole_count_ce,binary,1,71,0.2067370129870129,0.08333333333333333,-0.12340367965367958,4.86174618952949,0.11187044400265077,-4.74987574552684
short_mid_long,whole_count_ce,multi_h,31,11,0.1896714396714397,0.08928571428571429,-0.10038572538572542,19.34638005301524,0.6947481776010603,-18.65163187541418
short_mid_long,whole_count_ce,multi_h,31,23,0.2253496503496503,0.07413419913419914,-0.15121545121545116,18.323765738899933,1.9396951623591783,-16.384070576540754
short_mid_long,whole_count_ce,multi_h,31,37,0.2071969696969696,0.08333333333333333,-0.12386363636363627,22.01685719019218,0.460818422796554,-21.556038767395627
short_mid_long,whole_count_ce,multi_h,31,53,0.1634199134199134,0.08333333333333333,-0.08008658008658008,9.589131875414182,0.08258780649436713,-9.506544068919816
short_mid_long,whole_count_ce,multi_h,31,71,0.157059607059607,0.08333333333333333,-0.07372627372627368,26.11178760768721,0.10304837640821736,-26.00873923127899
short_mid_long,timestep_ce,binary,1,11,0.1098484848484848,0.08333333333333333,-0.026515151515151478,1.5637839628893306,0.03230616302186879,-1.5314777998674618
short_mid_long,timestep_ce,binary,1,23,0.1327922077922078,0.08766233766233766,-0.04512987012987013,2.4341865473823723,0.8316351888667992,-1.602551358515573
short_mid_long,timestep_ce,binary,1,37,0.1525974025974026,0.08333333333333333,-0.06926406926406926,2.611994698475812,0.2379473161033797,-2.3740473823724324
short_mid_long,timestep_ce,binary,1,53,0.1384448884448884,0.08333333333333333,-0.05511155511155506,1.6695245195493704,0.05595593108018555,-1.6135685884691848
short_mid_long,timestep_ce,binary,1,71,0.1268398268398268,0.08333333333333333,-0.04350649350649348,1.755881378396289,0.1122846255798542,-1.6435967528164348
short_mid_long,timestep_ce,multi_h,31,11,0.1439393939393939,0.08928571428571429,-0.05465367965367961,10.286737905897946,0.6946239231278992,-9.592113982770046
short_mid_long,timestep_ce,multi_h,31,23,0.1515151515151515,0.0817099567099567,-0.06980519480519479,12.135271703114643,1.9392809807819749,-10.195990722332668
short_mid_long,timestep_ce,multi_h,31,37,0.1165584415584415,0.08333333333333333,-0.03322510822510817,5.142726971504308,0.4606113320079523,-4.682115639496356
short_mid_long,timestep_ce,multi_h,31,53,0.1387445887445887,0.08333333333333333,-0.05541125541125537,7.088055003313452,0.0824635520212061,-7.005591451292246
short_mid_long,timestep_ce,multi_h,31,71,0.1293290043290043,0.08333333333333333,-0.045995670995670965,4.738278661365142,0.12098243870112657,-4.617296222664016
short_mid,whole_count_ce,binary,1,11,0.441629204129204,0.08333333333333333,-0.35829587079587066,9.800985752153744,0.04990888005301524,-9.751076872100729
short_mid,whole_count_ce,binary,1,23,0.4869241869241869,0.08333333333333333,-0.40359085359085356,10.414057322730285,0.05231113320079523,-10.36174618952949
short_mid,whole_count_ce,binary,1,37,0.4688956876456876,0.08333333333333333,-0.3855623543123543,11.094599072233269,0.04990888005301524,-11.044690192180253
short_mid,whole_count_ce,binary,1,53,0.4186383061383061,0.08333333333333333,-0.3353049728049728,8.822813121272366,0.009691848906560637,-8.813121272365805
short_mid,whole_count_ce,binary,1,71,0.4699640637140637,0.08333333333333333,-0.38663073038073037,9.455434062292907,0.041998011928429425,-9.413436050364478
short_mid,whole_count_ce,multi_h,31,11,0.4759282384282384,0.08333333333333333,-0.3925949050949051,31.672092445328037,0.05115142478462558,-31.620941020543412
short_mid,whole_count_ce,multi_h,31,23,0.4171363358863358,0.08333333333333333,-0.3338030025530025,38.71479456593771,0.052186878727634195,-38.66260768721008
short_mid,whole_count_ce,multi_h,31,37,0.4283924408924409,0.08333333333333333,-0.34505910755910757,34.74784625579854,0.04982604373757455,-34.69802021206097
short_mid,whole_count_ce,multi_h,31,53,0.4330190642690643,0.08333333333333333,-0.34968573093573097,46.51553180914513,0.009691848906560637,-46.50583996023857
short_mid,whole_count_ce,multi_h,31,71,0.4183899433899434,0.08333333333333333,-0.3350566100566101,34.74399436713055,0.04203943008614977,-34.7019549370444
short_mid,timestep_ce,binary,1,11,0.2570845820845821,0.08333333333333333,-0.1737512487512488,2.867586149768058,0.04990888005301524,-2.817677269715043
short_mid,timestep_ce,binary,1,23,0.3131451881451881,0.08333333333333333,-0.2298118548118548,3.326209410205434,0.052269715043074885,-3.273939695162359
short_mid,timestep_ce,binary,1,37,0.2543539793539793,0.08333333333333333,-0.17102064602064598,3.399271040424122,0.049867461895294896,-3.349403578528827
short_mid,timestep_ce,binary,1,53,0.28996003996004,0.08333333333333333,-0.20662670662670668,3.367544731610338,0.00973326706428098,-3.357811464546057
short_mid,timestep_ce,binary,1,71,0.2927738927738927,0.08333333333333333,-0.2094405594405594,5.23678760768721,0.04195659377070908,-5.1948310139165015
short_mid,timestep_ce,multi_h,31,11,0.2859557109557109,0.08333333333333333,-0.20262237762237756,11.193961232604371,0.05115142478462558,-11.142809807819745
short_mid,timestep_ce,multi_h,31,23,0.2813020313020313,0.08333333333333333,-0.19796869796869798,6.374378727634195,0.052021206096752814,-6.322357521537442
short_mid,timestep_ce,multi_h,31,37,0.2677607115107115,0.08333333333333333,-0.1844273781773782,9.612657388999338,0.04982604373757455,-9.562831345261763
short_mid,timestep_ce,multi_h,31,53,0.2870809745809745,0.08333333333333333,-0.20374764124764116,10.368621603711066,0.00973326706428098,-10.358888336646785
short_mid,timestep_ce,multi_h,31,71,0.3387445887445887,0.08333333333333333,-0.25541125541125537,12.854332339297548,0.04203943008614977,-12.812292909211397
