family,condition,architecture,objective,variant,hidden_cap,output_cap,seed,epochs,primary_readout,best_epoch,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1,native_test_ba,test_last_hidden_events_per_neuron_second,test_mean_dead_neuron_fraction,test_last_hidden_dead_neuron_fraction,test_mean_active_step_fraction,test_last_hidden_active_step_fraction,test_mean_abs_pre_reset_membrane,test_last_hidden_mean_abs_pre_reset_membrane
direct_snn,no_reg,short_mid_long,whole_count_ce,binary,1,1,11,30,output_whole_count,30,0.2609998347831311,0.12003968253968256,0.137987012987013,0.14383561643835616,0.10182948954878779,0.137987012987013,2.7432074221338634,0.2578125,0.0234375,0.017371465650541196,0.042862615970841615,0.1570725208195677,0.31218504542305897
direct_snn,no_reg,short_mid_long,whole_count_ce,binary,1,1,23,30,output_whole_count,30,0.274615067093332,0.15615079365079368,0.12121212121212122,0.13013698630136986,0.09517529838022165,0.12121212121212122,3.029199801192843,0.2682291666666667,0.03125,0.020159641111663355,0.04733124689363817,0.1830687733551828,0.37521875481324296
direct_snn,no_reg,short_mid_long,whole_count_ce,binary,1,1,37,30,output_whole_count,29,0.26635593049508144,0.1492063492063492,0.10381285381285381,0.1095890410958904,0.08237423011315545,0.10381285381285381,2.8446404903909874,0.2604166666666667,0.0,0.017364778343825934,0.04444750766235918,0.13978736559128638,0.2549127470664902
direct_snn,no_reg,short_mid_long,whole_count_ce,binary,1,1,53,30,output_whole_count,27,0.2388723375578259,0.15277777777777776,0.13203463203463203,0.136986301369863,0.08546099521452251,0.13203463203463203,2.0504473161033796,0.2786458333333333,0.0234375,0.012319097567373536,0.032038239314115306,0.1062742302110713,0.1699347014139629
direct_snn,no_reg,short_mid_long,whole_count_ce,binary,1,1,71,30,output_whole_count,29,0.2621241263957243,0.12235449735449734,0.10227272727272728,0.10273972602739725,0.056765130294542054,0.10227272727272728,2.0104373757455267,0.2916666666666667,0.0234375,0.012241007082504968,0.031413083996023855,0.11012956154433366,0.1690558545869103
direct_snn,no_reg,short_mid_long,timestep_ce,binary,1,1,11,30,output_whole_count,1,0.08374999868248112,0.09027777777777778,0.08928571428571429,0.0821917808219178,0.03649425287356322,0.08928571428571429,0.7123508946322068,0.4010416666666667,0.1328125,0.0043010168157720345,0.011130482728628231,0.05673378985107722,0.05123442288974486
direct_snn,no_reg,short_mid_long,timestep_ce,binary,1,1,23,30,output_whole_count,30,0.20523703614112418,0.15972222222222224,0.16666666666666666,0.17123287671232876,0.14333638583638583,0.16666666666666666,1.956138170974155,0.3177083333333333,0.0390625,0.013273440951513144,0.03056465892147117,0.1396893656540844,0.26314897486672173
direct_snn,no_reg,short_mid_long,timestep_ce,binary,1,1,37,30,output_whole_count,12,0.11282602268451325,0.1111111111111111,0.08333333333333333,0.07534246575342465,0.011827956989247311,0.08333333333333333,0.5482521537442014,0.4609375,0.1015625,0.0031799222028937486,0.008566439902253148,0.05255964063297236,0.035213260716993815
direct_snn,no_reg,short_mid_long,timestep_ce,binary,1,1,53,30,output_whole_count,27,0.16751893604025492,0.11805555555555554,0.09956709956709957,0.0958904109589041,0.04796523271649442,0.09956709956709957,0.715498674618953,0.3776041666666667,0.0625,0.004233496589905014,0.01117966679092114,0.05848815035867406,0.052452158185328134
direct_snn,no_reg,short_mid_long,timestep_ce,binary,1,1,71,30,output_whole_count,29,0.15621024386747656,0.11111111111111112,0.091991341991342,0.08904109589041095,0.03301358912869704,0.091991341991342,0.945079522862823,0.3645833333333333,0.078125,0.00565681432239894,0.01476686754473161,0.06819151678647799,0.07246476281471328
