condition,architecture,objective,train_ba_mean,train_ba_std,train_ba_count,val_ba_mean,val_ba_std,val_ba_count,test_ba_mean,test_ba_std,test_ba_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,test_last_hidden_events_per_neuron_second_mean,test_last_hidden_events_per_neuron_second_std,test_last_hidden_events_per_neuron_second_count,test_mean_dead_neuron_fraction_mean,test_mean_dead_neuron_fraction_std,test_mean_dead_neuron_fraction_count,test_last_hidden_dead_neuron_fraction_mean,test_last_hidden_dead_neuron_fraction_std,test_last_hidden_dead_neuron_fraction_count,test_mean_active_step_fraction_mean,test_mean_active_step_fraction_std,test_mean_active_step_fraction_count,test_last_hidden_active_step_fraction_mean,test_last_hidden_active_step_fraction_std,test_last_hidden_active_step_fraction_count
all_fixes,mid_long,timestep_ce,0.2605506790228858,0.0511266809609816,5,0.18503968253968256,0.020535762211430934,5,0.16992118992118993,0.035333481381641614,5,0.18082191780821916,0.03770235327266543,5,0.13689723723414202,0.030244076609715845,5,3.838808813783963,1.976016348970778,5,0.2453125,0.03154160818466617,5,0.053125,0.033329264074533654,5,0.033161447978793904,0.01721065231434539,5,0.059981387715374423,0.030875255452668407,5
all_fixes,mid_long,whole_count_ce,0.595739034519777,0.061051114607434516,5,0.24975709475709476,0.031279764388086426,5,0.3092907092907093,0.058381862453183435,5,0.32054794520547947,0.05840020204737592,5,0.2797497772093778,0.062471051787965956,5,7.913278661365142,0.8468733773570734,5,0.18515625,0.01624737058053549,5,0.0109375,0.01307281291459493,5,0.06871725376905236,0.008075541535438406,5,0.12364497908383035,0.013232396521204271,5
all_fixes,short_mid,timestep_ce,0.14628429554372951,0.01579440910824715,5,0.10583333333333333,0.02172623577584609,5,0.10576257076257076,0.017180608130541647,5,0.10273972602739725,0.02165943602855054,5,0.05261102013378982,0.03169551025582713,5,0.26371769383697813,0.11916211065132236,5,0.5015625,0.061242226866456285,5,0.36875,0.10117112089487296,5,0.002358375786944997,0.0010234713942483232,5,0.004120588966202783,0.0018619079789269119,5
all_fixes,short_mid,whole_count_ce,0.2719526491615837,0.03202160537969163,5,0.20026455026455028,0.0340262833830461,5,0.18659978909978908,0.02685266433333197,5,0.20273972602739726,0.03161090618962828,5,0.14420429943432347,0.03241956702918282,5,2.5256626905235255,0.9118879911383905,5,0.32109375,0.02889040951109468,5,0.15,0.060110575192722955,5,0.021180857562955603,0.007549611318564442,5,0.03946347953943009,0.014248249861537351,5
all_fixes,short_mid_long,timestep_ce,0.12013496176033171,0.032579828797272226,5,0.10277777777777779,0.017291527219428796,5,0.09203463203463202,0.013855688284031711,5,0.08630136986301369,0.015768307442768956,5,0.0363163657817027,0.018611574642849932,5,0.5727551358515574,0.3286617351038364,5,0.4390625,0.05988450979918671,5,0.13125,0.06380474059092318,5,0.0035243832146012815,0.0021359172597172544,5,0.008949298997680584,0.005135339610997444,5
all_fixes,short_mid_long,whole_count_ce,0.22095723229129657,0.027074987386541738,5,0.1304232804232804,0.015615330075145047,5,0.11248917748917749,0.01702415696895851,5,0.11506849315068493,0.021332070551229366,5,0.0793969980647866,0.023594566425587424,5,1.4173376408217362,0.5733801738238876,5,0.359375,0.03875748975556565,5,0.0453125,0.024331892972495994,5,0.008757136003423902,0.003724197066921491,5,0.022145900637839628,0.008959065215998244,5
no_reg,mid_long,timestep_ce,0.2831048879423833,0.027817846970881133,5,0.20010582010582012,0.015365893195429471,5,0.19244422244422243,0.020875655309559725,5,0.2054794520547945,0.02516599050804635,5,0.14114006020244374,0.025667068108238704,5,7.451300530152419,2.3062554875399126,5,0.20546875,0.04509985124178627,5,0.0546875,0.05551824376387459,5,0.0643083555955931,0.020793912194469855,5,0.11642657078363154,0.036035241992811134,5
no_reg,mid_long,whole_count_ce,0.6421806111463526,0.057597300019031114,5,0.30286195286195283,0.03225421305221803,5,0.34135212010212007,0.059059540029038175,5,0.3547945205479452,0.05840020204737591,5,0.3162598040676246,0.06581953738859113,5,9.795990722332672,1.01238068238677,5,0.1578125,0.03275199033789779,5,0.0234375,0.015625,5,0.08552027677683896,0.009768058609124044,5,0.153062355036448,0.015818448162293282,5
no_reg,short_mid,timestep_ce,0.19063537467075203,0.0223662157534112,5,0.12824074074074074,0.030866126482932004,5,0.13222943722943722,0.03419411643281217,5,0.13424657534246576,0.03770235327266543,5,0.08142355043421909,0.023374572439121555,5,0.7656560636182903,0.2842117498663656,5,0.3078125,0.03861066810359865,5,0.1765625,0.06913069314259043,5,0.006663663850231942,0.002363372373980948,5,0.011963375994035786,0.0044408085916619626,5
no_reg,short_mid,whole_count_ce,0.3303006142009564,0.026434640911634836,5,0.20517195767195767,0.013918571833752374,5,0.2265692640692641,0.03853812470310713,5,0.24246575342465754,0.0406943856918163,5,0.18406918411309026,0.04065887494101872,5,3.727766732935719,0.6283102277539138,5,0.23671875,0.03263531027219597,5,0.0828125,0.04044430970482745,5,0.03128630560387674,0.005128212712426563,5,0.05824635520212061,0.009817347308654903,5
no_reg,short_mid_long,timestep_ce,0.14510844748317,0.04756033337885411,5,0.11805555555555555,0.025515518153991446,5,0.10616883116883118,0.03431862379425456,5,0.10273972602739725,0.039047103599285544,5,0.054527483508877574,0.051335608722473634,5,0.9754638833664678,0.5661195731170057,5,0.384375,0.052491887187317926,5,0.0828125,0.03605618987254477,5,0.0061289381764965765,0.004089544942825726,5,0.01524162317760106,0.008845618329953214,5
no_reg,short_mid_long,whole_count_ce,0.2605934592650189,0.013267693581720837,5,0.14010582010582012,0.01745421620592824,5,0.11946386946386947,0.01616073143849877,5,0.12465753424657533,0.01772901247334902,5,0.0843210287102459,0.017239333346365272,5,2.53558648111332,0.4726035700922924,5,0.2713541666666667,0.01395114087081132,5,0.0203125,0.011848242881330547,5,0.0158911979511818,0.0034880522207741036,5,0.03961853876739563,0.007384430782692069,5
original_reg,mid_long,timestep_ce,0.08565090914923539,0.011363914470792484,5,0.1025,0.013227298278676799,5,0.08391774891774892,0.023569927881660884,5,0.07808219178082192,0.026349841180371703,5,0.025859821747922146,0.027754415776268918,5,1.8625414181577202,1.5366265868415185,5,0.25234375,0.08893048055134838,5,0.10625,0.12760948118184634,5,0.016160912131378394,0.013216811358587365,5,0.02910220965871438,0.024009790419398727,5
original_reg,mid_long,whole_count_ce,0.10460435368847318,0.029745345690592756,5,0.12825396825396823,0.024811347285962133,5,0.08984848484848484,0.027732607433111546,5,0.08904109589041095,0.03024575639153372,5,0.051047272737553925,0.015460885107384742,5,1.8452037773359842,1.297388472485695,5,0.215625,0.02697858851536251,5,0.0546875,0.05606523474377861,5,0.01610668023111332,0.011106699497634123,5,0.028831309020874753,0.020271694882588984,5
original_reg,short_mid,timestep_ce,0.08508940090308015,0.002479706012969427,5,0.08333333333333333,0.0,5,0.08333333333333333,0.0,5,0.07534246575342465,0.0,5,0.0117383400635555,0.0001365291356313097,5,0.040747183565275014,0.017770836930087373,5,0.628125,0.02697858851536252,5,0.6203125,0.05229125165837972,5,0.0004901580102717031,0.0001732232457092402,5,0.0006366747432074221,0.0002776693270326152,5
original_reg,short_mid,whole_count_ce,0.08505664408966296,0.0021188831551396062,5,0.08333333333333333,0.0,5,0.08333333333333333,0.0,5,0.07534246575342465,0.0,5,0.011753310938398986,0.00013219539674057794,5,0.04076375082836316,0.017801652354680297,5,0.628125,0.02697858851536252,5,0.6203125,0.05229125165837972,5,0.0004902227261431412,0.00017343476233271015,5,0.0006369336066931743,0.00027815081804187964,5
original_reg,short_mid_long,timestep_ce,0.080526834566004,0.007778191777193193,5,0.08611111111111111,0.0038036288715636558,5,0.08419913419913419,0.001935989590908913,5,0.07671232876712328,0.003063106818492864,5,0.015651620338885043,0.00846113564397324,5,0.25402584493041747,0.3325556174059875,5,0.5307291666666667,0.08014743359029729,5,0.271875,0.1308914373034959,5,0.0016277335984095428,0.002086699953113262,5,0.003969153827037773,0.0051961815219685546,5
