condition,architecture,objective,delta_test_ba_vs_no_reg_mean,delta_test_ba_vs_no_reg_std,delta_test_ba_vs_no_reg_count,delta_last_hidden_events_per_neuron_second_vs_no_reg_mean,delta_last_hidden_events_per_neuron_second_vs_no_reg_std,delta_last_hidden_events_per_neuron_second_vs_no_reg_count,delta_last_hidden_dead_neuron_fraction_vs_no_reg_mean,delta_last_hidden_dead_neuron_fraction_vs_no_reg_std,delta_last_hidden_dead_neuron_fraction_vs_no_reg_count
all_fixes,mid_long,timestep_ce,-0.022523032523032515,0.02141798604792164,5,-3.6124917163684556,0.6361130224585164,5,-0.0015625,0.04398652581331015,5
all_fixes,mid_long,whole_count_ce,-0.0320614108114108,0.03402603780361,5,-1.8827120609675283,0.33443868292408,5,-0.0125,0.011848242881330547,5
all_fixes,short_mid,timestep_ce,-0.026466866466866468,0.04163903835603806,5,-0.5019383697813121,0.23219711369697005,5,0.1921875,0.10519350658726517,5
all_fixes,short_mid,whole_count_ce,-0.039969474969474963,0.041963845265326684,5,-1.2021040424121936,0.6916531273581396,5,0.0671875,0.03519962601896503,5
all_fixes,short_mid_long,timestep_ce,-0.014134199134199141,0.02696560564604796,5,-0.4027087475149105,0.40041851663082445,5,0.0484375,0.06428125759601316,5
all_fixes,short_mid_long,whole_count_ce,-0.006974691974691976,0.02380010784777063,5,-1.1182488402915838,0.6567034025222095,5,0.025,0.03095564493149836,5
original_reg,mid_long,timestep_ce,-0.10852647352647353,0.007770812937465743,5,-5.588759111994699,3.0286815396047997,5,0.0515625,0.11687458221850464,5
original_reg,mid_long,whole_count_ce,-0.2515036352536352,0.06969640497537459,5,-7.950786944996686,2.039020174979547,5,0.03125,0.06559709228026041,5
original_reg,short_mid,timestep_ce,-0.048896103896103896,0.03419411643281217,5,-0.7249088800530152,0.2753182357002534,5,0.44375,0.0886297050055736,5
original_reg,short_mid,whole_count_ce,-0.14323593073593072,0.03853812470310714,5,-3.687002982107356,0.6340745846932621,5,0.5375,0.07018217087961158,5
original_reg,short_mid_long,timestep_ce,-0.021969696969696972,0.03241247134892559,5,-0.7214380384360504,0.2955658306560165,5,0.1890625,0.10559887805689509,5
original_reg,short_mid_long,whole_count_ce,-0.03526473526473527,0.01615961638251987,5,-2.2542412193505634,0.3716479940502969,5,0.340625,0.38239773449087017,5
tau_gain_norm,mid_long,timestep_ce,-0.09534465534465535,0.04317795997584894,5,-5.894880715705765,3.7811717241933365,5,0.11875,0.10311316219935261,5
tau_gain_norm,mid_long,whole_count_ce,-0.1541058941058941,0.0731830989518421,5,-7.660462226640159,1.2005967049964554,5,0.08125,0.040065254390494014,5
tau_gain_norm,short_mid,timestep_ce,-0.048896103896103896,0.03419411643281217,5,-0.7194333996023857,0.27493630787126505,5,0.415625,0.0752194056369432,5
tau_gain_norm,short_mid,whole_count_ce,-0.14323593073593072,0.03853812470310714,5,-3.668870112657389,0.6346704741663215,5,0.4984375,0.05934415317135294,5
tau_gain_norm,short_mid_long,timestep_ce,-0.020779220779220783,0.033642606545408016,5,-0.7057239893969516,0.32651065709558985,5,0.2703125,0.22941363349717253,5
tau_gain_norm,short_mid_long,whole_count_ce,-0.033749583749583756,0.01489011580130215,5,-2.2704771371769383,0.3497388264638873,5,0.3265625,0.27640134782255493,5
temporal_norm,mid_long,timestep_ce,-0.04057553557553558,0.013639336409583619,5,-6.274155069582505,1.9440813714206082,5,0.0,0.0687766283658555,5
temporal_norm,mid_long,whole_count_ce,-0.09953144078144079,0.08268800232217599,5,-5.616277335984096,1.0246789124093967,5,-0.021875,0.018652088103614566,5
temporal_norm,short_mid,timestep_ce,-0.04722943722943723,0.034408402692093866,5,-0.6969267726971504,0.28084233924065755,5,0.359375,0.08212420328761187,5
temporal_norm,short_mid,whole_count_ce,-0.09703712953712954,0.04524760842088761,5,-3.0667577866136515,0.5812224338870423,5,0.1625,0.08982676469878006,5
temporal_norm,short_mid_long,timestep_ce,-0.025,0.04252985132343456,5,-0.47664844267726975,0.37932369305796393,5,0.05,0.08035869294139869,5
temporal_norm,short_mid_long,whole_count_ce,-0.03418248418248419,0.01919770656343339,5,-2.0636597084161696,0.38632003368478196,5,0.1453125,0.08883606082624894,5
warmup,mid_long,timestep_ce,-0.11525266400266401,0.017630832928774345,5,-5.56062789927104,3.013937444986471,5,0.0203125,0.04608712876172695,5
warmup,mid_long,whole_count_ce,-0.2645772283272283,0.06382181945971374,5,-8.037483432736911,1.9931737005279027,5,0.040625,0.07232366756895697,5
warmup,short_mid,timestep_ce,-0.048896103896103896,0.03419411643281217,5,-0.7254058979456595,0.27533492449854174,5,0.440625,0.09253773512397524,5
warmup,short_mid,whole_count_ce,-0.14323593073593072,0.03853812470310714,5,-3.6875414181577204,0.6340800781071579,5,0.534375,0.07362011868368591,5
warmup,short_mid_long,timestep_ce,-0.021969696969696972,0.03241247134892559,5,-0.7778992710404241,0.22488554388799112,5,0.36875,0.319807147087311,5
warmup,short_mid_long,whole_count_ce,-0.03526473526473527,0.01615961638251987,5,-2.2628893306825715,0.36161038536808665,5,0.371875,0.3846654771315916,5
