condition,architecture,objective,seed,epoch,lambda_scale,lambda_p2,lambda_a1,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,first_batch_task_grad_norm,first_batch_p2_grad_norm_raw,first_batch_a1_grad_norm_raw,first_batch_weighted_p2_grad_norm,first_batch_weighted_a1_grad_norm,first_batch_reg_grad_norm,first_batch_p2_to_task_grad_ratio,first_batch_a1_to_task_grad_ratio,first_batch_reg_to_task_grad_ratio,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3
no_reg,short_mid_long,whole_count_ce,11,1,0.0,0.0,0.0,2.508514174085476,1170.5681396064167,0.0077480785276182,0.0,0.0,2.508514174085476,0.0,0.0902777777777777,2.4807021617889404,0.1324306236458308,4736.013038411106,0.0025294082463942,0.0,0.0,0.0,0.0,0.0,0.0,22.40669630644859,32.92226842266352,3456.375391633498
no_reg,short_mid_long,whole_count_ce,11,2,0.0,0.0,0.0,2.4821928721081576,1203.7764967164976,0.0070514620022075,0.0,0.0,2.4821928721081576,0.0,0.0902777777777777,2.4849278926849365,0.0468700514405468,7523.81196290318,0.0020875609990053,0.0,0.0,0.0,0.0,0.0,0.0,21.98862553135253,30.863675325955047,3558.477234832186
no_reg,short_mid_long,whole_count_ce,11,3,0.0,0.0,0.0,2.4766134103686386,1452.1529572531197,0.0069720586345061,0.0,0.0,2.4766134103686386,0.0,0.0833333333333333,2.485191583633423,,,,,,,,,,21.81403888564512,31.11501551905516,4303.529789358327
no_reg,short_mid_long,whole_count_ce,11,4,0.0,0.0,0.0,2.469711932791285,1565.182611724801,0.0070338944316218,0.0,0.0,2.469711932791285,0.0,0.0833333333333333,2.48575496673584,,,,,,,,,,21.66627066147717,32.86133933929076,4641.020372505647
no_reg,short_mid_long,whole_count_ce,11,5,0.0,0.0,0.0,2.463383079601032,1705.496090388339,0.0072547659043883,0.0,0.0,2.463383079601032,0.0,0.0833333333333333,2.487090587615967,0.0283567313786527,2939.916554539644,0.0014984310239375,0.0,0.0,0.0,0.0,0.0,0.0,21.631559903773507,35.296685473233616,5059.560019094234
no_reg,short_mid_long,whole_count_ce,11,6,0.0,0.0,0.0,2.452437273196222,1838.4164048423045,0.0075397297800895,0.0,0.0,2.452437273196222,0.0,0.0833333333333333,2.487311363220215,,,,,,,,,,21.72570727244917,37.981423691505,5455.542252716222
no_reg,short_mid_long,whole_count_ce,11,7,0.0,0.0,0.0,2.4414116716631105,1929.0846485131372,0.007573992638286,0.0,0.0,2.4414116716631105,0.0,0.0833333333333333,2.4890270233154297,,,,,,,,,,21.847528149051637,37.61594008414553,5727.790222483124
no_reg,short_mid_long,whole_count_ce,11,8,0.0,0.0,0.0,2.4306281474699456,2004.054600096816,0.0076332021546317,0.0,0.0,2.4306281474699456,0.0,0.0902777777777777,2.486126184463501,,,,,,,,,,21.976434694510115,38.74910892348692,5951.438330330249
no_reg,short_mid_long,whole_count_ce,11,9,0.0,0.0,0.0,2.415482326957322,2038.1436966126223,0.0076812770483749,0.0,0.0,2.415482326957322,0.0,0.0833333333333333,2.486104965209961,,,,,,,,,,21.95748664672116,38.89287997523192,6053.58079205774
no_reg,short_mid_long,whole_count_ce,11,10,0.0,0.0,0.0,2.3992942384926668,2091.555829309145,0.007771819793874,0.0,0.0,2.3992942384926668,0.0,0.0902777777777777,2.4870593547821045,0.0216674136689614,8366.420613081798,0.0015229049587306,0.0,0.0,0.0,0.0,0.0,0.0,21.947488151195746,39.27154984531632,6213.448367199266
no_reg,short_mid_long,whole_count_ce,11,11,0.0,0.0,0.0,2.3892417319260035,2246.2529145600256,0.0080029315358467,0.0,0.0,2.3892417319260035,0.0,0.0902777777777777,2.4912288188934326,,,,,,,,,,22.212475348257566,40.52275849701821,6676.023370266781
no_reg,short_mid_long,whole_count_ce,11,12,0.0,0.0,0.0,2.3779971964798365,2430.7465948475824,0.0086100837905056,0.0,0.0,2.3779971964798365,0.0,0.0833333333333333,2.494105339050293,,,,,,,,,,22.5648753351681,42.54370428732053,7227.131016952856
no_reg,short_mid_long,whole_count_ce,11,13,0.0,0.0,0.0,2.3643907963101096,2840.71573038807,0.0089638442836586,0.0,0.0,2.3643907963101096,0.0,0.0833333333333333,2.49637770652771,,,,,,,,,,23.114371498357407,47.039755002151466,8451.993219529906
no_reg,short_mid_long,whole_count_ce,11,14,0.0,0.0,0.0,2.361868482038199,3190.94051078757,0.0096775148714701,0.0,0.0,2.361868482038199,0.0,0.0972222222222222,2.491697072982788,,,,,,,,,,23.8231722590435,50.78914682385023,9498.209356678948
no_reg,short_mid_long,whole_count_ce,11,15,0.0,0.0,0.0,2.3429340852517475,3366.16322166456,0.0099436992510076,0.0,0.0,2.3429340852517475,0.0,0.0902777777777777,2.490095853805542,,,,,,,,,,24.374870329838817,53.05252859145146,10021.062394948096
no_reg,short_mid_long,whole_count_ce,11,16,0.0,0.0,0.0,2.3280329105160527,3532.1641469617307,0.0100962629729301,0.0,0.0,2.3280329105160527,0.0,0.0902777777777777,2.485060930252075,,,,,,,,,,24.781030490763627,54.03428560936513,10517.676985565027
no_reg,short_mid_long,whole_count_ce,11,17,0.0,0.0,0.0,2.314278962484941,3637.721954503281,0.0103286763063268,0.0,0.0,2.314278962484941,0.0,0.0922619047619047,2.4859135150909424,,,,,,,,,,25.090364748352364,54.65537408707269,10833.420513527324
no_reg,short_mid_long,whole_count_ce,11,18,0.0,0.0,0.0,2.2989621412733543,3615.813611028937,0.01074777432299,0.0,0.0,2.2989621412733543,0.0,0.0922619047619047,2.476752281188965,,,,,,,,,,25.273872986102475,54.82902382409101,10767.338055346385
no_reg,short_mid_long,whole_count_ce,11,19,0.0,0.0,0.0,2.28332794102457,3812.4684856894096,0.011468273079385,0.0,0.0,2.28332794102457,0.0,0.0922619047619047,2.477100372314453,,,,,,,,,,25.7918127227363,56.98583430226206,11354.627825476013
no_reg,short_mid_long,whole_count_ce,11,20,0.0,0.0,0.0,2.265341766935207,4204.710420644632,0.0128787387284272,0.0,0.0,2.265341766935207,0.0,0.1180555555555555,2.4406888484954834,0.0641786085530485,17995.006010349094,0.0026839632655449,0.0,0.0,0.0,0.0,0.0,0.0,26.810628112950543,61.21116528535669,12526.109163215362
no_reg,short_mid_long,whole_count_ce,11,21,0.0,0.0,0.0,2.238885956664093,4767.081858124462,0.0142872653286038,0.0,0.0,2.238885956664093,0.0,0.113095238095238,2.4511287212371826,,,,,,,,,,27.619626618088216,67.63512217116232,14205.991057981928
no_reg,short_mid_long,whole_count_ce,11,22,0.0,0.0,0.0,2.215541755886373,5033.010166503066,0.0152519316061459,0.0,0.0,2.215541755886373,0.0,0.0992063492063492,2.4643237590789795,,,,,,,,,,28.07921293393265,71.04896208587489,14999.9020512855
no_reg,short_mid_long,whole_count_ce,11,23,0.0,0.0,0.0,2.1903698300740806,4968.540571885757,0.0151290173102138,0.0,0.0,2.1903698300740806,0.0,0.1111111111111111,2.466435670852661,,,,,,,,,,27.902830826435977,69.45132278206016,14808.267463828528
no_reg,short_mid_long,whole_count_ce,11,24,0.0,0.0,0.0,2.1721104738429164,4965.909766297332,0.0151416819202817,0.0,0.0,2.1721104738429164,0.0,0.1200396825396825,2.450149774551392,,,,,,,,,,27.8386769122388,67.88956846673804,14802.000803436962
no_reg,short_mid_long,whole_count_ce,11,25,0.0,0.0,0.0,2.1600091761032605,5071.696494754128,0.0157988817958408,0.0,0.0,2.1600091761032605,0.0,0.1130952380952381,2.446604490280152,,,,,,,,,,28.182718598698997,69.51138320765274,15117.395448983434
no_reg,short_mid_long,whole_count_ce,11,26,0.0,0.0,0.0,2.143603518989944,5359.652205081487,0.0165253213210842,0.0,0.0,2.143603518989944,0.0,0.1200396825396825,2.451958179473877,,,,,,,,,,28.6810523638832,73.37259472503925,15976.903147186962
no_reg,short_mid_long,whole_count_ce,11,27,0.0,0.0,0.0,2.127074610550925,5162.531735760004,0.016510060967528,0.0,0.0,2.127074610550925,0.0,0.1104497354497354,2.437868356704712,,,,,,,,,,28.6802498723882,71.6929685425225,15387.222037704389
no_reg,short_mid_long,whole_count_ce,11,28,0.0,0.0,0.0,2.1177885593933,5049.9831261429645,0.0165249870323837,0.0,0.0,2.1177885593933,0.0,0.1130952380952381,2.4370574951171875,,,,,,,,,,28.795937254178543,71.5615653794727,15049.591781747526
no_reg,short_mid_long,whole_count_ce,11,29,0.0,0.0,0.0,2.1123757206429303,5231.609532577856,0.0168597689203007,0.0,0.0,2.1123757206429303,0.0,0.1180555555555555,2.4419925212860107,,,,,,,,,,29.1888628350683,75.05840575305197,15590.581058049162
no_reg,short_mid_long,whole_count_ce,11,30,0.0,0.0,0.0,2.099498919078282,5647.6619513769365,0.0174883164805255,0.0,0.0,2.099498919078282,0.0,0.1200396825396825,2.4302146434783936,0.0443926785377067,17599.110563463142,0.0027163626274106,0.0,0.0,0.0,0.0,0.0,0.0,29.66023481569274,78.58963221485972,16834.735793620912
no_reg,short_mid_long,whole_count_ce,23,1,0.0,0.0,0.0,2.529996985207326,1109.584910617638,0.0101873984515487,0.0,0.0,2.529996985207326,0.0,0.0972222222222222,2.474863052368164,0.1277396937724295,1679.557358911865,0.0024888875929733,0.0,0.0,0.0,0.0,0.0,0.0,24.254964654498995,34.62853386726314,3269.871235780174
no_reg,short_mid_long,whole_count_ce,23,2,0.0,0.0,0.0,2.4558393503835814,1015.6172055689276,0.0091136466638023,0.0,0.0,2.4558393503835814,0.0,0.0972222222222222,2.4725866317749023,0.060097298091035,925.7860421816898,0.0024626895507227,0.0,0.0,0.0,0.0,0.0,0.0,24.541404021586484,33.5420216414276,2988.7681391021674
no_reg,short_mid_long,whole_count_ce,23,3,0.0,0.0,0.0,2.434797246772123,1183.4997814920396,0.0092419428861477,0.0,0.0,2.434797246772123,0.0,0.0972222222222222,2.468456268310547,,,,,,,,,,24.936811384768987,34.99391078456544,3490.568620008774
no_reg,short_mid_long,whole_count_ce,23,4,0.0,0.0,0.0,2.4078260559633557,1393.1960753344013,0.0093111396605299,0.0,0.0,2.4078260559633557,0.0,0.1041666666666666,2.466403007507324,,,,,,,,,,25.003523962838308,35.97229225828397,4118.612502605287
no_reg,short_mid_long,whole_count_ce,23,5,0.0,0.0,0.0,2.3904832730810326,1518.4771688595902,0.0093461963093219,0.0,0.0,2.3904832730810326,0.0,0.125,2.4576520919799805,0.0387756592154076,711.2939271364897,0.0015630049433559,0.0,0.0,0.0,0.0,0.0,0.0,24.99259438900447,37.16692585378834,4493.271992826216
no_reg,short_mid_long,whole_count_ce,23,6,0.0,0.0,0.0,2.3689814635685518,1667.9149567018071,0.0099058138485517,0.0,0.0,2.3689814635685518,0.0,0.1061507936507936,2.4544389247894287,,,,,,,,,,25.16923563328544,39.27642566201609,4939.299167652754
no_reg,short_mid_long,whole_count_ce,23,7,0.0,0.0,0.0,2.3519525125802283,1751.9205139475312,0.0103011575291853,0.0,0.0,2.3519525125802283,0.0,0.1111111111111111,2.457314729690552,,,,,,,,,,25.34704193272812,40.4219074544726,5189.992498453636
no_reg,short_mid_long,whole_count_ce,23,8,0.0,0.0,0.0,2.337857989148716,1788.227179995092,0.0102591741983995,0.0,0.0,2.337857989148716,0.0,0.1041666666666666,2.453318357467652,,,,,,,,,,25.476476455924843,40.34496384520539,5298.860268151288
no_reg,short_mid_long,whole_count_ce,23,9,0.0,0.0,0.0,2.321525451033128,1854.0991173118812,0.0103188797610326,0.0,0.0,2.321525451033128,0.0,0.1111111111111111,2.4493887424468994,,,,,,,,,,25.657914110797613,41.15082833032395,5495.488615735262
no_reg,short_mid_long,whole_count_ce,23,10,0.0,0.0,0.0,2.308467806719257,1905.838655770543,0.0105769678584833,0.0,0.0,2.308467806719257,0.0,0.125,2.444497585296631,0.0536151208684289,3549.3029850503744,0.0022889687568207,0.0,0.0,0.0,0.0,0.0,0.0,25.79755171810288,41.35962193434907,5650.358844277781
no_reg,short_mid_long,whole_count_ce,23,11,0.0,0.0,0.0,2.299282908644816,1988.4207513648344,0.0108981113351894,0.0,0.0,2.299282908644816,0.0,0.125,2.427495241165161,,,,,,,,,,25.956732108137487,42.09963125205902,5897.205962241825
no_reg,short_mid_long,whole_count_ce,23,12,0.0,0.0,0.0,2.287017599030329,2111.9686970538405,0.0111364952181169,0.0,0.0,2.287017599030329,0.0,0.125,2.429821252822876,,,,,,,,,,26.33215644232377,43.19745264365218,6266.376527874892
