system,condition,architecture,objective,mean_test_ba,sd_test_ba,n
exp0.1.4_30epoch:all_fixes,all_fixes,mid_long,timestep_ce,0.16992118992118993,0.035333481381641614,5
exp0.1.4_30epoch:all_fixes,all_fixes,mid_long,whole_count_ce,0.3092907092907093,0.058381862453183435,5
exp0.1.4_30epoch:all_fixes,all_fixes,short_mid,timestep_ce,0.10576257076257076,0.017180608130541647,5
exp0.1.4_30epoch:all_fixes,all_fixes,short_mid,whole_count_ce,0.18659978909978908,0.02685266433333197,5
exp0.1.4_30epoch:all_fixes,all_fixes,short_mid_long,timestep_ce,0.09203463203463202,0.013855688284031711,5
exp0.1.4_30epoch:all_fixes,all_fixes,short_mid_long,whole_count_ce,0.11248917748917749,0.01702415696895851,5
exp0.1.4_30epoch:no_reg,no_reg,mid_long,timestep_ce,0.19244422244422243,0.020875655309559725,5
exp0.1.4_30epoch:no_reg,no_reg,mid_long,whole_count_ce,0.34135212010212007,0.059059540029038175,5
exp0.1.4_30epoch:no_reg,no_reg,short_mid,timestep_ce,0.13222943722943722,0.03419411643281217,5
exp0.1.4_30epoch:no_reg,no_reg,short_mid,whole_count_ce,0.2265692640692641,0.03853812470310713,5
exp0.1.4_30epoch:no_reg,no_reg,short_mid_long,timestep_ce,0.10616883116883118,0.03431862379425456,5
exp0.1.4_30epoch:no_reg,no_reg,short_mid_long,whole_count_ce,0.11946386946386947,0.01616073143849877,5
exp0.1.4_30epoch:original_reg,original_reg,mid_long,timestep_ce,0.08391774891774892,0.023569927881660884,5
exp0.1.4_30epoch:original_reg,original_reg,mid_long,whole_count_ce,0.08984848484848484,0.027732607433111546,5
exp0.1.4_30epoch:original_reg,original_reg,short_mid,timestep_ce,0.08333333333333333,0.0,5
exp0.1.4_30epoch:original_reg,original_reg,short_mid,whole_count_ce,0.08333333333333333,0.0,5
exp0.1.4_30epoch:original_reg,original_reg,short_mid_long,timestep_ce,0.08419913419913419,0.001935989590908913,5
exp0.1.4_30epoch:original_reg,original_reg,short_mid_long,whole_count_ce,0.08419913419913419,0.001935989590908913,5
exp0.1.4_30epoch:tau_gain_norm,tau_gain_norm,mid_long,timestep_ce,0.0970995670995671,0.035901173751271026,5
exp0.1.4_30epoch:tau_gain_norm,tau_gain_norm,mid_long,whole_count_ce,0.187246225996226,0.02342339800146388,5
exp0.1.4_30epoch:tau_gain_norm,tau_gain_norm,short_mid,timestep_ce,0.08333333333333333,0.0,5
exp0.1.4_30epoch:tau_gain_norm,tau_gain_norm,short_mid,whole_count_ce,0.08333333333333333,0.0,5
exp0.1.4_30epoch:tau_gain_norm,tau_gain_norm,short_mid_long,timestep_ce,0.08538961038961038,0.003300422225536125,5
exp0.1.4_30epoch:tau_gain_norm,tau_gain_norm,short_mid_long,whole_count_ce,0.08571428571428572,0.0034564327754699805,5
exp0.1.4_30epoch:temporal_norm,temporal_norm,mid_long,timestep_ce,0.15186868686868688,0.016505667471885834,5
exp0.1.4_30epoch:temporal_norm,temporal_norm,mid_long,whole_count_ce,0.24182067932067933,0.04203746911798683,5
exp0.1.4_30epoch:temporal_norm,temporal_norm,short_mid,timestep_ce,0.08499999999999999,0.003726779962499656,5
exp0.1.4_30epoch:temporal_norm,temporal_norm,short_mid,whole_count_ce,0.12953213453213452,0.03268153163413764,5
exp0.1.4_30epoch:temporal_norm,temporal_norm,short_mid_long,timestep_ce,0.08116883116883117,0.010101815315256746,5
exp0.1.4_30epoch:temporal_norm,temporal_norm,short_mid_long,whole_count_ce,0.08528138528138528,0.0060933715412377675,5
exp0.1.4_30epoch:warmup,warmup,mid_long,timestep_ce,0.07719155844155844,0.011374743335089763,5
exp0.1.4_30epoch:warmup,warmup,mid_long,whole_count_ce,0.07677489177489177,0.008922042739658968,5
exp0.1.4_30epoch:warmup,warmup,short_mid,timestep_ce,0.08333333333333333,0.0,5
exp0.1.4_30epoch:warmup,warmup,short_mid,whole_count_ce,0.08333333333333333,0.0,5
exp0.1.4_30epoch:warmup,warmup,short_mid_long,timestep_ce,0.08419913419913419,0.001935989590908913,5
exp0.1.4_30epoch:warmup,warmup,short_mid_long,whole_count_ce,0.08419913419913419,0.001935989590908913,5
frozen_exp0.1_100epoch,historical_context,mid_long,timestep_ce,0.304034299034299,0.044997094508910235,5
frozen_exp0.1_100epoch,historical_context,mid_long,whole_count_ce,0.4007899045399045,0.0306368736022209,5
frozen_exp0.1_100epoch,historical_context,short_mid,timestep_ce,0.28146353646353645,0.0251649721244545,5
frozen_exp0.1_100epoch,historical_context,short_mid,whole_count_ce,0.4572102897102896,0.02698467670942381,5
frozen_exp0.1_100epoch,historical_context,short_mid_long,timestep_ce,0.13210456210456206,0.015681832788252182,5
frozen_exp0.1_100epoch,historical_context,short_mid_long,whole_count_ce,0.21872308247308245,0.01572004141028019,5
