condition,architecture,objective,seed,no_reg_test_ba,condition_test_ba,delta_test_ba_vs_no_reg,no_reg_last_hidden_events_per_neuron_second,condition_last_hidden_events_per_neuron_second,delta_last_hidden_events_per_neuron_second_vs_no_reg,no_reg_last_hidden_dead_neuron_fraction,condition_last_hidden_dead_neuron_fraction,delta_last_hidden_dead_neuron_fraction_vs_no_reg
original_reg,short_mid_long,whole_count_ce,11,0.137987012987013,0.08333333333333333,-0.05465367965367966,2.7432074221338634,0.40680914512922467,-2.3363982770046388,0.0234375,0.109375,0.0859375
original_reg,short_mid_long,whole_count_ce,23,0.12121212121212122,0.08766233766233766,-0.03354978354978355,3.029199801192843,0.832090788601723,-2.19710901259112,0.03125,0.0703125,0.0390625
original_reg,short_mid_long,whole_count_ce,37,0.10381285381285381,0.08333333333333333,-0.02047952047952048,2.8446404903909874,4.14181577203446e-05,-2.844599072233267,0.0,0.9921875,0.9921875
original_reg,short_mid_long,whole_count_ce,53,0.13203463203463203,0.08333333333333333,-0.048701298701298704,2.0504473161033796,0.05591451292246521,-1.9945328031809144,0.0234375,0.3125,0.2890625
original_reg,short_mid_long,whole_count_ce,71,0.10227272727272728,0.08333333333333333,-0.01893939393939395,2.0104373757455267,0.11187044400265077,-1.898566931742876,0.0234375,0.3203125,0.296875
original_reg,short_mid_long,timestep_ce,11,0.08928571428571429,0.08333333333333333,-0.005952380952380959,0.7123508946322068,0.03230616302186879,-0.680044731610338,0.1328125,0.421875,0.2890625
original_reg,short_mid_long,timestep_ce,23,0.16666666666666666,0.08766233766233766,-0.079004329004329,1.956138170974155,0.8316351888667992,-1.1245029821073558,0.0390625,0.0703125,0.03125
original_reg,short_mid_long,timestep_ce,37,0.08333333333333333,0.08333333333333333,0.0,0.5482521537442014,0.2379473161033797,-0.31030483764082173,0.1015625,0.234375,0.1328125
original_reg,short_mid_long,timestep_ce,53,0.09956709956709957,0.08333333333333333,-0.01623376623376624,0.715498674618953,0.05595593108018555,-0.6595427435387674,0.0625,0.3125,0.25
original_reg,short_mid_long,timestep_ce,71,0.091991341991342,0.08333333333333333,-0.00865800865800867,0.945079522862823,0.1122846255798542,-0.8327948972829688,0.078125,0.3203125,0.2421875
original_reg,short_mid,whole_count_ce,11,0.18786352536352535,0.08333333333333333,-0.10453019203019202,2.6433482438701126,0.04990888005301524,-2.5934393638170974,0.0546875,0.59375,0.5390625
original_reg,short_mid,whole_count_ce,23,0.1966297591297591,0.08333333333333333,-0.11329642579642578,3.7436630218687874,0.05231113320079523,-3.691351888667992,0.0625,0.5625,0.5
original_reg,short_mid,whole_count_ce,37,0.21576756576756576,0.08333333333333333,-0.1324342324342324,4.20551689860835,0.04990888005301524,-4.155608018555334,0.109375,0.625,0.515625
original_reg,short_mid,whole_count_ce,53,0.2779900654900655,0.08333333333333333,-0.19465673215673218,4.015159045725646,0.009691848906560637,-4.005467196819086,0.046875,0.703125,0.65625
original_reg,short_mid,whole_count_ce,71,0.2545954045954046,0.08333333333333333,-0.17126207126207127,4.031146454605699,0.041998011928429425,-3.98914844267727,0.140625,0.6171875,0.4765625
original_reg,short_mid,timestep_ce,11,0.11742424242424242,0.08333333333333333,-0.03409090909090909,0.5719847581179589,0.04990888005301524,-0.5220758780649437,0.1171875,0.59375,0.4765625
