objective,probe_type,mean_probe_val_balanced_accuracy,sd_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,sd_probe_test_balanced_accuracy,mean_probe_test_macro_f1,sd_probe_test_macro_f1
fixed250_sequence_ce,duration_only,0.13194444444444445,0.0,0.1130952380952381,0.0,0.03377882599580713,0.0
fixed250_sequence_ce,fixed250_ordered,0.5507756132756132,0.03735087444264226,0.49164747289747285,0.003815706851272521,0.4946266953401746,0.010619384478572157
fixed250_sequence_ce,fixed250_pca128,0.48736772486772484,0.01853003923010439,0.4582311207311207,0.004796028068364149,0.4530916286524886,0.0028562357998716727
fixed250_sequence_ce,fixed250_shuffled,0.34847282347282343,0.05506147697759143,0.31069000444000444,0.041251648607893356,0.28597468858322816,0.03932723178476163
fixed250_sequence_ce,full_count,0.45462762546095875,0.03603837840763997,0.44192774817774816,0.020920720963711625,0.43793420826752394,0.02995583654605716
fixed250_sequence_ce,relative10_ordered,0.6229958313291646,0.008543714627858617,0.6357762607762607,0.007185638018877522,0.6360120353459863,0.01093059514965609
fixed250_sequence_ce,relative10_pca128,0.5935946769280102,0.005220660505580032,0.6179242054242055,0.0230492676121154,0.6179486421149577,0.02570847173247918
fixed250_sequence_ce,relative10_shuffled,0.3406926406926407,0.018328580960444846,0.3706141081141081,0.04203145694045683,0.3540616474148668,0.03713344469019115
relative10_sequence_ce,duration_only,0.13194444444444445,0.0,0.1130952380952381,0.0,0.03377882599580713,0.0
relative10_sequence_ce,fixed250_ordered,0.5319384319384319,0.003909127781477616,0.5307324619824619,0.033262369521302744,0.5360240236490864,0.03704223639888465
relative10_sequence_ce,fixed250_pca128,0.4895262145262145,0.026088476983548017,0.5106012043512044,0.0347131226246614,0.5117254662896693,0.03698905495025722
relative10_sequence_ce,fixed250_shuffled,0.3652958152958153,0.051024788218916345,0.3427024364524365,0.03715651677645965,0.3276093721599559,0.025015388478431128
relative10_sequence_ce,full_count,0.4354096520763187,0.04874353209977531,0.4639004514004514,0.005378910289215126,0.45781351646030655,0.002213507904645541
relative10_sequence_ce,relative10_ordered,0.6105940355940356,0.04938724592165441,0.6721990971990972,0.005754336293642056,0.6752332578311138,0.006764547604735301
relative10_sequence_ce,relative10_pca128,0.5887085137085137,0.037712554298563225,0.6441422003922004,0.02160533817522347,0.6398523551437596,0.02972484951836994
relative10_sequence_ce,relative10_shuffled,0.36447611030944366,0.0742000013452068,0.3953479390979391,0.06280226109178623,0.36956931420105926,0.048572409632301645
timestep_ce,duration_only,0.13194444444444445,0.0,0.1130952380952381,0.0,0.03377882599580713,0.0
timestep_ce,fixed250_ordered,0.5714305755972422,0.03926218049283458,0.6259451196951197,0.023422438296115324,0.625301504898928,0.02324815940325143
timestep_ce,fixed250_pca128,0.518207872374539,0.011180733597830565,0.5909974284974284,0.031569141581086646,0.5960072907326838,0.038041573860765315
timestep_ce,fixed250_shuffled,0.5208874458874458,0.02057133659961909,0.5155240592740592,0.044118733063224363,0.5041247049921287,0.04143064765756165
timestep_ce,full_count,0.5381413339746673,0.004943688998706412,0.559236827986828,0.05896699423734271,0.5504522855418568,0.06705369503469849
timestep_ce,relative10_ordered,0.6347101972101972,0.014148272410284542,0.6819999444999444,0.03544747837481023,0.6900952679496476,0.02965612807132318
timestep_ce,relative10_pca128,0.5987894821228155,0.003406716538564877,0.6774755337255337,0.01352091679637356,0.68076649585046,0.013505087315299258
timestep_ce,relative10_shuffled,0.48939393939393944,0.04100190684741405,0.5590132090132091,0.022286535037723067,0.5508568297072699,0.0232298482679355
