objective,seed,feature_dim,input_feature_dim,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy
timestep_ce,11,128,128,,1.0,0.5273972602739726,0.5139554889554888,0.5018936867962301,full_count,0.5423340548340548
timestep_ce,11,2048,2048,,0.01,0.6575342465753424,0.642110667110667,0.6354867189266167,fixed250_ordered,0.5880411255411254
timestep_ce,11,2048,2048,,0.01,0.5684931506849316,0.5479527417027417,0.5335994791737886,fixed250_shuffled,0.5256313131313132
timestep_ce,11,128,2048,0.9202947616577148,0.1,0.636986301369863,0.6244269619269619,0.6387248108190269,fixed250_pca128,0.531096681096681
timestep_ce,11,1280,1280,,0.01,0.7397260273972602,0.7153339715839716,0.7174285682496636,relative10_ordered,0.6473063973063974
timestep_ce,11,1280,1280,,0.1,0.5547945205479452,0.5388542013542014,0.5319166997790187,relative10_shuffled,0.5194925444925445
timestep_ce,11,128,1280,0.8940640091896057,0.1,0.7054794520547946,0.6856462981462981,0.6884389877196783,relative10_pca128,0.5984126984126985
timestep_ce,11,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
timestep_ce,23,128,128,,10.0,0.547945205479452,0.5378399378399378,0.5225037677699504,full_count,0.5326899951899952
timestep_ce,23,2048,2048,,1.0,0.6164383561643836,0.5990842490842491,0.5986990634587889,fixed250_ordered,0.5996572871572871
timestep_ce,23,2048,2048,,10.0,0.4863013698630137,0.46528402153402154,0.45675410122671795,fixed250_shuffled,0.4983585858585858
timestep_ce,23,128,2048,0.9226609468460083,0.01,0.6095890410958904,0.5868707681207681,0.5835125845058379,fixed250_pca128,0.5111171236171237
timestep_ce,23,1280,1280,,1.0,0.6575342465753424,0.6447621822621822,0.6585637373574261,relative10_ordered,0.6194023569023569
timestep_ce,23,1280,1280,,0.001,0.5753424657534246,0.555239898989899,0.5438775950122298,relative10_shuffled,0.44269480519480514
timestep_ce,23,128,1280,0.8957771062850952,0.01,0.7054794520547946,0.6849116161616161,0.6886876745820539,relative10_pca128,0.5955868205868207
timestep_ce,23,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
timestep_ce,101,128,128,,0.1,0.6438356164383562,0.6259150571650571,0.6269594020593897,full_count,0.5393999518999518
timestep_ce,101,2048,2048,,0.1,0.6506849315068494,0.6366404428904429,0.6417187323113785,fixed250_ordered,0.5265933140933141
timestep_ce,101,2048,2048,,0.01,0.547945205479452,0.5333354145854146,0.5220205345758794,fixed250_shuffled,0.5386724386724387
timestep_ce,101,128,2048,0.9224211573600769,0.1,0.5753424657534246,0.5616945554445554,0.5657844768731866,fixed250_pca128,0.5124098124098124
timestep_ce,101,1280,1280,,0.01,0.7054794520547946,0.6859036796536796,0.694293498241853,relative10_ordered,0.6374218374218373
timestep_ce,101,1280,1280,,0.001,0.6027397260273972,0.5829455266955267,0.5767761943305612,relative10_shuffled,0.5059944684944685
timestep_ce,101,128,1280,0.8952154517173767,0.01,0.678082191780822,0.6618686868686868,0.6651728252496477,relative10_pca128,0.6023689273689273
timestep_ce,101,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
relative10_sequence_ce,11,128,128,,1.0,0.4657534246575342,0.4685085747585747,0.45849260742087566,full_count,0.4050986050986051
relative10_sequence_ce,11,2048,2048,,1.0,0.5,0.49251373626373623,0.493320412367785,fixed250_ordered,0.5292568542568542
relative10_sequence_ce,11,2048,2048,,1.0,0.3767123287671233,0.38399794649794655,0.3540845420629534,fixed250_shuffled,0.3397967772967773
relative10_sequence_ce,11,128,2048,0.9333496689796448,1.0,0.4794520547945205,0.4705759518259518,0.46919991677024925,fixed250_pca128,0.46423160173160166
relative10_sequence_ce,11,1280,1280,,10.0,0.678082191780822,0.6739642302142302,0.6795708953517878,relative10_ordered,0.5604437229437229
relative10_sequence_ce,11,1280,1280,,0.001,0.3972602739726027,0.39207597957597956,0.3531377539520182,relative10_shuffled,0.2813492063492064
relative10_sequence_ce,11,128,1280,0.915947675704956,0.1,0.6438356164383562,0.6384199134199134,0.6355777659570229,relative10_pca128,0.5454184704184705
relative10_sequence_ce,11,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
relative10_sequence_ce,23,128,128,,1.0,0.4657534246575342,0.4579899267399267,0.4553400206890397,full_count,0.40949374699374697
relative10_sequence_ce,23,2048,2048,,0.01,0.5684931506849316,0.5531406093906094,0.559480221145473,fixed250_ordered,0.5301346801346801
relative10_sequence_ce,23,2048,2048,,0.1,0.3150684931506849,0.31197413697413695,0.3043683530640053,fixed250_shuffled,0.3320466570466571
relative10_sequence_ce,23,128,2048,0.9444889426231384,0.1,0.541095890410959,0.5287469474969475,0.5295424588933716,fixed250_pca128,0.48800505050505044
relative10_sequence_ce,23,1280,1280,,0.01,0.678082191780822,0.6657689532689531,0.6674388031199565,relative10_ordered,0.6591810966810968
relative10_sequence_ce,23,1280,1280,,0.001,0.4794520547945205,0.4597222222222222,0.42422625977526157,relative10_shuffled,0.424013949013949
relative10_sequence_ce,23,128,1280,0.9275170564651489,0.1,0.636986301369863,0.625974025974026,0.6124962166654556,relative10_pca128,0.6144420394420395
relative10_sequence_ce,23,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
relative10_sequence_ce,101,128,128,,0.1,0.4726027397260274,0.4652028527028527,0.45960792127100425,full_count,0.49163660413660404
relative10_sequence_ce,101,2048,2048,,0.1,0.5616438356164384,0.5465430402930402,0.5552714374340011,fixed250_ordered,0.5364237614237615
relative10_sequence_ce,101,2048,2048,,0.1,0.3287671232876712,0.33213522588522587,0.32437522135290897,fixed250_shuffled,0.42404401154401156
relative10_sequence_ce,101,128,2048,0.940204918384552,1.0,0.547945205479452,0.5324807137307137,0.5364340232053871,fixed250_pca128,0.5163419913419913
relative10_sequence_ce,101,1280,1280,,0.1,0.6917808219178082,0.6768641081141081,0.6786900750215968,relative10_ordered,0.6121572871572871
relative10_sequence_ce,101,1280,1280,,0.01,0.3424657534246575,0.3342456154956155,0.3313439288758982,relative10_shuffled,0.38806517556517556
relative10_sequence_ce,101,128,1280,0.9225704669952393,0.1,0.678082191780822,0.6680326617826617,0.6714830828088002,relative10_pca128,0.6062650312650313
relative10_sequence_ce,101,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
fixed250_sequence_ce,11,128,128,,1.0,0.4589041095890411,0.4503829503829504,0.44955889854086856,full_count,0.47656926406926403
fixed250_sequence_ce,11,2048,2048,,0.1,0.5136986301369864,0.4942522755022754,0.5054300170231806,fixed250_ordered,0.5295093795093795
fixed250_sequence_ce,11,2048,2048,,1.0,0.3561643835616438,0.34767524142524137,0.3235231986260052,fixed250_shuffled,0.34041606541606545
fixed250_sequence_ce,11,128,2048,0.9342296123504639,10.0,0.4726027397260274,0.4630473692973693,0.45560862340274105,fixed250_pca128,0.4822510822510822
fixed250_sequence_ce,11,1280,1280,,0.1,0.6575342465753424,0.6437812187812187,0.6441239316239317,relative10_ordered,0.6197029822029823
fixed250_sequence_ce,11,1280,1280,,0.01,0.363013698630137,0.3607295482295482,0.34952156198390055,relative10_shuffled,0.32784992784992784
fixed250_sequence_ce,11,128,1280,0.9184293150901794,0.1,0.6575342465753424,0.6445387945387945,0.6473106896270467,relative10_pca128,0.5994949494949494
fixed250_sequence_ce,11,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
fixed250_sequence_ce,23,128,128,,1.0,0.4657534246575342,0.4572975635475635,0.460335371867106,full_count,0.47427849927849924
fixed250_sequence_ce,23,2048,2048,,10.0,0.5,0.48726759351759347,0.4942487290717781,fixed250_ordered,0.5289141414141414
fixed250_sequence_ce,23,2048,2048,,10.0,0.2808219178082192,0.26620185370185373,0.24508226896737184,fixed250_shuffled,0.40711880711880705
fixed250_sequence_ce,23,128,2048,0.9404474496841431,0.1,0.4589041095890411,0.45345557220557214,0.44998742382089213,fixed250_pca128,0.4719336219336219
fixed250_sequence_ce,23,1280,1280,,10.0,0.636986301369863,0.629883311133311,0.6235819744535587,relative10_ordered,0.6326960076960076
fixed250_sequence_ce,23,1280,1280,,0.01,0.4315068493150685,0.4167069042069042,0.3932563896249854,relative10_shuffled,0.33254569504569503
fixed250_sequence_ce,23,128,1280,0.9222700595855713,0.1,0.6164383561643836,0.604488566988567,0.599482364966728,relative10_pca128,0.5917147667147666
fixed250_sequence_ce,23,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
fixed250_sequence_ce,101,128,128,,0.01,0.4315068493150685,0.41810273060273057,0.4039083543945973,full_count,0.41303511303511303
fixed250_sequence_ce,101,2048,2048,,0.1,0.5068493150684932,0.4934225496725497,0.4842013399255652,fixed250_ordered,0.5939033189033188
fixed250_sequence_ce,101,2048,2048,,0.001,0.3287671232876712,0.31819291819291823,0.2893185981563075,fixed250_shuffled,0.2978835978835979
fixed250_sequence_ce,101,128,2048,0.9369404315948486,1.0,0.4657534246575342,0.45819042069042065,0.45367883873383247,fixed250_pca128,0.5079184704184704
fixed250_sequence_ce,101,1280,1280,,0.01,0.6506849315068494,0.6336642524142524,0.6403301999604687,relative10_ordered,0.6165885040885041
fixed250_sequence_ce,101,1280,1280,,0.1,0.3424657534246575,0.33440587190587195,0.3194069906357145,relative10_shuffled,0.3616822991822992
fixed250_sequence_ce,101,128,1280,0.9204958081245422,0.1,0.6095890410958904,0.6047452547452546,0.6070528717510982,relative10_pca128,0.5895743145743145
fixed250_sequence_ce,101,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445
