family,condition,seed,bias_l2_distance_to_teacher,weight_cosine_to_teacher,weight_frobenius_distance_to_teacher,weight_relative_distance_to_teacher
relative10,hard_random_train,11,4.237751974481605,0.29076809516174607,3.3500726004696744,5.158685314235599
relative10,hard_random_train,23,6.525743794117285,0.23494338965526868,3.6257394653603847,1.7019652767688649
relative10,hard_random_train,37,4.850592311767588,0.2875062968713795,3.3581125733605774,5.397009627966621
relative10,hard_random_train,53,4.636177871858215,0.22866091067190122,3.9218672388436353,3.121224148207323
relative10,hard_random_train,71,6.268996523981247,0.44573244956553665,3.596755531845599,1.5715807932009294
relative10,soft_random_train,11,4.22140538052145,0.25293243440692126,3.4468992779207097,5.307786070715579
relative10,soft_random_train,23,6.534198664332976,0.11730260988856742,3.785132962818685,1.7767864823763149
relative10,soft_random_train,37,4.8402068280061465,0.23979246236983387,3.4159313291139144,5.489933368508629
relative10,soft_random_train,53,4.625716410666621,0.18285422932047649,4.221861103943511,3.359974732824223
relative10,soft_random_train,71,6.419287006050721,0.21318666821800453,3.828930038866914,1.6730280538431792
relative10,soft_teacher_init_retrain,11,0.0,1.0,0.0,0.0
relative10,soft_teacher_init_retrain,23,0.032821131739533826,0.9607162855496006,0.7531493184841307,0.353537257855541
relative10,soft_teacher_init_retrain,37,0.00854062013010919,0.8949432110597888,0.5806889806464358,0.9332575817333761
relative10,soft_teacher_init_retrain,53,0.09095308231702537,0.6426757016775402,2.3217651938915496,1.84778044444418
relative10,soft_teacher_init_retrain,71,0.02272385000426004,0.9846338690894714,0.4602864764169666,0.20111941979438658
fixed250,hard_random_train,11,6.717672816007575,0.13940256380924856,4.918177612140465,1.3541934691413848
fixed250,hard_random_train,23,7.105033143410731,0.15399055006424794,5.354681576791525,1.2578248312034437
fixed250,hard_random_train,37,8.575282055958485,0.09603170189522527,4.944096396312836,1.3951433229137233
fixed250,hard_random_train,53,8.37079919218166,0.20597079987937778,6.054780577826885,1.162777095530257
fixed250,hard_random_train,71,6.818248183082617,0.16922357909078356,4.664222467067378,1.4134415243201315
fixed250,soft_random_train,11,6.712382767046424,0.08525953160102681,5.162932951015203,1.421585521153392
fixed250,soft_random_train,23,7.10451238810993,0.08702157795145116,5.714832338799112,1.3424249264534438
fixed250,soft_random_train,37,8.530415078225381,0.13495882760262928,5.402265047526207,1.5244310396713145
fixed250,soft_random_train,53,8.425286725567851,0.1230337450209314,6.66246379781584,1.2794782906369566
fixed250,soft_random_train,71,6.757611148939586,0.14008200826286896,5.377841354147737,1.6296959106964937
fixed250,soft_teacher_init_retrain,11,0.015997326923916057,0.9731195849669225,0.8789389603567442,0.24201106461688063
fixed250,soft_teacher_init_retrain,23,0.11061907189718514,0.7835177865140758,3.782597065548025,0.8885392057868065
fixed250,soft_teacher_init_retrain,37,0.006056244663511731,0.9929914203293654,0.4300591725699532,0.1213556805883132
fixed250,soft_teacher_init_retrain,53,0.005415213523730272,0.998513993990726,0.28516998838713087,0.05476484681269746
fixed250,soft_teacher_init_retrain,71,0.018574138482687984,0.9630086062319949,0.9654517077557238,0.2925695639740186
