family,seed,split,mean_logit_abs,mean_logit_l2,mean_true_margin_change,prediction_flip_rate
relative10,11,train,0.37300593948126914,1.6987315021833134,-0.9134805463660339,0.05679862306368331
relative10,11,val,0.2750225126997992,1.221438767874099,-0.36163752346003386,0.15873015873015872
relative10,11,test,0.27923564888951086,1.242049008893344,-0.4904550241917576,0.1780821917808219
relative10,23,train,1.0849806757053573,4.81717233566267,-2.347992581775744,0.04130808950086059
relative10,23,val,0.842311853368734,3.6578716640373465,-0.9368691330315405,0.15079365079365079
relative10,23,test,0.8212816394162755,3.5806960504281835,-0.7518355305595259,0.2054794520547945
relative10,37,train,0.3559847188147375,1.612100697462236,-0.8645410621297878,0.058519793459552494
relative10,37,val,0.25726500468802094,1.1401224356550466,-0.36391789235307426,0.1984126984126984
relative10,37,test,0.2819839853746038,1.2473518755415118,-0.47900512547588586,0.1643835616438356
relative10,53,train,0.360176103657784,1.6363247990132355,-0.8883445310591469,0.04991394148020654
relative10,53,val,0.27355836894289964,1.2242644528459719,-0.4054736587118171,0.15873015873015872
relative10,53,test,0.27142935957319586,1.197023254098949,-0.42414451522735924,0.0958904109589041
relative10,71,train,1.2556385740066331,5.567197393140789,-2.718889154269702,0.04819277108433735
relative10,71,val,0.9514298289249711,4.167677695947042,-1.0585262373719675,0.2777777777777778
relative10,71,test,0.9613886033802147,4.243364352279952,-0.996317888226398,0.22602739726027396
fixed250,11,train,1.5666400066272665,6.734316919916089,-2.7584230659570697,0.14285714285714285
fixed250,11,val,1.4102734384901194,6.12276024871252,-0.48840704552013836,0.30952380952380953
fixed250,11,test,1.4945664250741688,6.395167459338353,-0.5236173544748955,0.3150684931506849
fixed250,23,train,1.3974669891459257,6.066495848569491,-2.5547647728379754,0.11703958691910499
fixed250,23,val,1.197893531240485,5.191708123496995,-0.6969551895737134,0.25396825396825395
fixed250,23,test,1.3481577487248402,5.852704226309967,-0.5657912616225435,0.2945205479452055
fixed250,37,train,1.3964484415214071,6.080586698456413,-2.8661964441020076,0.13253012048192772
fixed250,37,val,1.3296474187722256,5.6966764963639305,-0.5735156448463855,0.373015873015873
fixed250,37,test,1.4679317182553353,6.3164708680769275,-1.0436463463182326,0.363013698630137
fixed250,53,train,1.4296533514228016,6.215233254889661,-2.5818524293664815,0.1153184165232358
fixed250,53,val,1.219908079166055,5.233478590062738,-0.1796903675994413,0.23015873015873015
fixed250,53,test,1.4568154876044375,6.245706699834998,-0.5417912302620622,0.3219178082191781
fixed250,71,train,1.687516213394241,7.1925884942709875,-2.82045049096225,0.12736660929432014
fixed250,71,val,1.4953343113858613,6.379382199462826,-0.32853741738162506,0.29365079365079366
fixed250,71,test,1.6892015932341773,7.1399120415952435,-0.2803734979170672,0.3219178082191781
