family,seed,hard_teacher_test_ba,soft_teacher_test_ba,soft_teacher_init_retrain_test_ba,hard_to_soft_loss,retraining_recovery_fraction
relative10,11,0.7153339715839716,0.6230651293151293,0.6230651293151293,0.09226884226884235,0.0
relative10,23,0.630476467976468,0.5791076978576978,0.6653110778110778,0.05136877011877017,1.6781281653048816
relative10,37,0.7174152236652236,0.6304292929292928,0.6815066877566878,0.08698593073593075,0.5871914503329755
relative10,53,0.7077200577200577,0.6404352591852592,0.6014534077034076,0.06728479853479852,-0.5793559961644367
relative10,71,0.6622655122655122,0.5818445443445444,0.6061591186591186,0.08042096792096787,0.3023412294473869
fixed250,11,0.6094488844488843,0.6013951326451327,0.56001221001221,0.008053751803751674,-5.138340942372381
fixed250,23,0.5931318681318681,0.5455648518148518,0.6372405372405372,0.04756701631701632,1.9272952672646384
fixed250,37,0.5873126873126873,0.5007998945498946,0.5347152847152847,0.08651279276279267,0.39202745723839855
fixed250,53,0.5857767232767231,0.5416819291819291,0.5790195915195915,0.044094794094794,0.8467589679043441
fixed250,71,0.6004821567321567,0.5859300421800421,0.49495990120990124,0.014552114552114581,-6.251334858886325
