family,condition,seed,best_epoch,trainable_parameter_count,val_balanced_accuracy,val_accuracy,val_macro_f1,val_loss,test_balanced_accuracy,test_accuracy,test_macro_f1,test_loss
fixed250,hard_random_train,11,8.0,24588,0.6456770081770081,0.6349206349206349,0.6283182339103391,1.654859340573052,0.5886176323676323,0.5958904109589042,0.5690342446566711,1.9425847454524867
fixed250,hard_random_train,23,12.0,24588,0.5669011544011543,0.5634920634920635,0.5656776831450409,1.9962526511607868,0.5657148407148407,0.5821917808219178,0.5586303095075025,1.8083335197848571
fixed250,hard_random_train,37,5.0,24588,0.5134319384319385,0.5158730158730159,0.5186003270728323,1.6580114100501224,0.5212454212454213,0.5273972602739726,0.519385668362929,1.9042674200860403
fixed250,hard_random_train,53,27.0,24588,0.5073232323232323,0.5079365079365079,0.504462496949597,2.174198267375964,0.5794635919635919,0.589041095890411,0.5811779194436394,2.600591077729651
fixed250,hard_random_train,71,9.0,24588,0.5718314093314093,0.5714285714285714,0.5747109666501945,1.6457338506514152,0.5297008547008547,0.541095890410959,0.5186929670933992,1.9573751815928646
fixed250,hard_teacher_frozen,11,,0,0.5252886002886002,0.5238095238095238,0.5345447346207995,1.8238955522233469,0.6094488844488843,0.6232876712328768,0.6141804262766505,1.5937267454831519
fixed250,hard_teacher_frozen,23,,0,0.6115620490620491,0.6111111111111112,0.6184010916619612,1.5306314235180545,0.5931318681318681,0.6095890410958904,0.5918175391859603,1.6531988636374515
fixed250,hard_teacher_frozen,37,,0,0.5457431457431458,0.5476190476190477,0.5446335735308848,1.5395864558087649,0.5873126873126873,0.5958904109589042,0.5844731019251654,1.5215765483945944
fixed250,hard_teacher_frozen,53,,0,0.5111652236652237,0.5238095238095238,0.5073715844991779,1.5116181623191327,0.5857767232767231,0.5958904109589042,0.5836537024875518,1.6954732697238672
fixed250,hard_teacher_frozen,71,,0,0.5429713804713804,0.5476190476190477,0.5602628730918204,1.6906978054115172,0.6004821567321567,0.6164383561643836,0.6021233087899754,1.6640010880231122
fixed250,soft_linear_refit,11,,24588,0.5877044252044251,0.5952380952380952,0.5948548948969598,1.2310027509208215,0.6313623876123876,0.6506849315068494,0.6252802422698224,1.1196424362232238
fixed250,soft_linear_refit,23,,24588,0.593927368927369,0.5952380952380952,0.6027758314906652,1.2272255067250912,0.6464396714396714,0.6643835616438356,0.6510678434937405,1.1964247220768713
fixed250,soft_linear_refit,37,,24588,0.5716991341991342,0.5634920634920635,0.5615411290234733,1.542070102530741,0.5748147685647685,0.589041095890411,0.5770999873546563,1.4925610864555319
fixed250,soft_linear_refit,53,,24588,0.5539502164502165,0.5555555555555556,0.5552261142784767,1.2387030620898705,0.6033341658341658,0.6164383561643836,0.6037169999416254,1.308011915170235
fixed250,soft_linear_refit,71,,24588,0.5497414622414621,0.5476190476190477,0.5680578859378159,1.429352737687024,0.5641004828504829,0.5821917808219178,0.5682832686437386,1.3657424539648673
fixed250,soft_random_train,11,9.0,24588,0.5922739297739298,0.5793650793650794,0.5880656351022485,1.409115930958207,0.5741605616605616,0.5821917808219178,0.5431026834707232,1.6475796474632272
fixed250,soft_random_train,23,14.0,24588,0.6227934102934102,0.6190476190476191,0.6194108586308075,1.5151545006586524,0.6107045732045732,0.6301369863013698,0.602843376666906,1.5495088186807122
fixed250,soft_random_train,37,18.0,24588,0.5882034632034631,0.5873015873015873,0.5755051171356641,1.4142608959063607,0.5861853424353424,0.6027397260273972,0.5849890563512854,1.6232617624627443
fixed250,soft_random_train,53,22.0,24588,0.5777236652236651,0.5793650793650794,0.5711732258300886,1.57960508256453,0.594531857031857,0.6095890410958904,0.5954825107273,1.919562807508128
fixed250,soft_random_train,71,21.0,24588,0.6228354978354979,0.6190476190476191,0.6385188119816858,1.68525009483313,0.5678724053724054,0.5821917808219178,0.5707634925178785,1.8768917058012278
fixed250,soft_teacher_frozen,11,,0,0.44463684463684466,0.4603174603174603,0.43767993308434483,1.8726602131481926,0.6013951326451327,0.6301369863013698,0.5710545252612739,1.6692830710554745
fixed250,soft_teacher_frozen,23,,0,0.5203282828282828,0.5238095238095238,0.5241278725223902,1.657174591071485,0.5455648518148518,0.5753424657534246,0.5447702819265712,1.6592509503509731
fixed250,soft_teacher_frozen,37,,0,0.5028318903318904,0.5079365079365079,0.4983185439269704,1.5377363375025999,0.5007998945498946,0.5205479452054794,0.4990923926457804,1.7157849647026395
fixed250,soft_teacher_frozen,53,,0,0.5319985569985569,0.5476190476190477,0.5357619557789209,1.4332494138039105,0.5416819291819291,0.5616438356164384,0.5468064549381012,1.6954641469185716
fixed250,soft_teacher_frozen,71,,0,0.47855339105339106,0.49206349206349204,0.4919897691357131,1.5736498198471363,0.5859300421800421,0.6164383561643836,0.5708098283198467,1.433589130784529
fixed250,soft_teacher_init_retrain,11,5.0,24588,0.5953222703222703,0.6031746031746031,0.6129155599028385,1.5767663206017775,0.56001221001221,0.5753424657534246,0.5567263661915615,1.4279916428699937
fixed250,soft_teacher_init_retrain,23,43.0,24588,0.631463443963444,0.626984126984127,0.6372344598221792,1.8259216403268854,0.6372405372405372,0.6575342465753424,0.6345135705116449,2.01392021259892
fixed250,soft_teacher_init_retrain,37,2.0,24588,0.5912518037518036,0.6111111111111112,0.5974235441392304,1.116834359851889,0.5347152847152847,0.5684931506849316,0.5163922367192492,1.572614941265722
fixed250,soft_teacher_init_retrain,53,1.0,24588,0.5858585858585857,0.6031746031746031,0.5787667887667888,1.137187338610208,0.5790195915195915,0.5958904109589042,0.5666425598549011,1.5917875688037895
fixed250,soft_teacher_init_retrain,71,6.0,24588,0.5794131794131794,0.5793650793650794,0.5916933012521248,1.3810166307746663,0.49495990120990124,0.5136986301369864,0.49451643321902333,1.6476381643109506
relative10,hard_random_train,11,9.0,15372,0.6555856180856181,0.6587301587301587,0.6587282995920608,1.4192295224697205,0.6191822066822067,0.6301369863013698,0.6009239214906157,1.3341024933652808
relative10,hard_random_train,23,9.0,15372,0.6340788840788841,0.6349206349206349,0.6421290102811842,1.6082774115065877,0.664445276945277,0.678082191780822,0.6590004093487066,1.3718688304829685
relative10,hard_random_train,37,9.0,15372,0.5758417508417508,0.5793650793650794,0.5828372688513341,1.5546429173316383,0.6220349095349095,0.636986301369863,0.6264647725236316,1.3456392530677173
relative10,hard_random_train,53,41.0,15372,0.6174182299182299,0.6190476190476191,0.6154608780054397,1.7896615747523053,0.6046620046620047,0.6164383561643836,0.6016242891442071,1.8465150741286334
relative10,hard_random_train,71,35.0,15372,0.6215488215488215,0.626984126984127,0.6305969547092737,1.8082799563349723,0.6286047286047286,0.636986301369863,0.6273023888643583,1.7075519420398677
relative10,hard_teacher_frozen,11,,0,0.6473063973063974,0.6587301587301587,0.6569386380527685,1.0826068856200517,0.7153339715839716,0.7397260273972602,0.7170528081895419,0.9380430218116662
relative10,hard_teacher_frozen,23,,0,0.6124579124579124,0.6190476190476191,0.6342956933137307,1.435587059944672,0.630476467976468,0.6438356164383562,0.6454019574415234,1.2627628275321843
relative10,hard_teacher_frozen,37,,0,0.6205808080808081,0.626984126984127,0.6334681984681985,1.0877466084303087,0.7174152236652236,0.7397260273972602,0.7191265840089827,0.9092468828195636
relative10,hard_teacher_frozen,53,,0,0.6444925444925445,0.6587301587301587,0.6617977824420654,1.0411715474935992,0.7077200577200577,0.726027397260274,0.7103824155235446,0.9727292559696291
relative10,hard_teacher_frozen,71,,0,0.630940355940356,0.6428571428571429,0.6417931420219749,1.420411562426951,0.6622655122655122,0.678082191780822,0.6608761397443701,1.1061637851944432
relative10,soft_linear_refit,11,,15372,0.6085437710437711,0.6190476190476191,0.623453230860015,1.1162408684803748,0.660538073038073,0.684931506849315,0.6512268970972657,1.0242640619958645
relative10,soft_linear_refit,23,,15372,0.5840488215488215,0.5873015873015873,0.5900878801928741,1.2354294901698817,0.6669594294594295,0.684931506849315,0.6683897234755077,1.147306682988796
relative10,soft_linear_refit,37,,15372,0.5591329966329966,0.5634920634920635,0.5656135708565376,1.1327565849540835,0.6484078421578421,0.6643835616438356,0.6487186827714252,1.014841508179215
relative10,soft_linear_refit,53,,15372,0.6212181337181337,0.6349206349206349,0.6306559018323724,1.492430593204592,0.6224199411699411,0.636986301369863,0.6223416949818552,1.6362365663074627
relative10,soft_linear_refit,71,,15372,0.5811026936026936,0.5873015873015873,0.594227369314284,2.4986721825151084,0.5595931845931845,0.5753424657534246,0.5654261802408053,2.5596335914556643
relative10,soft_random_train,11,12.0,15372,0.6259139009139009,0.626984126984127,0.6368957054547036,1.3479463972345735,0.5840541403041403,0.6027397260273972,0.5827521201911446,1.4122105941171168
relative10,soft_random_train,23,6.0,15372,0.627459114959115,0.6190476190476191,0.6219373299994851,1.4342462099915168,0.6145375457875457,0.6301369863013698,0.6104700847230125,1.4089613092493751
relative10,soft_random_train,37,12.0,15372,0.5954425204425204,0.5952380952380952,0.5910980318352889,1.4016899210158917,0.6272047397047397,0.636986301369863,0.6234291536886859,1.3801481476752295
relative10,soft_random_train,53,37.0,15372,0.6056697931697931,0.6031746031746031,0.5911338531513969,1.9899022330089515,0.5473859473859474,0.5547945205479452,0.5525624937784782,2.28703586293201
relative10,soft_random_train,71,13.0,15372,0.6042508417508418,0.6111111111111112,0.6154193216451579,1.4214626617779997,0.6021818459318459,0.6095890410958904,0.6028126458891879,1.5199281036280317
relative10,soft_teacher_frozen,11,,0,0.6005531505531505,0.6111111111111112,0.6170854448506741,1.212580387754942,0.6230651293151293,0.6506849315068494,0.6123887717390214,1.132680030480975
relative10,soft_teacher_frozen,23,,0,0.5558140933140934,0.5634920634920635,0.5703605243868816,1.6054421537439618,0.5791076978576978,0.6027397260273972,0.5865336460924696,1.3589797382321167
relative10,soft_teacher_frozen,37,,0,0.5483645983645984,0.5555555555555556,0.5600592396484891,1.2106964475151816,0.6304292929292928,0.6575342465753424,0.629426179229567,1.0765890395961295
relative10,soft_teacher_frozen,53,,0,0.5606661856661858,0.5793650793650794,0.5795844183850645,1.1855206751331053,0.6404352591852592,0.6575342465753424,0.6401948293830478,1.1412708336031194
relative10,soft_teacher_frozen,71,,0,0.5682780182780184,0.5793650793650794,0.5893001715072864,1.4849073935048371,0.5818445443445444,0.6027397260273972,0.5875207664179032,1.2341356007462672
relative10,soft_teacher_init_retrain,11,0.0,15372,0.6005531505531505,0.6111111111111112,0.6170854448506741,1.2125804077619937,0.6230651293151293,0.6506849315068494,0.6123887717390214,1.1326800395712167
relative10,soft_teacher_init_retrain,23,8.0,15372,0.6217833092833093,0.6111111111111112,0.6176503231176359,1.5117858926969463,0.6653110778110778,0.678082191780822,0.6619042593040888,1.3946157050987293
relative10,soft_teacher_init_retrain,37,5.0,15372,0.5794011544011544,0.5714285714285714,0.5567196055223549,1.2351339283892824,0.6815066877566878,0.6917808219178082,0.6727443422886162,1.1269823285686853
relative10,soft_teacher_init_retrain,53,34.0,15372,0.6404280904280905,0.6349206349206349,0.6315964332020777,1.70167088991663,0.6014534077034076,0.6095890410958904,0.5990018592555945,2.0329273174864877
relative10,soft_teacher_init_retrain,71,5.0,15372,0.6206228956228955,0.626984126984127,0.6264870441167161,1.3256495976981908,0.6061591186591186,0.6232876712328768,0.6074771722247829,1.384836068301121
