family,condition,n_runs,mean_val_balanced_accuracy,sd_val_balanced_accuracy,mean_test_balanced_accuracy,sd_test_balanced_accuracy,sem_test_balanced_accuracy,mean_test_accuracy,mean_test_macro_f1
relative10,hard_teacher_frozen,5,0.6311556036556036,0.015001653372132322,0.6866422466422466,0.03861115508123032,0.017267433490283483,0.7054794520547946,0.6905679809815926
relative10,soft_teacher_frozen,5,0.5667352092352094,0.020246089613364302,0.6109763847263847,0.028533559164753017,0.012760595586479974,0.6342465753424656,0.6112128385724018
relative10,hard_random_train,5,0.6208946608946608,0.029238521057532912,0.6277858252858254,0.0222844809447667,0.009965922847159416,0.6397260273972603,0.6230631562743039
relative10,soft_random_train,5,0.6117472342472342,0.014199758120406287,0.5950728438228438,0.03105367605269076,0.013887626121014775,0.6068493150684933,0.5944052996541018
relative10,soft_teacher_init_retrain,5,0.61255772005772,0.023293688164212126,0.6354990842490842,0.035986106514271664,0.016093476082291888,0.6506849315068493,0.6307032809624207
relative10,soft_linear_refit,5,0.5908092833092833,0.024405527565172478,0.631583694083694,0.043701997942302825,0.019544127630309008,0.6493150684931507,0.6312206357133718
fixed250,hard_teacher_frozen,5,0.5473460798460799,0.03853889221653916,0.595230463980464,0.009826141951003403,0.004394384271801203,0.6082191780821917,0.5952496157330607
fixed250,soft_teacher_frozen,5,0.49566979316979315,0.034915787570596914,0.55507437007437,0.039727800877572585,0.01776681267176562,0.5808219178082192,0.5465066966183146
fixed250,hard_random_train,5,0.5610329485329484,0.055826179357715715,0.5569484681984681,0.03001606256437925,0.013423591262167732,0.5671232876712329,0.5493842218128282
fixed250,soft_random_train,5,0.6007659932659932,0.02081556700151712,0.5866909479409479,0.016952417344885957,0.007581351513222299,0.6013698630136985,0.5794362239468186
fixed250,soft_teacher_init_retrain,5,0.5966618566618566,0.020349700056994872,0.5611895049395048,0.05289211252992433,0.023654071818095836,0.5821917808219179,0.553758233299276
fixed250,soft_linear_refit,5,0.5714045214045214,0.01966591731182648,0.6040102952602953,0.035334183079650035,0.01580192705910407,0.6205479452054795,0.6050896683407166
