epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_output
1,2.4867722511291506,603459.19375,40.608873748779295,6034.591796875,4.060887384414673,6041.139501953125,2428.3095010077773,0.08333333333333333,2.4849069118499756,293135.890625,306435.384375,3887.8934326171875
2,2.4858147144317626,361264.86875,23.69642028808594,3612.6485595703125,2.3696420431137084,3617.503955078125,1454.2589118271394,0.08333333333333333,2.4849069118499756,213326.1125,146507.17109375,1431.5799499511718
3,2.485619306564331,231096.090625,16.26635398864746,2310.96083984375,1.6266354680061341,2315.073046875,930.3868332549513,0.08333333333333333,2.4849069118499756,156146.0625,74077.0203125,873.0119262695313
4,2.4854972839355467,166997.003125,12.428169918060302,1669.97001953125,1.2428170084953307,1673.6983764648437,672.3857021857373,0.08333333333333333,2.4849069118499756,117711.22265625,48757.88203125,527.9025817871094
5,2.4853869915008544,129215.275,9.60292980670929,1292.1527099609375,0.9602929756045342,1295.5984008789062,520.286380897032,0.08333333333333333,2.4849069118499756,91731.71015625,37174.078515625,309.4873294830322
6,2.4852386951446532,105559.55625,7.868129765987396,1055.5955444335937,0.7868129871785641,1058.8675903320313,425.0627352151724,0.08333333333333333,2.4849069118499756,74311.20234375,30984.4248046875,263.92878875732424
7,2.485197973251343,88107.2671875,6.165412974357605,881.0726440429687,0.6165413007140159,884.1743774414062,354.776237077879,0.08333333333333333,2.4849069118499756,62569.3625,25347.6943359375,190.20869827270508
8,2.485241985321045,76813.6515625,5.129300451278686,768.1364990234375,0.5129300504922867,771.13466796875,309.28554789188274,0.08333333333333333,2.4849069118499756,54571.82421875,22083.523828125,158.30475082397462
9,2.4850655078887938,69850.77734375,4.508960342407226,698.507763671875,0.4508960485458374,701.4437194824219,281.2636759480141,0.08333333333333333,2.4849069118499756,49069.469140625,20647.1619140625,134.1454933166504
10,2.4850274562835692,63484.39765625,3.451433253288269,634.8439697265625,0.3451433330774307,637.6741455078125,255.60647688359293,0.08333333333333333,2.4849069118499756,44974.10390625,18403.6396484375,106.65368423461913
11,2.4850834369659425,57575.7421875,2.9224168181419374,575.7573913574219,0.29224168360233305,578.5347351074219,231.802934449689,0.08333333333333333,2.4849069118499756,41768.223828125,15739.8830078125,67.63636865615845
12,2.4849934577941895,52856.747265625,2.567638325691223,528.5674682617188,0.2567638397216797,531.3092224121094,212.8070922854069,0.08333333333333333,2.4849069118499756,39250.987109375,13544.612890625,61.146787309646605
13,2.4849551200866697,48911.63515625,2.061433029174805,489.11635131835936,0.20614330619573593,491.8074523925781,196.9140169450982,0.08333333333333333,2.4849069118499756,37129.7625,11727.3666015625,54.50579395294189
14,2.4849265098571776,45771.0671875,1.755757784843445,457.7106628417969,0.17557578533887863,460.37114868164065,184.26550516113775,0.08333333333333333,2.4849069118499756,35364.377734375,10362.84326171875,43.84591903686523
15,2.4849066734313965,43104.751953125,1.43712138235569,431.04750671386716,0.14371214415878059,433.67612915039064,173.52410996691313,0.08333333333333333,2.4849069118499756,33872.708203125,9202.547265625,29.4958447933197
16,2.4849066734313965,40879.88203125,1.2753429517149926,408.7988037109375,0.12753429664298893,411.41123657226564,164.56406285991253,0.08333333333333333,2.4849069118499756,32515.4234375,8338.029541015625,26.428536415100098
17,2.484913206100464,38852.5109375,1.0813140351325274,388.5251007080078,0.1081314048729837,391.1181335449219,156.3971052022203,0.08333333333333333,2.4849069118499756,31292.57890625,7538.81806640625,21.11286107003689
18,2.4849066734313965,37040.71640625,0.9382049232721329,370.4071533203125,0.09382049441337585,372.9858703613281,149.10055889668592,0.08333333333333333,2.4849069118499756,30204.15859375,6816.8296875,19.727520799636842
19,2.4849124908447267,35582.850390625,0.7711755851283669,355.8284942626953,0.0771175576141104,358.39051208496096,143.22661789161117,0.08333333333333333,2.4849069118499756,29211.137890625,6356.2216796875,15.490669626370073
20,2.4849124908447267,34039.0359375,0.7108892560005188,340.3903503417969,0.07108892761170864,342.94634399414065,137.0114402514317,0.08333333333333333,2.4849069118499756,28313.2001953125,5712.902587890625,12.934108448028564
21,2.4849124908447267,32677.006640625,0.6630391240119934,326.7700622558594,0.06630391404032707,329.3212646484375,131.5283203630218,0.08333333333333333,2.4849069118499756,27415.6546875,5250.867431640625,10.484919929504395
22,2.4849066734313965,31655.394140625,0.6101106598973274,316.55393371582034,0.06101106619462371,319.09984436035154,127.41522575767516,0.08333333333333333,2.4849069118499756,26636.133984375,5008.391650390625,10.868755388259888
23,2.4849066734313965,30318.248046875,0.536811751127243,303.18247680664064,0.053681176528334616,305.72105102539064,122.03120593033441,0.08333333333333333,2.4849069118499756,25874.87734375,4435.402563476562,7.967897081375122
24,2.4849066734313965,29096.07890625,0.4599640965461731,290.9607788085938,0.04599640928208828,293.49167785644534,117.10974030909013,0.08333333333333333,2.4849069118499756,25149.4703125,3939.657275390625,6.951706528663635
25,2.4849066734313965,28052.0748046875,0.36311284452676773,280.52073669433594,0.03631128575652838,283.0419494628906,112.90446075090317,0.08333333333333333,2.4849069118499756,24449.967578125,3597.6015380859376,4.505791929364205
26,2.4849066734313965,27094.425390625,0.3143944576382637,270.9442428588867,0.03143944665789604,273.4605773925781,109.04863558974449,0.08333333333333333,2.4849069118499756,23807.59765625,3282.0556030273438,4.771351203322411
27,2.4849066734313965,26316.604296875,0.29040618762373926,263.1660400390625,0.029040618659928442,265.6799774169922,105.91749117655091,0.08333333333333333,2.4849069118499756,23165.7994140625,3146.641943359375,4.16255499124527
28,2.4849066734313965,25576.996875,0.21712659820914268,255.76995849609375,0.02171266027726233,258.2765655517578,102.93814004819322,0.08333333333333333,2.4849069118499756,22554.6859375,3019.51025390625,2.8008742943406104
29,2.4849066734313965,24831.8453125,0.1900572285056114,248.31844787597657,0.01900572283193469,250.82235107421874,99.93834225406962,0.08333333333333333,2.4849069118499756,21979.916015625,2848.7605712890627,3.168560117483139
30,2.4849066734313965,24051.316015625,0.17542577907443047,240.51315612792968,0.017542578186839818,243.0156005859375,96.79667300098991,0.08333333333333333,2.4849069118499756,21409.2474609375,2638.738427734375,3.329736718535423
31,2.4849066734313965,23295.478125,0.17004606649279594,232.95477600097655,0.017004607152193783,235.4566864013672,93.75474061020532,0.08333333333333333,2.4849069118499756,20870.3234375,2423.111572265625,2.0436909317970278
32,2.4849066734313965,22471.734375,0.15442109499126672,224.71733703613282,0.015442109783180058,227.21768493652343,90.43912254281305,0.08333333333333333,2.4849069118499756,20350.5734375,2119.20283203125,1.9576575797051192
33,2.4849066734313965,21782.973828125,0.1469785064458847,217.829736328125,0.014697851054370404,220.32933959960937,87.6670486293793,0.08333333333333333,2.4849069118499756,19840.398046875,1940.5072509765625,2.067875075340271
34,2.4849066734313965,21176.20625,0.14342243522405623,211.76205596923828,0.014342243410646915,214.2613052368164,85.22509133922838,0.08333333333333333,2.4849069118499756,19358.83125,1815.2831115722656,2.0919023036956785
35,2.4849066734313965,20556.378515625,0.1252410501241684,205.56377716064452,0.012524105142802,208.06120758056642,82.7299888015142,0.08333333333333333,2.4849069118499756,18885.6771484375,1668.9755249023438,1.7261671781539918
36,2.4849066734313965,20007.444921875,0.09438380300998687,200.0744430541992,0.009438380599021912,202.56879119873048,80.51967648286094,0.08333333333333333,2.4849069118499756,18439.3357421875,1567.0530395507812,1.056130313873291
37,2.4849066734313965,19571.3626953125,0.06669766427949071,195.7136215209961,0.006669766455888748,198.2051986694336,78.76363864288824,0.08333333333333333,2.4849069118499756,18013.0220703125,1557.2804809570312,1.0602835785597562
38,2.4849066734313965,19120.4662109375,0.05687247514724732,191.20466003417968,0.005687247589230537,193.69525756835938,76.94870367816567,0.08333333333333333,2.4849069118499756,17599.2234375,1520.4861755371094,0.7565380930900574
39,2.4849066734313965,18625.55,0.0642595797777176,186.25549926757813,0.006425958126783371,188.74683532714843,74.95731216677713,0.08333333333333333,2.4849069118499756,17205.4431640625,1419.2077392578126,0.898801589012146
40,2.4849066734313965,18246.40625,0.03943950887769461,182.46405792236328,0.003943950962275266,184.95290985107422,73.43052510755115,0.08333333333333333,2.4849069118499756,16814.450390625,1431.4207702636718,0.5354870378971099
41,2.4849066734313965,17880.3896484375,0.0259204164147377,178.80389099121095,0.002592041669413447,181.29139404296876,71.9570215431742,0.08333333333333333,2.4849069118499756,16429.0728515625,1450.9780151367188,0.33863088935613633
42,2.4849066734313965,17508.5572265625,0.027309306524693967,175.0855682373047,0.002730930759571493,177.57320861816407,70.46071429567439,0.08333333333333333,2.4849069118499756,16070.95,1437.26416015625,0.3425253562629223
