epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3,train_p2_output
1,2.531303310394287,11318866.475,183.89442291259766,113188.6619140625,18.389442348480223,113209.58046875,44722.83147244703,0.08333333333333333,2.485834836959839,327951.1375,174820.640625,10790550.7375,25543.76259765625
2,2.505048227310181,3486765.825,106.32507400512695,34867.6578125,10.63250765800476,34880.7939453125,13923.201134378518,0.08333333333333333,2.4849069118499756,248168.0890625,108811.2109375,3120515.95,9270.466845703126
3,2.497238349914551,1596699.8125,69.7119197845459,15966.99775390625,6.971192026138306,15976.466796875,6396.653706074542,0.08333333333333333,2.4849069118499756,189190.35625,78529.6078125,1323326.41328125,5653.3864074707035
4,2.5027405261993407,852137.3375,50.549709701538085,8521.37333984375,5.054971027374267,8528.931396484375,3406.83671423955,0.08333333333333333,2.4849069118499756,144984.353125,60946.737890625,641249.9109375,4956.352758789062
5,2.4967891216278075,529296.3703125,41.701424503326415,5292.963757324219,4.170142641663551,5299.630456542969,2121.5784120816584,0.08333333333333333,2.4849069118499756,114663.865625,52389.0572265625,359338.212109375,2905.252424621582
6,2.5058806419372557,482077.365625,38.04018020629883,4820.773583984375,3.8040180921554567,4827.0833984375,1925.3022356031802,0.08333333333333333,2.4849069118499756,93747.93359375,45055.45,340296.1375,2977.8633056640624
7,2.496735143661499,384014.7625,34.346117401123045,3840.1474853515624,3.434611701965332,3846.078967285156,1539.4432632597377,0.08333333333333333,2.4849069118499756,79268.590625,40247.4330078125,262075.579296875,2423.16015625
8,2.494348955154419,252080.6828125,29.702065801620485,2520.8067626953125,2.9702065616846083,2526.271337890625,1011.7978737665261,0.08333333333333333,2.4849069118499756,68838.23828125,36841.4919921875,144684.215234375,1716.7359723091126
9,2.4920390605926515,268266.63046875,25.871532011032105,2682.6662841796874,2.587153223156929,2687.74560546875,1077.5326437958172,0.08333333333333333,2.4849069118499756,61358.1015625,34396.9939453125,170885.4755859375,1626.0593688964843
10,2.49065523147583,226614.06875,24.518857371807098,2266.1406677246096,2.451885776221752,2271.0831909179688,910.8416632022506,0.08333333333333333,2.4849069118499756,55957.142578125,31077.922265625,137602.9814453125,1976.0264888763427
11,2.491849660873413,176862.8453125,22.61186647415161,1768.6284057617188,2.261186683177948,1773.381396484375,710.6727264694556,0.08333333333333333,2.4849069118499756,51765.047265625,28759.1216796875,94501.321875,1837.3586669921874
12,2.4902079105377197,163642.06953125,19.010459423065186,1636.420654296875,1.9010460078716278,1640.8118957519532,657.9055882731406,0.08333333333333333,2.4849069118499756,48469.0078125,27006.29765625,86763.1677734375,1403.5979713439942
13,2.4880066871643067,133964.36015625,18.00848045349121,1339.6435791015624,1.8008481204509734,1343.9323852539062,539.1643174202711,0.08333333333333333,2.4849069118499756,45899.633203125,25268.4232421875,61814.13228149414,982.1706666946411
14,2.4877705574035645,128227.31953125,15.524147927761078,1282.2731506347657,1.552414806932211,1286.3133666992187,516.0546504664804,0.08333333333333333,2.4849069118499756,43788.580078125,23279.4193359375,60333.91003417969,825.4130430221558
15,2.486653709411621,96589.29453125,13.967363846302032,965.8929321289063,1.3967364206910133,969.7763244628907,388.9925102512454,0.08333333333333333,2.4849069118499756,42030.2390625,22179.517578125,31628.2693359375,751.267949295044
16,2.4862584114074706,121438.71640625,14.047667312622071,1214.3871520996095,1.4047667384147644,1218.2781860351563,489.00464781123236,0.08333333333333333,2.4849069118499756,40579.622265625,21155.1015625,58689.97509765625,1014.0166564941406
