epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3,train_p2_output
1,2.616219139099121,18069326.5,239.49982452392578,180693.258984375,23.94998245239258,180719.826171875,69075.71551099356,0.08333333333333333,2.4865260124206543,322067.396875,361246.6,17331549.3875,54463.73740234375
2,2.545436429977417,4497095.75,149.39010009765624,44970.95703125,14.939010429382325,44988.4400390625,17673.15636402615,0.08333333333333333,2.484891653060913,262511.184375,232500.2015625,3984975.4,17109.0275390625
3,2.523905611038208,2247514.13125,104.29813652038574,22475.140966796876,10.429813718795776,22488.09462890625,8909.037914165989,0.08333333333333333,2.4849069118499756,213242.184375,180516.375,1842869.0875,10886.493579101563
4,2.510864782333374,1319045.715625,79.61446971893311,13190.456518554687,7.961446940898895,13200.929223632813,5256.52279579554,0.08333333333333333,2.4849069118499756,172941.5140625,145367.565234375,992469.9484375,8266.69677734375
5,2.507783126831055,816025.45,65.44693984985352,8160.25419921875,6.544694089889527,8169.3068359375,3256.581004127165,0.08333333333333333,2.4849069118499756,142196.325,122947.1625,544927.190625,5954.79619140625
6,2.5054110050201417,589118.096875,56.4815372467041,5891.180810546875,5.6481538772583,5899.334228515625,2353.6373683234174,0.08333333333333333,2.4849069118499756,120442.21640625,110671.0265625,353492.8796875,4511.982495117188
7,2.5041966915130613,459500.5015625,49.94042682647705,4595.004833984375,4.994042754173279,4602.503149414062,1836.9159628428315,0.08333333333333333,2.4849069118499756,104206.253125,98902.319921875,252456.577734375,3935.339990234375
8,2.5023651123046875,396334.496875,40.64152717590332,3963.34482421875,4.064152812957763,3969.9114990234375,1585.463670957956,0.08333333333333333,2.4849069118499756,91897.62109375,87167.2359375,213847.040625,3422.59345703125
9,2.5024297714233397,320236.921875,36.826459884643555,3202.3690673828123,3.682646059989929,3208.55419921875,1281.175499929916,0.08333333333333333,2.4849069118499756,82628.784375,77285.822265625,157385.353125,2936.959436035156
10,2.4988620281219482,267906.3234375,31.97222602069378,2679.0631591796873,3.1972227189689875,2684.759228515625,1073.3927490644785,0.08333333333333333,2.4849069118499756,75249.746875,68150.837109375,122112.62685546876,2393.115350174904
11,2.49643988609314,223197.06875,27.778125381469728,2231.97060546875,2.7778125762939454,2237.2448852539064,895.1741359742349,0.08333333333333333,2.4849069118499756,69546.1953125,61825.58828125,90024.6384765625,1800.647314453125
12,2.4969147205352784,196658.7203125,25.09145803451538,1966.587158203125,2.5091458439826964,1971.5932373046876,788.611756682255,0.08333333333333333,2.4849069118499756,64905.23515625,54786.350390625,74946.880078125,2020.249365234375
13,2.4931360721588134,168725.3984375,22.38654851913452,1687.2539672851562,2.2386548638343813,1691.9857421875,677.6576060231058,0.08333333333333333,2.4849069118499756,60929.671875,51283.697265625,55019.775390625,1492.250177001953
14,2.4926955699920654,171785.778125,21.60914707183838,1717.857763671875,2.1609147071838377,1722.511376953125,690.0235628791742,0.08333333333333333,2.4849069118499756,57751.928125,47925.168359375,64587.8890625,1520.7902709960938
15,2.494016170501709,162067.58125,19.438535022735596,1620.67578125,1.9438535690307617,1625.113671875,650.6050979182771,0.08333333333333333,2.4849069118499756,55008.19296875,44199.88828125,61801.221875,1058.27626953125
