epoch,train_task_loss,train_p2,train_a1,train_weighted_p2,train_weighted_a1,train_total_loss,train_reg_to_task_ratio,val_native_ba,val_native_loss,train_p2_hidden_1,train_p2_hidden_2,train_p2_hidden_3,train_p2_output
1,2.5052466869354246,25053607.4,254.55172729492188,250536.071875,25.455173301696778,250564.02734375,100014.71246522406,0.08333333333333333,2.4904239177703857,351017.0125,314181.278125,24362084.35,26324.8193359375
2,2.487017202377319,6469045.9,156.66240386962892,64690.45625,15.666240692138672,64708.61171875,26017.561289419347,0.08333333333333333,2.483116626739502,286452.60625,185211.25625,5984712.15,12669.97900390625
3,2.4862335681915284,3306375.7,112.76520919799805,33063.7568359375,11.276521015167237,33077.5203125,13303.268759664947,0.09027777777777778,2.481058120727539,231554.15625,131138.775,2934235.025,9447.7525390625
4,2.4920015811920164,1966549.6875,93.15975418090821,19665.496484375,9.315975570678711,19677.30419921875,7895.184581116714,0.08333333333333333,2.483476161956787,185958.0671875,104901.96328125,1667662.2125,8027.43037109375
5,2.4914793491363527,1362686.7375,74.27542037963867,13626.86708984375,7.427542209625244,13636.7865234375,5472.369111459652,0.09027777777777778,2.4848031997680664,149817.2265625,89660.0453125,1117477.55625,5731.884130859375
6,2.486874580383301,849975.73125,61.449026870727536,8499.757080078125,6.1449028015136715,8508.389013671875,3420.3180369347892,0.08333333333333333,2.4855353832244873,122745.9,78137.125,644503.140625,4589.557592773437
7,2.4864455699920653,675771.9,50.76351623535156,6757.71875,5.076351642608643,6765.28173828125,2719.864525996517,0.08333333333333333,2.485459327697754,103845.471875,70744.9140625,497500.75625,3680.782861328125
8,2.4859430313110353,488957.015625,43.867544937133786,4889.570068359375,4.386754631996155,4896.44287109375,1968.652041237807,0.08333333333333333,2.4846909046173096,90444.6015625,64216.60625,331100.14375,3195.6546875
9,2.4853039264678953,422129.64375,40.403052520751956,4221.296301269531,4.040305268764496,4227.821887207031,1700.1287293435084,0.08333333333333333,2.4849956035614014,81302.34453125,59441.74921875,277410.87890625,3974.663537597656
10,2.48437180519104,346701.453125,37.028723526000974,3467.014440917969,3.7028723835945128,3473.201623535156,1397.0200861439405,0.08333333333333333,2.484501361846924,74453.4125,54862.792578125,214361.748046875,3023.4995727539062
11,2.484126329421997,243775.2125,30.734101581573487,2437.752087402344,3.0734102323651316,2443.309521484375,982.568989638557,0.08333333333333333,2.4842731952667236,69600.5859375,49781.1474609375,122542.205859375,1851.281349182129
12,2.482349681854248,280495.2953125,27.4665678024292,2804.9529052734374,2.7466568112373353,2810.181750488281,1131.0652897167167,0.08333333333333333,2.484215259552002,65651.38359375,45920.54609375,167324.64033203124,1598.7123100280762
13,2.484544610977173,201582.6703125,26.335093879699706,2015.8266479492188,2.633509397506714,2020.944677734375,812.4064862545832,0.08333333333333333,2.4851255416870117,62325.29609375,42208.01328125,95489.7171875,1559.6408325195312
14,2.484573411941528,183301.20625,24.7534499168396,1833.0119995117188,2.4753450393676757,1837.9719116210938,738.7535162894526,0.08333333333333333,2.4850635528564453,59532.63671875,39963.5845703125,82379.7671875,1425.2237060546875
15,2.4852816104888915,199529.534375,23.00505075454712,1995.2952880859375,2.3005051016807556,2000.081103515625,803.7703996025874,0.08333333333333333,2.483896493911743,57109.83828125,37518.03359375,103498.526171875,1403.1444091796875
16,2.4848145961761476,153562.565625,21.87250566482544,1535.6256103515625,2.187250590324402,1540.2976928710937,618.8843478738451,0.08333333333333333,2.4847164154052734,55134.96875,34514.48125,62586.8609375,1326.251412963867
17,2.4849518299102784,139585.68125,18.661437606811525,1395.856787109375,1.866143798828125,1400.2078674316406,562.4748593048861,0.08333333333333333,2.484473705291748,53346.34921875,32855.8015625,52311.16640625,1072.3637756347657
18,2.484462594985962,133593.3765625,17.31550168991089,1335.9337158203125,1.7315502107143401,1340.1496948242188,538.4123185153388,0.08333333333333333,2.4848718643188477,51705.36484375,30477.16875,50536.977734375,873.8656036376954
