objective,architecture,last_layer,split,scope,layer,shift,mean_neurons,mean_firing_rate,sd_neurons,sd_firing_rate
fixed250_sequence_ce,A,L3,val,whole_layer,L3,-1,64.0,0.17024862464518772,0.0,0.018099326391945152
fixed250_sequence_ce,B,L2,test,tau_subgroup,L1,2,43.0,0.0009099151858872604,0.0,0.00035144120237426977
fixed250_sequence_ce,B,L2,test,tau_subgroup,L1,3,43.0,0.012612310632330051,0.0,0.004819817222985624
fixed250_sequence_ce,B,L2,test,tau_subgroup,L1,4,42.0,0.0788220412971904,0.0,0.0046504249934847695
fixed250_sequence_ce,B,L2,test,tau_subgroup,L2,2,43.0,0.14843946655981424,0.0,0.0059062549030291095
fixed250_sequence_ce,B,L2,test,tau_subgroup,L2,3,43.0,0.25832665505673963,0.0,0.055356671496254374
fixed250_sequence_ce,B,L2,test,tau_subgroup,L2,4,42.0,0.31436841911494,0.0,0.021509509299379975
fixed250_sequence_ce,B,L2,test,whole_layer,L1,-1,128.0,0.030406105036447983,0.0,0.0031619947629246596
fixed250_sequence_ce,B,L2,test,whole_layer,L2,-1,128.0,0.23980013150265078,0.0,0.027481196571690084
fixed250_sequence_ce,B,L2,train,tau_subgroup,L1,2,43.0,0.0011640825358666864,0.0,0.0004438077499646757
fixed250_sequence_ce,B,L2,train,tau_subgroup,L1,3,43.0,0.011234448118285119,0.0,0.003938965957462652
fixed250_sequence_ce,B,L2,train,tau_subgroup,L1,4,42.0,0.06806399292204977,0.0,0.0057111770911872466
fixed250_sequence_ce,B,L2,train,tau_subgroup,L2,2,43.0,0.12610275267998,0.0,0.009259622881898646
fixed250_sequence_ce,B,L2,train,tau_subgroup,L2,3,43.0,0.22159374402362544,0.0,0.04636011318425926
fixed250_sequence_ce,B,L2,train,tau_subgroup,L2,4,42.0,0.2944447501702095,0.0,0.021707789330314864
fixed250_sequence_ce,B,L2,train,whole_layer,L1,-1,128.0,0.026498629069176702,0.0,0.0031768140528487757
fixed250_sequence_ce,B,L2,train,whole_layer,L2,-1,128.0,0.21341897551096745,0.0,0.025356244325321294
