architecture,objective,seed,last_layer,feature_dim,layer,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy
A,fixed250_sequence_ce,11,L3,2048,L1,0.1,0.5136986301369864,0.5057921245421245,0.5018354615153188,fixed250,0.4953823953823954
A,fixed250_sequence_ce,23,L3,2048,L1,0.1,0.4931506849315068,0.48811050061050065,0.4865368477161651,fixed250,0.4451779701779702
A,fixed250_sequence_ce,101,L3,2048,L1,0.1,0.4794520547945205,0.46711899211899216,0.45689319083148483,fixed250,0.4127344877344877
A,fixed250_sequence_ce,11,L3,128,L1,1.0,0.4041095890410959,0.40591977466977464,0.3873710065079898,full_count,0.37973785473785476
A,fixed250_sequence_ce,23,L3,128,L1,10.0,0.3424657534246575,0.3273032523032523,0.326435245634807,full_count,0.36537999037999036
A,fixed250_sequence_ce,101,L3,128,L1,0.1,0.3767123287671233,0.3646180208680209,0.3378423031447488,full_count,0.3542388167388167
A,fixed250_sequence_ce,11,L3,2048,L2,0.1,0.589041095890411,0.5795898545898546,0.5805067751842763,fixed250,0.48502886002886
A,fixed250_sequence_ce,23,L3,2048,L2,0.1,0.5753424657534246,0.5632839382839382,0.5719621609327491,fixed250,0.48948412698412697
A,fixed250_sequence_ce,101,L3,2048,L2,0.001,0.4931506849315068,0.48018093018093017,0.4455951990912212,fixed250,0.4591269841269841
A,fixed250_sequence_ce,11,L3,128,L2,0.1,0.4863013698630137,0.4791909479409479,0.47199582698675263,full_count,0.38853415103415107
A,fixed250_sequence_ce,23,L3,128,L2,1.0,0.4452054794520548,0.4496087246087246,0.4314582272921486,full_count,0.41373256373256373
A,fixed250_sequence_ce,101,L3,128,L2,0.001,0.410958904109589,0.388532301032301,0.3407088493292054,full_count,0.38892496392496395
A,fixed250_sequence_ce,11,L3,1024,L3,0.1,0.547945205479452,0.5409583472083471,0.5439610788962429,fixed250,0.4561507936507936
A,fixed250_sequence_ce,23,L3,1024,L3,0.1,0.5273972602739726,0.5207514707514707,0.5205218083627972,fixed250,0.4847222222222222
A,fixed250_sequence_ce,101,L3,1024,L3,0.01,0.5273972602739726,0.5099338161838162,0.5025822692472965,fixed250,0.47004569504569504
