objective,architecture,last_layer,mean_l2_fixed250_probe_ba,mean_last_fixed250_probe_ba,mean_last_minus_l2_fixed250_probe_ba,mean_test_balanced_accuracy,mean_readout_utilization_gap,sd_l2_fixed250_probe_ba,sd_last_fixed250_probe_ba,sd_last_minus_l2_fixed250_probe_ba,sd_test_balanced_accuracy,sd_readout_utilization_gap
fixed250_sequence_ce,A,L3,0.541018241018241,0.5238812113812114,-0.01713702963702966,0.49097499722499727,0.032906214156214066,0.05331373668277777,0.015747280356623688,0.04065467395101884,0.020595032198870347,0.005749753112793465
fixed250_sequence_ce,B,L2,0.49164747289747285,0.49164747289747285,0.0,0.49700137825137825,-0.005353905353905415,0.0038157068512725246,0.0038157068512725246,0.0,0.017805491287098525,0.017327722089249455
fixed250_sequence_ce,C,L3,0.510963110963111,0.5200898638398639,0.009126752876752927,0.48421555296555296,0.03587431087431092,0.03317513849083475,0.053209931479749,0.020283331016237024,0.008778198519578215,0.05112391049194436
fixed250_sequence_ce,D,L3,0.4928682428682429,0.5004192566692566,0.007551013801013806,0.4677563177563177,0.032662938912938956,0.013579872727963833,0.019890826123958677,0.012037552432086469,0.06473637925800829,0.047898511130246575
fixed250_sequence_ce,E,L3,0.49206950456950455,0.5013905076405076,0.00932100307100305,0.48897075147075136,0.012419756169756194,0.07831642871982047,0.019954453860923295,0.06010152414288803,0.05093211351775341,0.051401773838936925
relative10_sequence_ce,A,L3,0.5352402227402228,0.5031491656491656,-0.03209105709105712,0.5613305675805675,-0.05818140193140194,0.02391553954626998,0.024811022324342433,0.0011731160809709345,0.031036772799722737,0.03482598472253784
relative10_sequence_ce,B,L2,0.5307324619824619,0.5307324619824619,0.0,0.6763884263884264,-0.14565596440596446,0.03326236952130273,0.03326236952130273,0.0,0.024584606531164708,0.04955418675696765
relative10_sequence_ce,C,L3,0.5341024716024716,0.5017436267436267,-0.032358844858844805,0.6003861878861878,-0.09864256114256109,0.020091388299340256,0.0410720833728669,0.03331153960514026,0.024490493609377516,0.05846401060285637
relative10_sequence_ce,D,L3,0.5072820697820698,0.5224606412106412,0.01517857142857143,0.6177866115366115,-0.09532597032597033,0.03932716978304065,0.07971344773620936,0.0772405167691516,0.059671465878778925,0.022369932946981707
relative10_sequence_ce,E,L3,0.49276325526325526,0.5035429847929848,0.010779729529729554,0.5846454471454471,-0.08110246235246231,0.042410463692017446,0.013303973324014087,0.053984573612197904,0.02861477591399503,0.032661918496451864
timestep_ce,A,L3,0.5980598105598105,0.5078752266252266,-0.09018458393458394,0.4620391182891182,0.04583610833610837,0.018066489312052333,0.02577796526523336,0.021646137691383682,0.049580981659105315,0.03992670087069767
timestep_ce,B,L2,0.6259451196951197,0.6259451196951197,0.0,0.4926210363710363,0.13332408332408333,0.023422438296115317,0.023422438296115317,0.0,0.02102492441667257,0.029833994744102404
timestep_ce,C,L3,0.5915165852665852,0.5463462463462463,-0.045170338920338914,0.44562520812520806,0.10072103822103824,0.01933686460585908,0.0238457255208989,0.0244984896344545,0.05172949299092708,0.027884567801476873
timestep_ce,D,L3,0.5755730380730381,0.5240361490361489,-0.05153688903688908,0.44703352203352203,0.0770026270026269,0.03483626003709317,0.03005655394210224,0.01653153791417923,0.01155384502414969,0.01884430533920847
timestep_ce,E,L3,0.5483444795944795,0.5029785029785029,-0.045365976615976654,0.4134580697080697,0.0895204332704332,0.058289968841499784,0.026034576924041705,0.04616267539717541,0.025768208569742747,0.05178183123449523
