objective,architecture,last_layer,layer,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,A,L3,L1,fixed250,2048.0,0.45109828443161776,0.48700720575720574,0.4817551666876563,0.4954337899543379,0.0,0.04164080631172659,0.019360158509275263,0.02284951375081209,0.017237064920709515
fixed250_sequence_ce,A,L3,L1,full_count,128.0,0.3664522206188872,0.36594701594701595,0.35054951842918186,0.37442922374429227,0.0,0.01278328959943411,0.039325107351302555,0.03239439347344113,0.03088527227960888
fixed250_sequence_ce,A,L3,L2,fixed250,2048.0,0.47787999037999035,0.541018241018241,0.5326880450694155,0.5525114155251142,0.0,0.01639264419044841,0.05331373668277777,0.07554551921598639,0.05186217667397513
fixed250_sequence_ce,A,L3,L2,full_count,128.0,0.39706389289722627,0.43911065786065784,0.4147209678693689,0.4474885844748859,0.0,0.014436814892542225,0.04623207348704823,0.06722476861509007,0.03772308594031576
fixed250_sequence_ce,A,L3,L3,fixed250,1024.0,0.47030623697290364,0.5238812113812114,0.5223550521687789,0.5342465753424658,0.0,0.014287496079612303,0.015747280356623688,0.020750230339204926,0.011863361695677265
fixed250_sequence_ce,A,L3,L3,full_count,64.0,0.3998717332050665,0.43177632552632556,0.4130968034540316,0.4429223744292237,0.0,0.03257580492411551,0.04767993839583796,0.03453253739463093,0.05140790068126803
fixed250_sequence_ce,B,L2,L1,fixed250,2048.0,0.48787878787878786,0.474328218078218,0.46799763212166434,0.4863013698630137,0.0,0.016374480333488133,0.031825642063602166,0.03660394412300041,0.03624316864472043
fixed250_sequence_ce,B,L2,L1,full_count,128.0,0.4290584415584416,0.4146772209272209,0.4059348874217738,0.4269406392694064,0.0,0.016263604265751668,0.0670866412200835,0.0774324169264469,0.07128993148856622
fixed250_sequence_ce,B,L2,L2,fixed250,2048.0,0.5507756132756132,0.49164747289747285,0.4946266953401746,0.5068493150684932,0.0,0.037350874442642276,0.0038157068512725246,0.010619384478572157,0.006849315068493178
fixed250_sequence_ce,B,L2,L2,full_count,128.0,0.45462762546095875,0.44192774817774816,0.43793420826752394,0.452054794520548,0.0,0.03603837840763995,0.02092072096371163,0.029955836546057157,0.018121584322360187
fixed250_sequence_ce,C,L3,L1,fixed250,2048.0,0.4551346801346801,0.5166939541939541,0.5100202980989589,0.5296803652968037,0.0,0.037308792599958444,0.019620600608095284,0.006676226471927238,0.022017467490851473
fixed250_sequence_ce,C,L3,L1,full_count,128.0,0.370326278659612,0.3543512043512043,0.33696651575549846,0.35616438356164376,0.0,0.061787371208317364,0.03853306400437082,0.04506987530087538,0.04939111336252042
fixed250_sequence_ce,C,L3,L2,fixed250,2048.0,0.4456830206830207,0.510963110963111,0.5098733460342156,0.5228310502283106,0.0,0.015737735349125013,0.03317513849083475,0.02632076686542698,0.03163563118847266
fixed250_sequence_ce,C,L3,L2,full_count,128.0,0.40188993105659776,0.4298752173752174,0.4245696795077007,0.4383561643835616,0.0,0.0082173523326247,0.04166580239365411,0.04133989587162022,0.042773958893139716
fixed250_sequence_ce,C,L3,L3,fixed250,2048.0,0.46286475869809207,0.5200898638398639,0.527433939904297,0.5296803652968037,0.0,0.03533612769197968,0.053209931479749,0.04291386970869329,0.055362354579827106
fixed250_sequence_ce,C,L3,L3,full_count,128.0,0.4103234728234728,0.4267954267954268,0.4196577180560926,0.4315068493150685,0.0,0.038425042526138195,0.028002456572690532,0.02566324103472904,0.02469555668126018
