architecture,objective,seed,last_layer,firing_rate,layer,neurons,scope,shift,split,tau_syn_ms
A,fixed250_sequence_ce,11,L3,0.0003409773914651625,L1,43,tau_subgroup,2,test,54.31342963722199
A,fixed250_sequence_ce,23,L3,0.00030244887265553966,L1,43,tau_subgroup,2,test,54.31342963722199
A,fixed250_sequence_ce,101,L3,0.00027740533542928476,L1,43,tau_subgroup,2,test,54.31342963722199
A,fixed250_sequence_ce,11,L3,0.004692773591012067,L1,43,tau_subgroup,3,test,117.0136826471659
A,fixed250_sequence_ce,23,L3,0.006863855625934317,L1,43,tau_subgroup,3,test,117.0136826471659
A,fixed250_sequence_ce,101,L3,0.0060470510271703115,L1,43,tau_subgroup,3,test,117.0136826471659
A,fixed250_sequence_ce,11,L3,0.04928760768721007,L1,42,tau_subgroup,4,test,242.10347130039656
A,fixed250_sequence_ce,23,L3,0.033937249518760454,L1,42,tau_subgroup,4,test,242.10347130039656
A,fixed250_sequence_ce,101,L3,0.04286779324055666,L1,42,tau_subgroup,4,test,242.10347130039656
A,fixed250_sequence_ce,11,L3,0.03961502304005425,L2,43,tau_subgroup,2,test,54.31342963722199
A,fixed250_sequence_ce,23,L3,0.0249491423551713,L2,43,tau_subgroup,2,test,54.31342963722199
A,fixed250_sequence_ce,101,L3,0.029189205850170295,L2,43,tau_subgroup,2,test,54.31342963722199
A,fixed250_sequence_ce,11,L3,0.06660810331807604,L2,43,tau_subgroup,3,test,117.0136826471659
A,fixed250_sequence_ce,23,L3,0.07148196094749333,L2,43,tau_subgroup,3,test,117.0136826471659
A,fixed250_sequence_ce,101,L3,0.08044176799667113,L2,43,tau_subgroup,3,test,117.0136826471659
A,fixed250_sequence_ce,11,L3,0.13984742339613115,L2,42,tau_subgroup,4,test,242.10347130039656
A,fixed250_sequence_ce,23,L3,0.12832528637697624,L2,42,tau_subgroup,4,test,242.10347130039656
A,fixed250_sequence_ce,101,L3,0.1658284420461359,L2,42,tau_subgroup,4,test,242.10347130039656
A,fixed250_sequence_ce,11,L3,0.01786352199304175,L1,128,whole_layer,-1,test,
A,fixed250_sequence_ce,23,L3,0.013543090415838304,L1,128,whole_layer,-1,test,
A,fixed250_sequence_ce,101,L3,0.016190616716368456,L1,128,whole_layer,-1,test,
A,fixed250_sequence_ce,11,L3,0.08157176731278992,L2,128,whole_layer,-1,test,
A,fixed250_sequence_ce,23,L3,0.07450155835818423,L2,128,whole_layer,-1,test,
A,fixed250_sequence_ce,101,L3,0.09124161282306163,L2,128,whole_layer,-1,test,
A,fixed250_sequence_ce,11,L3,0.23938530276673295,L3,64,whole_layer,-1,test,
A,fixed250_sequence_ce,23,L3,0.20280659791252484,L3,64,whole_layer,-1,test,
A,fixed250_sequence_ce,101,L3,0.23995480243538767,L3,64,whole_layer,-1,test,
A,fixed250_sequence_ce,11,L3,0.0005059591392228951,L1,43,tau_subgroup,2,train,54.31342963722199
A,fixed250_sequence_ce,23,L3,0.00043818632149788834,L1,43,tau_subgroup,2,train,54.31342963722199
A,fixed250_sequence_ce,101,L3,0.0005363400575134153,L1,43,tau_subgroup,2,train,54.31342963722199
A,fixed250_sequence_ce,11,L3,0.004482353944709066,L1,43,tau_subgroup,3,train,117.0136826471659
A,fixed250_sequence_ce,23,L3,0.006128766016683798,L1,43,tau_subgroup,3,train,117.0136826471659
A,fixed250_sequence_ce,101,L3,0.005563992535642075,L1,43,tau_subgroup,3,train,117.0136826471659
A,fixed250_sequence_ce,11,L3,0.04173555465698765,L1,42,tau_subgroup,4,train,242.10347130039656
A,fixed250_sequence_ce,23,L3,0.03049415120026606,L1,42,tau_subgroup,4,train,242.10347130039656
A,fixed250_sequence_ce,101,L3,0.03506807449393746,L1,42,tau_subgroup,4,train,242.10347130039656
A,fixed250_sequence_ce,11,L3,0.03206394326402459,L2,43,tau_subgroup,2,train,54.31342963722199
A,fixed250_sequence_ce,23,L3,0.02424475179374005,L2,43,tau_subgroup,2,train,54.31342963722199
A,fixed250_sequence_ce,101,L3,0.02434329502870802,L2,43,tau_subgroup,2,train,54.31342963722199
A,fixed250_sequence_ce,11,L3,0.05903791421752971,L2,43,tau_subgroup,3,train,117.0136826471659
A,fixed250_sequence_ce,23,L3,0.06042180399555815,L2,43,tau_subgroup,3,train,117.0136826471659
A,fixed250_sequence_ce,101,L3,0.06538557864548623,L2,43,tau_subgroup,3,train,117.0136826471659
A,fixed250_sequence_ce,11,L3,0.12711479151762536,L2,42,tau_subgroup,4,train,242.10347130039656
A,fixed250_sequence_ce,23,L3,0.11390305196726554,L2,42,tau_subgroup,4,train,242.10347130039656
A,fixed250_sequence_ce,101,L3,0.14349478046364508,L2,42,tau_subgroup,4,train,242.10347130039656
A,fixed250_sequence_ce,11,L3,0.015370240298457467,L1,128,whole_layer,-1,train,
A,fixed250_sequence_ce,23,L3,0.012211978913695212,L1,128,whole_layer,-1,train,
A,fixed250_sequence_ce,101,L3,0.0135560424238364,L1,128,whole_layer,-1,train,
A,fixed250_sequence_ce,11,L3,0.07231407121443047,L2,128,whole_layer,-1,train,
A,fixed250_sequence_ce,23,L3,0.06581711001222637,L2,128,whole_layer,-1,train,
A,fixed250_sequence_ce,101,L3,0.07722751833955818,L2,128,whole_layer,-1,train,
A,fixed250_sequence_ce,11,L3,0.2099790434957375,L3,64,whole_layer,-1,train,
A,fixed250_sequence_ce,23,L3,0.18961370735424657,L3,64,whole_layer,-1,train,
A,fixed250_sequence_ce,101,L3,0.20840966092752944,L3,64,whole_layer,-1,train,
A,fixed250_sequence_ce,11,L3,0.00016128604181595834,L1,43,tau_subgroup,2,val,54.31342963722199
A,fixed250_sequence_ce,23,L3,0.00010820455969931382,L1,43,tau_subgroup,2,val,54.31342963722199
A,fixed250_sequence_ce,101,L3,9.595498690316509e-05,L1,43,tau_subgroup,2,val,54.31342963722199
A,fixed250_sequence_ce,11,L3,0.001992597174840194,L1,43,tau_subgroup,3,val,117.0136826471659
A,fixed250_sequence_ce,23,L3,0.0034992946287664885,L1,43,tau_subgroup,3,val,117.0136826471659
A,fixed250_sequence_ce,101,L3,0.0031542649950082992,L1,43,tau_subgroup,3,val,117.0136826471659
A,fixed250_sequence_ce,11,L3,0.03194878161957435,L1,42,tau_subgroup,4,val,242.10347130039656
A,fixed250_sequence_ce,23,L3,0.022262772196930743,L1,42,tau_subgroup,4,val,242.10347130039656
A,fixed250_sequence_ce,101,L3,0.028251209183524167,L1,42,tau_subgroup,4,val,242.10347130039656
A,fixed250_sequence_ce,11,L3,0.02293120027439043,L2,43,tau_subgroup,2,val,54.31342963722199
A,fixed250_sequence_ce,23,L3,0.014432038349329233,L2,43,tau_subgroup,2,val,54.31342963722199
A,fixed250_sequence_ce,101,L3,0.015740701043051124,L2,43,tau_subgroup,2,val,54.31342963722199
A,fixed250_sequence_ce,11,L3,0.04493959939813766,L2,43,tau_subgroup,3,val,117.0136826471659
A,fixed250_sequence_ce,23,L3,0.04415154354825209,L2,43,tau_subgroup,3,val,117.0136826471659
A,fixed250_sequence_ce,101,L3,0.05195656301486486,L2,43,tau_subgroup,3,val,117.0136826471659
A,fixed250_sequence_ce,11,L3,0.1129170481290576,L2,42,tau_subgroup,4,val,242.10347130039656
A,fixed250_sequence_ce,23,L3,0.08857452207465376,L2,42,tau_subgroup,4,val,242.10347130039656
A,fixed250_sequence_ce,101,L3,0.1287419892897902,L2,42,tau_subgroup,4,val,242.10347130039656
A,fixed250_sequence_ce,11,L3,0.01120676411201826,L1,128,whole_layer,-1,val,
A,fixed250_sequence_ce,23,L3,0.00851686638574313,L1,128,whole_layer,-1,val,
A,fixed250_sequence_ce,101,L3,0.01036179878851725,L1,128,whole_layer,-1,val,
A,fixed250_sequence_ce,11,L3,0.05985125318233693,L2,128,whole_layer,-1,val,
A,fixed250_sequence_ce,23,L3,0.048743937099464486,L2,128,whole_layer,-1,val,
A,fixed250_sequence_ce,101,L3,0.06498551488016856,L2,128,whole_layer,-1,val,
A,fixed250_sequence_ce,11,L3,0.17628226231235186,L3,64,whole_layer,-1,val,
A,fixed250_sequence_ce,23,L3,0.14990315819506628,L3,64,whole_layer,-1,val,
A,fixed250_sequence_ce,101,L3,0.18456045342814503,L3,64,whole_layer,-1,val,
B,fixed250_sequence_ce,11,L2,0.0006607640975850325,L1,43,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,23,L2,0.0007570853946090897,L1,43,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,101,L2,0.0013118960654676592,L1,43,tau_subgroup,2,test,54.31342963722199
B,fixed250_sequence_ce,11,L2,0.007445636259959622,L1,43,tau_subgroup,3,test,117.0136826471659
B,fixed250_sequence_ce,23,L2,0.016987223943162728,L1,43,tau_subgroup,3,test,117.0136826471659
