architecture,label,description,has_l3,last_layer,layer,layer_width,shifts,shift,group_neurons,tau_syn_ms,source_experiment,source_architecture
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_2_hidden_multitau_architecture_comparison,C
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_2_hidden_multitau_architecture_comparison,C
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_2_hidden_multitau_architecture_comparison,C
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L2,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_2_hidden_multitau_architecture_comparison,C
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L2,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_2_hidden_multitau_architecture_comparison,C
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L2,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_2_hidden_multitau_architecture_comparison,C
A,3.0.2-C baseline,Reuse 3.0.2-C: 64-neuron single-tau L3,True,L3,L3,64,3,3,64,117.0136826471659,experiment_3_0_2_hidden_multitau_architecture_comparison,C
B,No-L3,Remove L3 and attach the task head directly to L2,False,L2,L1,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,B
B,No-L3,Remove L3 and attach the task head directly to L2,False,L2,L1,128,"2,3,4",3,43,117.0136826471659,experiment_3_0_3_l3_bottleneck_ablation,B
B,No-L3,Remove L3 and attach the task head directly to L2,False,L2,L1,128,"2,3,4",4,42,242.10347130039656,experiment_3_0_3_l3_bottleneck_ablation,B
B,No-L3,Remove L3 and attach the task head directly to L2,False,L2,L2,128,"2,3,4",2,43,54.31342963722199,experiment_3_0_3_l3_bottleneck_ablation,B
