objective,architecture,last_layer,layer,shift,tau_syn_ms,group_neurons,probe_type,mean_feature_dim,mean_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,mean_probe_test_macro_f1,mean_probe_test_accuracy,sd_feature_dim,sd_probe_val_balanced_accuracy,sd_probe_test_balanced_accuracy,sd_probe_test_macro_f1,sd_probe_test_accuracy
fixed250_sequence_ce,A,L3,L1,2,54.31342963722199,43,fixed250,688.0,0.12136243386243388,0.12282439782439782,0.08603783619773873,0.12557077625570776,0.0,0.009532761445370085,0.04394343664539043,0.03990703960618325,0.04954916532924818
fixed250_sequence_ce,A,L3,L1,2,54.31342963722199,43,full_count,43.0,0.09635040885040884,0.095513283013283,0.05423830371500318,0.10730593607305934,0.0,0.011069340355953371,0.004926716030564231,0.01918923047156084,0.007908907797118161
fixed250_sequence_ce,A,L3,L1,3,117.0136826471659,43,fixed250,688.0,0.2998917748917749,0.29347666222666224,0.2778655015608164,0.30136986301369867,0.0,0.04047577829769182,0.04110761656106996,0.0362205430086613,0.0449139624952192
fixed250_sequence_ce,A,L3,L1,3,117.0136826471659,43,full_count,43.0,0.22141053391053392,0.2511856199356199,0.23991683929817387,0.2602739726027397,0.0,0.022868158575458812,0.04012492518659905,0.025480308091090743,0.04491396249521918
fixed250_sequence_ce,A,L3,L1,4,242.10347130039656,42,fixed250,672.0,0.46321749238415905,0.4704446016946016,0.46627736762578875,0.4817351598173516,0.0,0.06064057804964306,0.06726028368788499,0.06755315269990333,0.07323751110660019
fixed250_sequence_ce,A,L3,L1,4,242.10347130039656,42,full_count,42.0,0.37819063652396984,0.4156308968808969,0.39348679574534384,0.4246575342465753,0.0,0.04322224275324241,0.026952075782076215,0.024416712423087024,0.02054794520547943
fixed250_sequence_ce,A,L3,L2,2,54.31342963722199,43,fixed250,688.0,0.3733405483405483,0.41679732304732303,0.399980029558954,0.4246575342465753,0.0,0.07133076252289922,0.041453804449110135,0.045756637160485114,0.041662757056837106
fixed250_sequence_ce,A,L3,L2,2,54.31342963722199,43,full_count,43.0,0.32133437550104216,0.31150192400192406,0.2877968105592152,0.3219178082191781,0.0,0.04399314466246896,0.014382336785165432,0.01793619363708504,0.011863361695677256
fixed250_sequence_ce,A,L3,L2,3,117.0136826471659,43,fixed250,688.0,0.4413059163059163,0.5307518870018869,0.5237479059968305,0.5388127853881278,0.0,0.06111867271242009,0.050595267294019725,0.053560812716367055,0.04560498711287261
fixed250_sequence_ce,A,L3,L2,3,117.0136826471659,43,full_count,43.0,0.36509339426006093,0.38372414622414625,0.3657084130465787,0.3926940639269407,0.0,0.0388281215770811,0.04163614894940648,0.053020362062168105,0.040133323815632255
