architecture,objective,seed,test_balanced_accuracy,last_layer,l2_fixed250_probe_ba,last_fixed250_probe_ba,last_minus_l2_fixed250_probe_ba,readout_utilization_gap
A,fixed250_sequence_ce,11,0.5143772893772894,L3,0.5795898545898546,0.5409583472083471,-0.038631507381507446,0.026581057831057686
A,fixed250_sequence_ce,23,0.48293512043512044,L3,0.5632839382839382,0.5207514707514707,-0.04253246753246753,0.03781635031635022
A,fixed250_sequence_ce,101,0.4756125818625819,L3,0.48018093018093017,0.5099338161838162,0.029752886002886003,0.034321234321234295
B,fixed250_sequence_ce,11,0.5159403096903097,L2,0.4942522755022754,0.4942522755022754,0.0,-0.021688034188034278
B,fixed250_sequence_ce,23,0.49446178821178827,L2,0.48726759351759347,0.48726759351759347,0.0,-0.0071941946941948
B,fixed250_sequence_ce,101,0.4806020368520369,L2,0.4934225496725497,0.4934225496725497,0.0,0.01282051282051283
C,fixed250_sequence_ce,11,0.4803335553335553,L3,0.4730713730713731,0.4588078588078588,-0.014263514263514299,-0.021525696525696525
C,fixed250_sequence_ce,23,0.47804764679764683,L3,0.5347825785325785,0.5545627983127984,0.019780219780219932,0.07651515151515159
C,fixed250_sequence_ce,101,0.49426545676545675,L3,0.5250353812853813,0.5468989343989344,0.021863553113553147,0.0526334776334777
D,fixed250_sequence_ce,11,0.5063283938283938,L3,0.4844669219669219,0.5019993894993895,0.017532467532467566,-0.0043290043290042934
D,fixed250_sequence_ce,23,0.5039224664224663,L3,0.5085352147852148,0.5194728882228882,0.010937673437673379,0.015550421800421876
D,fixed250_sequence_ce,101,0.39301809301809293,L3,0.48560259185259175,0.4797854922854922,-0.005817099567099526,0.08676739926739929
E,fixed250_sequence_ce,11,0.5027070152070151,L3,0.4274003774003774,0.4802482239982239,0.052847846597846526,-0.022458791208791185
E,fixed250_sequence_ce,23,0.4325792263292263,L3,0.4696602009102009,0.5040286102786103,0.03436840936840946,0.07144938394938405
E,fixed250_sequence_ce,101,0.5316260128760129,L3,0.5791479353979354,0.5198946886446886,-0.059253246753246835,-0.01173132423132428
A,relative10_sequence_ce,11,0.5712787212787213,L3,0.5108759296259296,0.4783043345543345,-0.03257159507159513,-0.09297438672438674
A,relative10_sequence_ce,23,0.5265394327894327,L3,0.5361645299145299,0.5032169219669219,-0.03294760794760798,-0.0233225108225108
A,relative10_sequence_ce,101,0.5861735486735487,L3,0.5586802086802086,0.5279262404262404,-0.030753968253968256,-0.05824730824730828
B,relative10_sequence_ce,11,0.6867465867465867,L2,0.49251373626373623,0.49251373626373623,0.0,-0.1942328504828505
B,relative10_sequence_ce,23,0.6483197358197358,L2,0.5531406093906094,0.5531406093906094,0.0,-0.0951791264291264
B,relative10_sequence_ce,101,0.6940989565989567,L2,0.5465430402930402,0.5465430402930402,0.0,-0.14755591630591647
C,relative10_sequence_ce,11,0.6282571595071594,L3,0.5111013986013985,0.46881868131868126,-0.04228271728271721,-0.15943847818847817
C,relative10_sequence_ce,23,0.582304501054501,L3,0.5482253857253857,0.48864468864468863,-0.059580697080697076,-0.09365981240981242
C,relative10_sequence_ce,101,0.590596903096903,L3,0.5429806304806305,0.5477675102675104,0.004786879786879861,-0.04282939282939269
D,relative10_sequence_ce,11,0.56502664002664,L3,0.47262737262737264,0.4442044067044067,-0.028422965922965948,-0.12082223332223335
D,relative10_sequence_ce,23,0.6057872682872683,L3,0.5500242812742813,0.5196220446220445,-0.030402236652236736,-0.08616522366522372
D,relative10_sequence_ce,101,0.6825459262959263,L3,0.4991945554445554,0.6035554723054724,0.10436091686091697,-0.0789904539904539
E,relative10_sequence_ce,11,0.5988449050949051,L3,0.4716915029415029,0.5167381229881229,0.04504662004662002,-0.08210678210678213
E,relative10_sequence_ce,23,0.6033834221334221,L3,0.5415827228327228,0.49013278388278386,-0.051449938949938934,-0.11325063825063825
E,relative10_sequence_ce,101,0.5517080142080141,L3,0.46501554001553996,0.5037580475080475,0.03874250749250757,-0.04794996669996654
A,timestep_ce,11,0.5003454878454878,L3,0.6112956487956488,0.5375152625152625,-0.0737803862803863,0.03716977466977467
A,timestep_ce,23,0.4797334609834609,L3,0.605406399156399,0.4906877844377844,-0.11471861471861466,0.010954323454323456
A,timestep_ce,101,0.40603840603840596,L3,0.5774773837273838,0.49542263292263294,-0.08205475080475083,0.08938422688422698
B,timestep_ce,11,0.47474123099123094,L2,0.642110667110667,0.642110667110667,0.0,0.16736943611943605
B,timestep_ce,23,0.487338356088356,L2,0.5990842490842491,0.5990842490842491,0.0,0.11174589299589305
B,timestep_ce,101,0.515783522033522,L2,0.6366404428904429,0.6366404428904429,0.0,0.1208569208569209
C,timestep_ce,11,0.39082584082584076,L3,0.5757568820068819,0.5210199522699522,-0.054736929736929674,0.13019411144411147
C,timestep_ce,23,0.4936091686091686,L3,0.5856983294483294,0.5683663558663559,-0.01733197358197358,0.07475718725718727
C,timestep_ce,101,0.4524406149406149,L3,0.6130945443445444,0.5496524309024309,-0.06344211344211348,0.097211815961816
D,timestep_ce,11,0.44359945609945606,L3,0.5921848984348984,0.5216651404151403,-0.07051975801975807,0.07806568431568428
D,timestep_ce,23,0.459915084915085,L3,0.5989940614940614,0.5552079864579863,-0.04378607503607512,0.09529290154290132
D,timestep_ce,101,0.43758602508602507,L3,0.5355401542901542,0.4952353202353202,-0.04030483405483404,0.05764929514929512
E,timestep_ce,11,0.3925844988344988,L3,0.6150023587523588,0.5252518315018314,-0.08975052725052735,0.1326673326673326
E,timestep_ce,23,0.442258436008436,L3,0.5230942668442667,0.47435689310689305,-0.04873737373737369,0.032098457098457045
E,timestep_ce,101,0.4055312742812743,L3,0.5069368131868132,0.5093267843267842,0.002389971139971081,0.10379551004550996
