architecture,objective,seed,last_layer,feature_dim,group_neurons,layer,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,shift,tau_syn_ms
A,fixed250_sequence_ce,11,L3,688,43,L1,0.001,0.1506849315068493,0.13628038628038627,0.09307416629843272,fixed250,0.12996031746031747,2,54.31342963722199
A,fixed250_sequence_ce,23,L3,688,43,L1,1.0,0.15753424657534246,0.15846653346653347,0.12195872988571647,fixed250,0.12301587301587301,2,54.31342963722199
A,fixed250_sequence_ce,101,L3,688,43,L1,0.1,0.0684931506849315,0.07372627372627373,0.04308061240906699,fixed250,0.11111111111111112,2,54.31342963722199
A,fixed250_sequence_ce,11,L3,43,43,L1,0.001,0.11643835616438356,0.10119047619047618,0.03211805555555555,full_count,0.09027777777777778,2,54.31342963722199
A,fixed250_sequence_ce,23,L3,43,43,L1,10.0,0.10273972602739725,0.09235902985902987,0.06418149802342564,full_count,0.10912698412698411,2,54.31342963722199
A,fixed250_sequence_ce,101,L3,43,43,L1,0.01,0.10273972602739725,0.09299034299034299,0.06641535756602836,full_count,0.08964646464646464,2,54.31342963722199
A,fixed250_sequence_ce,11,L3,688,43,L1,0.1,0.2602739726027397,0.25516428016428017,0.24818765589045474,fixed250,0.2560545935545936,3,117.0136826471659
A,fixed250_sequence_ce,23,L3,688,43,L1,0.1,0.2945205479452055,0.2883644133644134,0.26718292672997207,fixed250,0.30777417027417026,3,117.0136826471659
A,fixed250_sequence_ce,101,L3,688,43,L1,0.1,0.3493150684931507,0.33690129315129314,0.31822592206202244,fixed250,0.33584656084656084,3,117.0136826471659
A,fixed250_sequence_ce,11,L3,43,43,L1,0.1,0.2534246575342466,0.24356754356754354,0.23243488226325756,full_count,0.19990981240981243,3,117.0136826471659
A,fixed250_sequence_ce,23,L3,43,43,L1,1.0,0.3082191780821918,0.29457348207348205,0.2683004909582246,full_count,0.24543650793650795,3,117.0136826471659
A,fixed250_sequence_ce,101,L3,43,43,L1,10.0,0.2191780821917808,0.21541583416583418,0.21901514467303942,full_count,0.21888528138528138,3,117.0136826471659
A,fixed250_sequence_ce,11,L3,672,42,L1,0.1,0.5273972602739726,0.5167291042291041,0.5252589379712496,fixed250,0.5322871572871574,4,242.10347130039656
A,fixed250_sequence_ce,23,L3,672,42,L1,10.0,0.3972602739726027,0.393290737040737,0.3925790128593332,fixed250,0.4386483886483887,4,242.10347130039656
A,fixed250_sequence_ce,101,L3,672,42,L1,0.01,0.5205479452054794,0.5013139638139638,0.48099415204678353,fixed250,0.4187169312169312,4,242.10347130039656
A,fixed250_sequence_ce,11,L3,42,42,L1,1.0,0.4452054794520548,0.444993894993895,0.4205905599074479,full_count,0.4178932178932178,4,242.10347130039656
A,fixed250_sequence_ce,23,L3,42,42,L1,1.0,0.4246575342465753,0.4098810911310911,0.38665914757868775,full_count,0.38452982202982205,4,242.10347130039656
A,fixed250_sequence_ce,101,L3,42,42,L1,0.1,0.4041095890410959,0.3920177045177045,0.3732106797498958,full_count,0.3321488696488697,4,242.10347130039656
A,fixed250_sequence_ce,11,L3,688,43,L2,0.1,0.4726027397260274,0.46451048951048945,0.4527681414888214,fixed250,0.45519480519480515,2,54.31342963722199
A,fixed250_sequence_ce,23,L3,688,43,L2,0.1,0.3972602739726027,0.3962586025086025,0.3716543231608067,fixed250,0.324476911976912,2,54.31342963722199
A,fixed250_sequence_ce,101,L3,688,43,L2,0.1,0.4041095890410959,0.38962287712287713,0.375517624027234,fixed250,0.3403499278499278,2,54.31342963722199
A,fixed250_sequence_ce,11,L3,43,43,L2,1.0,0.3150684931506849,0.3137112887112887,0.29321879165153564,full_count,0.35687830687830685,2,54.31342963722199
A,fixed250_sequence_ce,23,L3,43,43,L2,1.0,0.3356164383561644,0.3246517371517372,0.30239647086629845,full_count,0.334992784992785,2,54.31342963722199
A,fixed250_sequence_ce,101,L3,43,43,L2,1.0,0.3150684931506849,0.29614274614274616,0.2677751691598115,full_count,0.2721320346320346,2,54.31342963722199
A,fixed250_sequence_ce,11,L3,688,43,L2,0.1,0.589041095890411,0.5879412254412254,0.5855920937154988,fixed250,0.49794973544973553,3,117.0136826471659
A,fixed250_sequence_ce,23,L3,688,43,L2,0.1,0.5,0.4918172105672105,0.4933085055198147,fixed250,0.3765271765271765,3,117.0136826471659
A,fixed250_sequence_ce,101,L3,688,43,L2,0.01,0.5273972602739726,0.5124972249972249,0.49234311875517806,fixed250,0.4494408369408369,3,117.0136826471659
A,fixed250_sequence_ce,11,L3,43,43,L2,0.1,0.4383561643835616,0.4317474192474193,0.42665462712782803,full_count,0.38647787397787386,3,117.0136826471659
A,fixed250_sequence_ce,23,L3,43,43,L2,0.1,0.3767123287671233,0.3616855366855367,0.33020260940519564,full_count,0.3202741702741703,3,117.0136826471659
A,fixed250_sequence_ce,101,L3,43,43,L2,0.1,0.363013698630137,0.3577394827394827,0.34026800260671236,full_count,0.38852813852813856,3,117.0136826471659
A,fixed250_sequence_ce,11,L3,672,42,L2,10.0,0.4383561643835616,0.42886557886557886,0.4392647588871845,fixed250,0.41911976911976917,4,242.10347130039656
A,fixed250_sequence_ce,23,L3,672,42,L2,0.1,0.589041095890411,0.581447718947719,0.5839616050331775,fixed250,0.4581349206349206,4,242.10347130039656
A,fixed250_sequence_ce,101,L3,672,42,L2,0.1,0.4794520547945205,0.4702686202686202,0.45983083817869147,fixed250,0.44752886002886005,4,242.10347130039656
A,fixed250_sequence_ce,11,L3,42,42,L2,0.1,0.4452054794520548,0.42521575646575643,0.4047277661550488,full_count,0.340518278018278,4,242.10347130039656
A,fixed250_sequence_ce,23,L3,42,42,L2,1.0,0.4383561643835616,0.44056776556776556,0.4332847442305119,full_count,0.4085978835978836,4,242.10347130039656
A,fixed250_sequence_ce,101,L3,42,42,L2,1.0,0.3904109589041096,0.3880404317904318,0.3839925571504519,full_count,0.3557900432900433,4,242.10347130039656
B,fixed250_sequence_ce,11,L2,688,43,L1,0.01,0.1780821917808219,0.1663017538017538,0.1411972254569743,fixed250,0.15912698412698412,2,54.31342963722199
B,fixed250_sequence_ce,23,L2,688,43,L1,0.01,0.17123287671232876,0.1599997224997225,0.13517501017501016,fixed250,0.198015873015873,2,54.31342963722199
B,fixed250_sequence_ce,101,L2,688,43,L1,0.1,0.1780821917808219,0.16709124209124207,0.13270258620600942,fixed250,0.17389971139971142,2,54.31342963722199
B,fixed250_sequence_ce,11,L2,43,43,L1,0.01,0.17123287671232876,0.1538059163059163,0.11378882385007612,full_count,0.13952020202020202,2,54.31342963722199
B,fixed250_sequence_ce,23,L2,43,43,L1,1.0,0.14383561643835616,0.14588744588744587,0.114167431251115,full_count,0.17936507936507937,2,54.31342963722199
B,fixed250_sequence_ce,101,L2,43,43,L1,0.1,0.1506849315068493,0.13914835164835163,0.1146540530328481,full_count,0.13383838383838384,2,54.31342963722199
B,fixed250_sequence_ce,11,L2,688,43,L1,0.01,0.3424657534246575,0.3319388944388944,0.32481947996008886,fixed250,0.2609788359788359,3,117.0136826471659
B,fixed250_sequence_ce,23,L2,688,43,L1,0.1,0.4383561643835616,0.4344801032301033,0.42614911814695633,fixed250,0.4461038961038961,3,117.0136826471659
B,fixed250_sequence_ce,101,L2,688,43,L1,1.0,0.3150684931506849,0.31213786213786215,0.3105794063432069,fixed250,0.391017316017316,3,117.0136826471659
B,fixed250_sequence_ce,11,L2,43,43,L1,10.0,0.273972602739726,0.25545010545010544,0.2388785392381658,full_count,0.20580808080808077,3,117.0136826471659
B,fixed250_sequence_ce,23,L2,43,43,L1,10.0,0.3013698630136986,0.3076735764235764,0.29559389566146055,full_count,0.32818061568061563,3,117.0136826471659
B,fixed250_sequence_ce,101,L2,43,43,L1,0.1,0.2534246575342466,0.24563353313353312,0.2363960717221587,full_count,0.26666666666666666,3,117.0136826471659
B,fixed250_sequence_ce,11,L2,672,42,L1,1.0,0.4863013698630137,0.4806089743589743,0.4724185561551153,fixed250,0.5389790764790764,4,242.10347130039656
B,fixed250_sequence_ce,23,L2,672,42,L1,1.0,0.5205479452054794,0.5136696636696636,0.5089451993743656,fixed250,0.43970057720057715,4,242.10347130039656
B,fixed250_sequence_ce,101,L2,672,42,L1,0.1,0.4931506849315068,0.4835490897990898,0.4871959155988195,fixed250,0.49339826839826834,4,242.10347130039656
B,fixed250_sequence_ce,11,L2,42,42,L1,0.1,0.4657534246575342,0.44590964590964594,0.4059502821596475,full_count,0.3919372294372295,4,242.10347130039656
B,fixed250_sequence_ce,23,L2,42,42,L1,0.1,0.3904109589041096,0.3874431124431124,0.35954382174954497,full_count,0.416017316017316,4,242.10347130039656
B,fixed250_sequence_ce,101,L2,42,42,L1,1.0,0.3561643835616438,0.34745185370185366,0.3401275387415948,full_count,0.47252886002886,4,242.10347130039656
B,fixed250_sequence_ce,11,L2,688,43,L2,0.1,0.4589041095890411,0.45017760017760017,0.4466386151798865,fixed250,0.5136002886002885,2,54.31342963722199
B,fixed250_sequence_ce,23,L2,688,43,L2,10.0,0.4383561643835616,0.4218337218337218,0.40620483361930354,fixed250,0.5082130832130832,2,54.31342963722199
B,fixed250_sequence_ce,101,L2,688,43,L2,0.1,0.4931506849315068,0.48121600621600624,0.4671699537489011,fixed250,0.5307359307359307,2,54.31342963722199
B,fixed250_sequence_ce,11,L2,43,43,L2,10.0,0.4041095890410959,0.40504079254079256,0.39075990681180023,full_count,0.3772907647907648,2,54.31342963722199
B,fixed250_sequence_ce,23,L2,43,43,L2,0.1,0.4315068493150685,0.41772602397602393,0.39269326018552025,full_count,0.34219576719576716,2,54.31342963722199
B,fixed250_sequence_ce,101,L2,43,43,L2,1.0,0.4315068493150685,0.42705142080142083,0.4149457075911933,full_count,0.4525913900913901,2,54.31342963722199
B,fixed250_sequence_ce,11,L2,688,43,L2,1.0,0.4452054794520548,0.4346674159174159,0.4371832568539729,fixed250,0.5085137085137085,3,117.0136826471659
B,fixed250_sequence_ce,23,L2,688,43,L2,1.0,0.4931506849315068,0.48156496281496275,0.4890501693133272,fixed250,0.5150252525252524,3,117.0136826471659
B,fixed250_sequence_ce,101,L2,688,43,L2,0.1,0.5068493150684932,0.4929126429126429,0.5013875324775725,fixed250,0.5143578643578643,3,117.0136826471659
B,fixed250_sequence_ce,11,L2,43,43,L2,1.0,0.4041095890410959,0.40289432789432783,0.3966189407236879,full_count,0.384565897065897,3,117.0136826471659
B,fixed250_sequence_ce,23,L2,43,43,L2,0.1,0.5,0.48878898878898874,0.47730148033462777,full_count,0.4416726791726791,3,117.0136826471659
B,fixed250_sequence_ce,101,L2,43,43,L2,0.1,0.4315068493150685,0.4168283105783106,0.40468782435887696,full_count,0.42229437229437233,3,117.0136826471659
B,fixed250_sequence_ce,11,L2,672,42,L2,1.0,0.5342465753424658,0.5189636752136751,0.5196563859849864,fixed250,0.5185305435305436,4,242.10347130039656
B,fixed250_sequence_ce,23,L2,672,42,L2,1.0,0.4657534246575342,0.4526466588966589,0.43476146683914085,fixed250,0.48321308321308326,4,242.10347130039656
B,fixed250_sequence_ce,101,L2,672,42,L2,0.1,0.4726027397260274,0.46181179931179933,0.45641054398043157,fixed250,0.5628787878787879,4,242.10347130039656
B,fixed250_sequence_ce,11,L2,42,42,L2,1.0,0.4178082191780822,0.4104298479298479,0.4013848677806035,full_count,0.4031806156806157,4,242.10347130039656
B,fixed250_sequence_ce,23,L2,42,42,L2,10.0,0.3561643835616438,0.35479451104451104,0.35294821192485265,full_count,0.4391895141895142,4,242.10347130039656
B,fixed250_sequence_ce,101,L2,42,42,L2,1.0,0.3493150684931507,0.34667832167832163,0.34520321384794056,full_count,0.3879088504088504,4,242.10347130039656
C,fixed250_sequence_ce,11,L3,688,43,L1,0.01,0.19863013698630136,0.1864135864135864,0.17116691208762816,fixed250,0.15357142857142855,2,54.31342963722199
C,fixed250_sequence_ce,23,L3,688,43,L1,0.1,0.13013698630136986,0.11517649017649018,0.07540676131777828,fixed250,0.12175925925925928,2,54.31342963722199
C,fixed250_sequence_ce,101,L3,688,43,L1,0.001,0.1232876712328767,0.10905067155067154,0.06492003367003367,fixed250,0.07638888888888888,2,54.31342963722199
C,fixed250_sequence_ce,11,L3,43,43,L1,1.0,0.13013698630136986,0.1307026307026307,0.07549753831218362,full_count,0.14027777777777778,2,54.31342963722199
C,fixed250_sequence_ce,23,L3,43,43,L1,0.01,0.14383561643835616,0.12946220446220447,0.09098352291599417,full_count,0.11805555555555554,2,54.31342963722199
C,fixed250_sequence_ce,101,L3,43,43,L1,0.001,0.10273972602739725,0.0902014652014652,0.03694653299916458,full_count,0.09027777777777778,2,54.31342963722199
C,fixed250_sequence_ce,11,L3,688,43,L1,0.01,0.3082191780821918,0.3031690531690532,0.2864460119040929,fixed250,0.26607142857142857,3,117.0136826471659
C,fixed250_sequence_ce,23,L3,688,43,L1,0.1,0.3561643835616438,0.3503891941391941,0.3215775981794288,fixed250,0.33875661375661376,3,117.0136826471659
C,fixed250_sequence_ce,101,L3,688,43,L1,0.1,0.3493150684931507,0.3433476245976246,0.3276093127780771,fixed250,0.3107202982202983,3,117.0136826471659
C,fixed250_sequence_ce,11,L3,43,43,L1,10.0,0.2534246575342466,0.25248293373293373,0.2437138957949405,full_count,0.21872294372294374,3,117.0136826471659
C,fixed250_sequence_ce,23,L3,43,43,L1,1.0,0.3150684931506849,0.30308788433788436,0.2886453934134227,full_count,0.29477513227513225,3,117.0136826471659
C,fixed250_sequence_ce,101,L3,43,43,L1,1.0,0.2534246575342466,0.2516150516150516,0.24541913369632853,full_count,0.21531385281385276,3,117.0136826471659
