architecture,objective,seed,best_epoch,last_layer,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,test_loss,test_accuracy,test_balanced_accuracy,test_macro_f1,train_test_ba_gap
A,fixed250_sequence_ce,11,71,L3,0.1056994307576238,0.9793459552495697,0.9804410730453553,0.9809519818027744,2.737900495529175,0.5158730158730159,0.5173701298701299,0.5251186678818257,2.7493966834185875,0.5205479452054794,0.5143772893772894,0.51314010170332,0.4660637836680659
A,fixed250_sequence_ce,23,81,L3,0.17037122345268213,0.9569707401032702,0.9588365939290836,0.9574731866274138,2.9036126136779785,0.5238095238095238,0.5137626262626261,0.5272521544502969,3.2302155298729467,0.4931506849315068,0.48293512043512044,0.47496075910026825,0.47590147349396317
A,fixed250_sequence_ce,101,73,L3,0.10506763253938053,0.9793459552495697,0.9805116373808568,0.9810666737055928,3.4719505310058594,0.5079365079365079,0.49121572871572866,0.505794249610039,3.3560466407096547,0.4863013698630137,0.4756125818625819,0.46991387609615165,0.5048990555182749
B,fixed250_sequence_ce,11,43,L2,0.05855039599481425,0.9862306368330465,0.9869267080051394,0.9869944620610739,2.392138957977295,0.5793650793650794,0.5694925444925444,0.5770383706894863,2.5756316772878987,0.5342465753424658,0.5159403096903097,0.5115241865241865,0.4709863983148297
B,fixed250_sequence_ce,23,100,L2,0.01551970057874732,0.9965576592082617,0.996545584045584,0.996651896640988,3.7881975173950195,0.5396825396825397,0.533080808080808,0.5438308964044258,3.8152351281414294,0.5068493150684932,0.49446178821178827,0.48173304232082886,0.5020837958337958
B,fixed250_sequence_ce,101,98,L2,0.020081810117418688,0.9931153184165232,0.9932776101893749,0.9934264111502635,3.187594175338745,0.6111111111111112,0.5989898989898989,0.6100148040365433,3.8655412262433195,0.4931506849315068,0.4806020368520369,0.468892479262567,0.512675573337338
C,fixed250_sequence_ce,11,54,L3,0.11405024077685585,0.9724612736660929,0.97300568281173,0.9738929291442399,3.2696144580841064,0.4523809523809524,0.4407106782106782,0.46231899340594995,3.234099662467225,0.4794520547945205,0.4803335553335553,0.4800530336679665,0.49267212747817474
C,fixed250_sequence_ce,23,96,L3,0.12817745449313198,0.9672977624784854,0.9690847631048333,0.9685492428992704,4.368515491485596,0.5079365079365079,0.4909151034151034,0.48513974329763815,4.218762074431328,0.4931506849315068,0.47804764679764683,0.45435413726082535,0.49103711630718644
C,fixed250_sequence_ce,101,63,L3,0.13987426681559462,0.9621342512908778,0.9634538599614442,0.964479945152049,3.4486875534057617,0.5079365079365079,0.4913419913419914,0.5194857546259147,3.378077017117853,0.5136986301369864,0.49426545676545675,0.47852602448346726,0.4691884031959874
D,fixed250_sequence_ce,11,83,L3,0.0612680357624416,0.9845094664371773,0.9851602939595449,0.985803369682773,3.6505112648010254,0.46825396825396826,0.45367364117364123,0.46953785736680476,3.042913900662775,0.5136986301369864,0.5063283938283938,0.5063347345121753,0.47883190013115107
D,fixed250_sequence_ce,23,75,L3,0.11490406766662088,0.9690189328743546,0.9704065454865493,0.9710370067483103,2.9888083934783936,0.5079365079365079,0.49705988455988454,0.5007755364308512,3.066498286103549,0.5068493150684932,0.5039224664224663,0.49685338945169555,0.46648407906408296
D,fixed250_sequence_ce,101,20,L3,0.8415908303605505,0.7401032702237521,0.7398148394651684,0.7501541581483177,2.04659366607666,0.5079365079365079,0.48806517556517565,0.5028292651919654,2.077155008707961,0.4041095890410959,0.39301809301809293,0.3914464228552251,0.3467967464470754
E,fixed250_sequence_ce,11,73,L3,0.10715905978967934,0.9759036144578314,0.9762114237056431,0.9773530261434736,2.9397542476654053,0.5238095238095238,0.525036075036075,0.5119533349123468,3.5375330742091347,0.5068493150684932,0.5027070152070151,0.49731747720878156,0.47350440849862796
E,fixed250_sequence_ce,23,90,L3,0.10699289848886931,0.9724612736660929,0.9739364111365129,0.9744138108538439,4.321901321411133,0.4523809523809524,0.45542929292929296,0.45070451313678866,4.318071417612572,0.4315068493150685,0.4325792263292263,0.4191384249838576,0.5413571848072866
E,fixed250_sequence_ce,101,55,L3,0.1689743934609573,0.9586919104991394,0.9591571574315733,0.9614636726537534,3.1434361934661865,0.5158730158730159,0.5035473785473786,0.504629791314574,2.782411372824891,0.547945205479452,0.5316260128760129,0.5258371891790116,0.4275311445555604
A,relative10_sequence_ce,11,68,L3,0.11171945904280586,0.9707401032702238,0.9718025917968113,0.9727531844318876,1.8183295726776123,0.5555555555555556,0.5525252525252525,0.5612263135805448,2.14270223330145,0.5753424657534246,0.5712787212787213,0.566605067501717,0.40052387051809
A,relative10_sequence_ce,23,99,L3,0.06724727516569094,0.9810671256454389,0.9819516031833365,0.9828666045791209,3.2432734966278076,0.5634920634920635,0.5543410293410294,0.5591721301238058,2.581996878532514,0.541095890410959,0.5265394327894327,0.5327644175591525,0.4554121703939038
A,relative10_sequence_ce,101,73,L3,0.09341134366269982,0.9759036144578314,0.9768091194441547,0.9773028514071617,2.1104068756103516,0.5873015873015873,0.5877525252525253,0.5939665491724987,1.839064264950687,0.5958904109589042,0.5861735486735487,0.5787471382526795,0.39063557077060607
B,relative10_sequence_ce,11,35,L2,0.09497353167669037,0.9793459552495697,0.979117453341046,0.9802030654701818,1.4670497179031372,0.6428571428571429,0.6428751803751803,0.6492886582017017,1.2604162007162016,0.6986301369863014,0.6867465867465867,0.6887887745271554,0.2923708665944593
B,relative10_sequence_ce,23,96,L2,0.029135573226373432,0.9948364888123924,0.9950023741690409,0.9950948403429826,2.3154454231262207,0.6984126984126984,0.703433140933141,0.7039555473766,1.5610522676820624,0.6575342465753424,0.6483197358197358,0.641143508933364,0.34668263834930513
B,relative10_sequence_ce,101,54,L2,0.07169774906283402,0.9827882960413081,0.983719137119988,0.9839188107824822,1.6680926084518433,0.6666666666666666,0.6743927368927368,0.6753252764943437,1.6246575607012397,0.7054794520547946,0.6940989565989567,0.695046564846224,0.28962018052103133
C,relative10_sequence_ce,11,89,L3,0.061226513366601246,0.9845094664371773,0.9852902783970117,0.9859025693521691,2.9058077335357666,0.5793650793650794,0.566552429052429,0.5761246183824369,2.0759351988361305,0.636986301369863,0.6282571595071594,0.6299631567904986,0.35703311888985223
C,relative10_sequence_ce,23,69,L3,0.14721518424828497,0.9604130808950087,0.9618613175663212,0.9635472408515331,2.695051670074463,0.5793650793650794,0.5742845117845118,0.5796676695424844,2.3048907665357197,0.589041095890411,0.582304501054501,0.5884562013813417,0.37955681651182016
C,relative10_sequence_ce,101,100,L3,0.09646401938256165,0.9707401032702238,0.9724661371294742,0.9725871313742519,3.014331579208374,0.5634920634920635,0.5638407888407889,0.5667690293356716,2.5195489974871075,0.6095890410958904,0.590596903096903,0.5955074148168776,0.3818692340325711
D,relative10_sequence_ce,11,93,L3,0.0763902620363519,0.9776247848537005,0.9789404961038332,0.9798107472720559,2.1036012172698975,0.6031746031746031,0.6048821548821549,0.6047261235496528,2.398978693844521,0.5684931506849316,0.56502664002664,0.560826812910642,0.4139138560771931
D,relative10_sequence_ce,23,52,L3,0.24595369013241153,0.9363166953528399,0.9366429295025732,0.9419307585179332,2.284240245819092,0.5555555555555556,0.5472703222703222,0.5568871674134831,1.7982418308519337,0.6095890410958904,0.6057872682872683,0.5888469533871833,0.33085566121530496
D,relative10_sequence_ce,101,85,L3,0.07293462297653142,0.9810671256454389,0.9818358624425958,0.9827861877556526,2.2820420265197754,0.6190476190476191,0.6188071188071188,0.6198860953437612,1.4535515047099492,0.6917808219178082,0.6825459262959263,0.6937683601912098,0.29928993614666954
E,relative10_sequence_ce,11,53,L3,0.16388956727956946,0.9569707401032702,0.9579232166693306,0.960658670628456,2.0849127769470215,0.5952380952380952,0.5884740259740261,0.597164883619992,1.9077593529061094,0.6027397260273972,0.5988449050949051,0.5917165193561313,0.3590783115744255
E,relative10_sequence_ce,23,90,L3,0.0825553301352328,0.9810671256454389,0.9820851501918835,0.9827849336868404,2.6066854000091553,0.6031746031746031,0.596542809042809,0.606443128856307,2.1159752917616337,0.6027397260273972,0.6033834221334221,0.5920249773781411,0.37870172805846136
E,relative10_sequence_ce,101,47,L3,0.26609094975686115,0.9208261617900172,0.9213168474872092,0.9280309359319058,1.6375043392181396,0.5793650793650794,0.5787878787878789,0.5938267700617951,2.003326798138553,0.547945205479452,0.5517080142080141,0.5476278308214315,0.36960883327919514
A,timestep_ce,11,99,L3,1.037098381995334,0.9397590361445783,0.938126361485771,0.9402225558333422,2.1887471675872803,0.5,0.4784752284752285,0.44571695342570933,2.2453319209895723,0.5136986301369864,0.5003454878454878,0.4708771266492406,0.4377808736402832
A,timestep_ce,23,97,L3,1.118318654071033,0.9139414802065404,0.9074969041068611,0.911890432894611,2.3123998641967773,0.4365079365079365,0.43056156806156815,0.40649020913726797,2.2623175954165524,0.4931506849315068,0.4797334609834609,0.4675544885222305,0.4277634431234002
A,timestep_ce,101,48,L3,1.7003049569367952,0.6643717728055077,0.6444564905621616,0.6205730112492235,2.1604857444763184,0.42063492063492064,0.4050384800384801,0.34946463488999496,2.1289047541683668,0.4315068493150685,0.40603840603840596,0.3651110607413129,0.23841808452375562
B,timestep_ce,11,94,L2,1.58193517634052,0.7986230636833046,0.7894637494537396,0.7877133177408794,2.0262162685394287,0.49206349206349204,0.47543891293891294,0.4387046345704401,2.086707059651205,0.5,0.47474123099123094,0.4397730462844942,0.3147225184625087
