objective,architecture,last_layer,mean_test_balanced_accuracy,mean_test_macro_f1,mean_test_accuracy,mean_val_balanced_accuracy,mean_train_balanced_accuracy,mean_train_test_ba_gap,mean_best_epoch,sd_test_balanced_accuracy,sd_test_macro_f1,sd_test_accuracy,sd_val_balanced_accuracy,sd_train_balanced_accuracy,sd_train_test_ba_gap,sd_best_epoch
fixed250_sequence_ce,A,L3,0.49097499722499727,0.48600491229991327,0.5,0.5074494949494949,0.9732631014517653,0.482288104226768,75.0,0.020595032198870347,0.02363486058734804,0.018121584322360235,0.014174092393129225,0.012493771820705456,0.02019000678572974,5.291502622129181
fixed250_sequence_ce,B,L2,0.49700137825137825,0.4873832360358608,0.5114155251141552,0.5671877505210837,0.9922499674133661,0.49524858916198783,80.33333333333333,0.017805491287098525,0.02187027966837979,0.020925003173314416,0.033014937869907626,0.00489108692691839,0.02166879937142526,32.34707611722168
fixed250_sequence_ce,C,L3,0.48421555296555296,0.47097773180408636,0.4954337899543379,0.47432259098925766,0.9685147686260024,0.48429921566044953,71.0,0.008778198519578215,0.014416686891114716,0.01723706492070953,0.029109552878765706,0.0048013539986376825,0.013111857434567449,22.11334438749598
fixed250_sequence_ce,D,L3,0.4677563177563177,0.46487818227303196,0.4748858447488585,0.47959956709956714,0.8984605596370875,0.43070424188076983,59.333333333333336,0.06473637925800829,0.0637702238073145,0.06138963314953771,0.022898502654372887,0.1375891226447471,0.07292782743056773,34.29771615331454
fixed250_sequence_ce,E,L3,0.48897075147075136,0.48076436379055026,0.4954337899543379,0.49467091550424885,0.9697683307579097,0.4807975792871583,72.66666666666667,0.05093211351775341,0.05524183870103246,0.05905258975514867,0.0356422463648448,0.009259679803783213,0.05726241887101783,17.50238079043344
relative10_sequence_ce,A,L3,0.5613305675805675,0.559372207771183,0.5707762557077626,0.5648729357062691,0.9768544381414341,0.41552387056086665,80.0,0.031036772799722737,0.023829358898340414,0.027681177289913556,0.019835094522463105,0.005074657463237995,0.034896303037022826,16.64331697709324
relative10_sequence_ce,B,L2,0.6763884263884264,0.6749929494355812,0.6872146118721462,0.6735670194003527,0.9859463215433584,0.30955789515493193,61.666666666666664,0.024584606531164708,0.029480984577422254,0.025931088336987592,0.030287423194583635,0.008173306568928722,0.03218037424277034,31.214312956291916
relative10_sequence_ce,C,L3,0.6003861878861878,0.6046422576629059,0.6118721461187214,0.5682259098925765,0.9732059110309357,0.37281972314474787,86.0,0.024490493609377516,0.022210152007599192,0.024054004001946877,0.005419247256129469,0.011731986211655252,0.013720403569978732,15.716233645501712
relative10_sequence_ce,D,L3,0.6177866115366115,0.6144807088296783,0.6232876712328768,0.5903198653198652,0.9658064293496674,0.34801981781305585,76.66666666666667,0.059671465878778925,0.07007981743627835,0.06277500951994297,0.03792655432093368,0.025297788026969983,0.05920825076662758,21.73323108360405
relative10_sequence_ce,E,L3,0.5846454471454471,0.5771231091852346,0.5844748858447488,0.5879349046015713,0.9537750714494745,0.36912962430402735,63.333333333333336,0.02861477591399503,0.02554412595698878,0.031635631188472645,0.00888973430311819,0.030595783777760798,0.009820481126599334,23.288051299611425
timestep_ce,A,L3,0.4620391182891182,0.4345142253042613,0.4794520547945205,0.43802509219175895,0.8300265853849312,0.367987467095813,81.33333333333333,0.049580981659105315,0.06012785893032065,0.04277395889313974,0.03728293375757901,0.16143647662232474,0.11232210781328077,28.884828774519907
timestep_ce,B,L2,0.4926210363710363,0.4647229488096552,0.5159817351598174,0.48035513868847196,0.7969084596105772,0.3042874232395409,96.0,0.02102492441667257,0.02850985551048444,0.02201746749085152,0.00669107461471749,0.00687204804247176,0.014898010283396141,2.0
timestep_ce,C,L3,0.44562520812520806,0.4122226632609367,0.4634703196347032,0.4559183100849768,0.8617005091864841,0.41607530106127605,69.33333333333333,0.05172949299092708,0.060732653765735875,0.05320173606269882,0.02953494751346149,0.04331399513743375,0.03929986551342084,8.020806277010644
timestep_ce,D,L3,0.44703352203352203,0.41685550358064427,0.4634703196347032,0.40588423921757255,0.8831354442626665,0.43610192222914446,87.33333333333333,0.01155384502414969,0.00901581518451599,0.014257986297713238,0.0013133484134573855,0.06775546157561473,0.061194003459464665,13.576941236277532
timestep_ce,E,L3,0.4134580697080697,0.37459532957766645,0.4315068493150685,0.4247234247234248,0.8499990711350153,0.4365410014269456,74.66666666666667,0.025768208569742747,0.0435366534809102,0.024695556681260222,0.022879879653801005,0.1531466418105273,0.14924813968740866,27.465129406819358
