contrast,method_a,method_b,delta_linear_test_ba_mean,delta_linear_test_ba_std,delta_lif_test_ba_mean,delta_lif_test_ba_std,delta_l1_pre_reset_fixed250_ba_mean,delta_l1_pre_reset_fixed250_ba_std,delta_l1_communication_fixed250_ba_mean,delta_l1_communication_fixed250_ba_std,delta_l2_pre_reset_fixed250_ba_mean,delta_l2_pre_reset_fixed250_ba_std,delta_l2_communication_fixed250_ba_mean,delta_l2_communication_fixed250_ba_std,delta_l1_threshold_delta_fixed250_mean,delta_l1_threshold_delta_fixed250_std,delta_l1_to_l2_transform_delta_fixed250_mean,delta_l1_to_l2_transform_delta_fixed250_std,delta_l2_threshold_delta_fixed250_mean,delta_l2_threshold_delta_fixed250_std
l1_mt_when_l2_binary,mb,bb,-0.029837986087986046,0.04295656157143531,-0.01630082880082882,0.06563070968143747,0.0014753764753765441,0.012985327295665788,0.03344225219225224,0.014431261376333318,-0.009176471676471657,0.015189109970209278,-0.02473267473267478,0.012030940368820596,0.031966875716875696,0.017798154217700715,-0.042618723868723896,0.02850440762438681,-0.015556203056203125,0.02624247130136583
l2_mt_when_l1_binary,bm,bb,-0.0038389850889850585,0.00596493722362729,-0.03765193140193148,0.027631900651979766,-0.008672346172346135,0.007762300878777127,0.026322057572057633,0.020232023227813773,0.0021180208680208943,0.04759061040908221,-0.01675153550153548,0.03157797183135767,0.03499440374440377,0.026854283458940927,-0.02420403670403674,0.032507710744230534,-0.018869556369556378,0.07116827255122105
l2_mt_when_l1_mt,mm,mb,0.02954244829244827,0.024095200019318534,0.015860297110297128,0.05769748531421514,-0.00015725015725021052,0.020368967347629028,0.005224173974173925,0.016332145225835662,-0.004961936211936154,0.01126724630927094,0.04480773855773856,0.014632131154171618,0.005381424131424136,0.004285276359043782,-0.010186110186110079,0.008885759466871162,0.04976967476967472,0.015843983554384957
l1_mt_when_l2_mt,mm,bm,0.0035434472934472807,0.024424387213022997,0.037211399711399785,0.04538514568182762,0.009990472490472468,0.03134147736661172,0.01234436859436853,0.019169428397463373,-0.016256428756428704,0.021421919552484202,0.03682659932659926,0.0345545434417288,0.0023538961038960617,0.04802412019465551,-0.028600797350797236,0.010970915965350719,0.05308302808302797,0.0447594396952889
mm_vs_bb,mm,bb,-0.00029553779553777765,0.021156793820127074,-0.00044053169053169067,0.07297417179802355,0.0013181263181263336,0.023608934442889185,0.03866642616642616,0.0019664077153945703,-0.014138407888407811,0.026454035742494632,0.020075063825063782,0.00977618213719077,0.03734829984829983,0.021825957555900884,-0.05280483405483397,0.024574098444515444,0.03421347171347159,0.033381769008333416
