method,layer,threshold_multiplier,shift,mean_value_per_neuron_step_mean,mean_value_per_neuron_step_std,fraction_nonzero_mean,fraction_nonzero_std,fraction_gt1_mean,fraction_gt1_std,fraction_at_cap_mean,fraction_at_cap_std
bb,l1,1.0,2,0.0075650746682694526,0.00012232425498472384,0.0075650746682694526,0.00012232425498472384,0.0,0.0,0.0075650746682694526,0.00012232425498472384
bb,l1,1.0,3,0.02784841339559542,0.00613004595891094,0.02784841339559542,0.00613004595891094,0.0,0.0,0.02784841339559542,0.00613004595891094
bb,l1,1.0,4,0.13234547740014938,0.006786652197781847,0.13234547740014938,0.006786652197781847,0.0,0.0,0.13234547740014938,0.006786652197781847
bb,l2,1.0,2,0.3486330081526346,0.006063796461843302,0.3486330081526346,0.006063796461843302,0.0,0.0,0.3486330081526346,0.006063796461843302
bb,l2,1.0,3,0.36530815109343934,0.0182413467611786,0.36530815109343934,0.0182413467611786,0.0,0.0,0.36530815109343934,0.0182413467611786
bb,l2,1.0,4,0.38076632795817683,0.009470639157525523,0.38076632795817683,0.009470639157525523,0.0,0.0,0.38076632795817683,0.009470639157525523
mb,l1,0.5,2,0.03895883955526103,0.0043413125914336746,0.03895883955526103,0.0043413125914336746,0.0,0.0,0.03895883955526103,0.0043413125914336746
mb,l1,0.5,3,0.11918567957335353,0.01660022781457719,0.11918567957335353,0.01660022781457719,0.0,0.0,0.11918567957335353,0.01660022781457719
mb,l1,0.5,4,0.2518579002177412,0.02772500247894135,0.2518579002177412,0.02772500247894135,0.0,0.0,0.2518579002177412,0.02772500247894135
mb,l1,1.0,2,0.005535306678447832,0.0013514745733872843,0.005535306678447832,0.0013514745733872843,0.0,0.0,0.005535306678447832,0.0013514745733872843
mb,l1,1.0,3,0.02348212313421061,0.0038245079620891852,0.02348212313421061,0.0038245079620891852,0.0,0.0,0.02348212313421061,0.0038245079620891852
mb,l1,1.0,4,0.08564288869954874,0.013232953347573554,0.08564288869954874,0.013232953347573554,0.0,0.0,0.08564288869954874,0.013232953347573554
mb,l1,1.5,2,0.000520685411341475,0.0001488656823985743,0.000520685411341475,0.0001488656823985743,0.0,0.0,0.000520685411341475,0.0001488656823985743
mb,l1,1.5,3,0.0032779513395815585,0.0006365803628038321,0.0032779513395815585,0.0006365803628038321,0.0,0.0,0.0032779513395815585,0.0006365803628038321
mb,l1,1.5,4,0.03449738079459749,0.00658536303276749,0.03449738079459749,0.00658536303276749,0.0,0.0,0.03449738079459749,0.00658536303276749
mb,l2,1.0,2,0.3795836094543848,0.009209720473219574,0.3795836094543848,0.009209720473219574,0.0,0.0,0.3795836094543848,0.009209720473219574
mb,l2,1.0,3,0.40523011800001024,0.01784260919743078,0.40523011800001024,0.01784260919743078,0.0,0.0,0.40523011800001024,0.01784260919743078
mb,l2,1.0,4,0.41094898860803436,0.002079024402866995,0.41094898860803436,0.002079024402866995,0.0,0.0,0.41094898860803436,0.002079024402866995
bm,l1,1.0,2,0.007888072084290125,0.0008610118303760472,0.007888072084290125,0.0008610118303760472,0.0,0.0,0.007888072084290125,0.0008610118303760472
bm,l1,1.0,3,0.030503028341578437,0.007693606907193626,0.030503028341578437,0.007693606907193626,0.0,0.0,0.030503028341578437,0.007693606907193626
bm,l1,1.0,4,0.13205292057180726,0.003801728081606148,0.13205292057180726,0.003801728081606148,0.0,0.0,0.13205292057180726,0.003801728081606148
bm,l2,0.5,2,0.4038123113172815,0.05560078814869577,0.4038123113172815,0.05560078814869577,0.0,0.0,0.4038123113172815,0.05560078814869577
bm,l2,0.5,3,0.4119765533781439,0.0029430415166306952,0.4119765533781439,0.0029430415166306952,0.0,0.0,0.4119765533781439,0.0029430415166306952
bm,l2,0.5,4,0.4350464672283758,0.02013407334697371,0.4350464672283758,0.02013407334697371,0.0,0.0,0.4350464672283758,0.02013407334697371
bm,l2,1.0,2,0.34500957219645095,0.032957900465956716,0.34500957219645095,0.032957900465956716,0.0,0.0,0.34500957219645095,0.032957900465956716
bm,l2,1.0,3,0.38140798068730475,0.013165650279642973,0.38140798068730475,0.013165650279642973,0.0,0.0,0.38140798068730475,0.013165650279642973
bm,l2,1.0,4,0.36710096563476285,0.023915410623138688,0.36710096563476285,0.023915410623138688,0.0,0.0,0.36710096563476285,0.023915410623138688
bm,l2,1.5,2,0.32988773706964564,0.013431815137913784,0.32988773706964564,0.013431815137913784,0.0,0.0,0.32988773706964564,0.013431815137913784
bm,l2,1.5,3,0.3683139259680015,0.01031831039088961,0.3683139259680015,0.01031831039088961,0.0,0.0,0.3683139259680015,0.01031831039088961
bm,l2,1.5,4,0.3343747041560163,0.016900660280404867,0.3343747041560163,0.016900660280404867,0.0,0.0,0.3343747041560163,0.016900660280404867
mm,l1,0.5,2,0.03787460422649289,0.00316818716288415,0.03787460422649289,0.00316818716288415,0.0,0.0,0.03787460422649289,0.00316818716288415
mm,l1,0.5,3,0.124163747672694,0.014788845512725827,0.124163747672694,0.014788845512725827,0.0,0.0,0.124163747672694,0.014788845512725827
mm,l1,0.5,4,0.2501853955631292,0.039984957031178346,0.2501853955631292,0.039984957031178346,0.0,0.0,0.2501853955631292,0.039984957031178346
mm,l1,1.0,2,0.005110080259185627,0.0008883090743052744,0.005110080259185627,0.0008883090743052744,0.0,0.0,0.005110080259185627,0.0008883090743052744
mm,l1,1.0,3,0.01800309255577645,0.0026427816642692553,0.01800309255577645,0.0026427816642692553,0.0,0.0,0.01800309255577645,0.0026427816642692553
mm,l1,1.0,4,0.09060320615986621,0.01871004956471349,0.09060320615986621,0.01871004956471349,0.0,0.0,0.09060320615986621,0.01871004956471349
mm,l1,1.5,2,0.00038459717883177125,0.00026939677264584426,0.00038459717883177125,0.00026939677264584426,0.0,0.0,0.00038459717883177125,0.00026939677264584426
mm,l1,1.5,3,0.0036231026539177633,0.0007213822556586121,0.0036231026539177633,0.0007213822556586121,0.0,0.0,0.0036231026539177633,0.0007213822556586121
mm,l1,1.5,4,0.030316119158067468,0.004068044470430658,0.030316119158067468,0.004068044470430658,0.0,0.0,0.030316119158067468,0.004068044470430658
mm,l2,0.5,2,0.41517193137471464,0.024324848780692812,0.41517193137471464,0.024324848780692812,0.0,0.0,0.41517193137471464,0.024324848780692812
