method,parameter_count_mean,parameter_count_std,linear_test_ba_mean,linear_test_ba_std,lif_test_ba_mean,lif_test_ba_std,best_epoch_mean,best_epoch_std,l1_pre_reset_whole_ba_mean,l1_pre_reset_whole_ba_std,l1_pre_reset_fixed250_ba_mean,l1_pre_reset_fixed250_ba_std,l1_communication_whole_ba_mean,l1_communication_whole_ba_std,l1_communication_fixed250_ba_mean,l1_communication_fixed250_ba_std,l2_pre_reset_whole_ba_mean,l2_pre_reset_whole_ba_std,l2_pre_reset_fixed250_ba_mean,l2_pre_reset_fixed250_ba_std,l2_communication_whole_ba_mean,l2_communication_whole_ba_std,l2_communication_fixed250_ba_mean,l2_communication_fixed250_ba_std,l1_threshold_delta_whole_mean,l1_threshold_delta_whole_std,l1_to_l2_transform_delta_whole_mean,l1_to_l2_transform_delta_whole_std,l2_threshold_delta_whole_mean,l2_threshold_delta_whole_std,l1_quantization_gap_whole_mean,l1_quantization_gap_whole_std,l2_quantization_gap_whole_mean,l2_quantization_gap_whole_std,l1_threshold_delta_fixed250_mean,l1_threshold_delta_fixed250_std,l1_to_l2_transform_delta_fixed250_mean,l1_to_l2_transform_delta_fixed250_std,l2_threshold_delta_fixed250_mean,l2_threshold_delta_fixed250_std,l1_quantization_gap_fixed250_mean,l1_quantization_gap_fixed250_std,l2_quantization_gap_fixed250_mean,l2_quantization_gap_fixed250_std
bb,21760.0,0.0,0.5645017020017019,0.032830002252363294,0.5246843434343434,0.03737815187318897,91.0,2.6457513110645907,0.5311704499204498,0.024105163336712736,0.623111148111148,0.010642177098256681,0.5647514522514522,0.024849056426323332,0.5340670903170902,0.010434188213798944,0.5492863617863617,0.010603917066769747,0.5897424334924334,0.012493883277289853,0.5547915047915047,0.010824095222741793,0.6183529433529433,0.021818358358565947,0.03358100233100236,0.047497033643187456,-0.01546509046509048,0.025189870708162938,0.005505143005142932,0.021414778630933013,-0.03358100233100236,0.047497033643187456,-0.005505143005142932,0.021414778630933013,-0.08904405779405777,0.021028674804279533,0.05567534317534321,0.022257106292068566,0.028610509860509874,0.03347307463698474,0.08904405779405777,0.021028674804279533,-0.028610509860509874,0.03347307463698474
mb,21760.0,0.0,0.5346637159137159,0.011585947114532553,0.5083835146335146,0.04341023353982355,92.0,13.0,0.5608856421356421,0.02996357012567215,0.6245865245865246,0.012501957272546948,0.544090169090169,0.023889338676777085,0.5675093425093425,0.010018080303819003,0.5075968013468013,0.01790172298348361,0.5805659618159619,0.00459175912548667,0.5668336293336292,0.03298554052337534,0.5936202686202686,0.015169833882498734,-0.016795473045473058,0.047442779899729386,-0.036493367743367734,0.016432492795281053,0.059236827986828,0.0350142738441174,0.016795473045473058,0.047442779899729386,-0.059236827986828,0.0350142738441174,-0.05707718207718208,0.0038122805250041013,0.013056619306619313,0.008322688629454818,0.013054306804306748,0.01059248545745262,0.05707718207718208,0.0038122805250041013,-0.013054306804306748,0.01059248545745262
bm,21760.0,0.0,0.5606627169127169,0.03321235835120753,0.48703241203241193,0.011996577792651677,96.0,2.0,0.5399457024457024,0.028642291436707233,0.6144388019388018,0.018400808330595528,0.5312118437118437,0.0072915576825388975,0.5603891478891478,0.02992017260930566,0.5072829947829948,0.042385847336062196,0.5918604543604543,0.03628724281693637,0.5656831594331594,0.02315614235076537,0.6016014078514078,0.02716662617767556,-0.008733858733858754,0.023014767468788864,-0.023928848928848907,0.036662971119169954,0.058400164650164656,0.01989892089546911,0.008733858733858754,0.023014767468788864,-0.058400164650164656,0.01989892089546911,-0.054049654049654006,0.0471168635922279,0.03147130647130647,0.01139625202181893,0.009740953490953497,0.040026883378531636,0.054049654049654006,0.0471168635922279,-0.009740953490953497,0.040026883378531636
mm,21760.0,0.0,0.5642061642061642,0.01735348080107515,0.5242438117438117,0.03673693360403683,90.0,1.7320508075688772,0.5452036389536389,0.011775724895606696,0.6244292744292744,0.013002180543985139,0.546268315018315,0.00536394303880512,0.5727335164835164,0.01220315640289,0.5210063085063085,0.014193147857821149,0.5756040256040257,0.014866509169113805,0.579793586043586,0.024688938764548786,0.6384280071780072,0.01590673760863952,0.0010646760646759734,0.007569831228227591,-0.025262006512006423,0.019400467561686265,0.05878727753727745,0.036440874014982326,-0.0010646760646759734,0.007569831228227591,-0.05878727753727745,0.036440874014982326,-0.051695757945757946,0.001029876662974437,0.002870509120509235,0.0030298773739805876,0.06282398157398146,0.0073607716567306025,0.051695757945757946,0.001029876662974437,-0.06282398157398146,0.0073607716567306025
