method,seed,layer,bank,cap,count,fraction_at_cap,fraction_gt1,fraction_nonzero,mean_value_per_neuron_step,shift,start,stop,threshold_multiplier
bb,11,l1,0,1,43,0.007472606223126358,0.0,0.007472606223126358,0.007472606223126358,2,0,43,1.0
bb,11,l1,0,1,43,0.029304791406599164,0.0,0.029304791406599164,0.029304791406599164,3,43,86,1.0
bb,11,l1,0,1,42,0.13310020827416455,0.0,0.13310020827416455,0.13310020827416455,4,86,128,1.0
bb,11,l2,0,1,43,0.34175952039699786,0.0,0.34175952039699786,0.34175952039699786,2,0,43,1.0
bb,11,l2,0,1,43,0.3861597854732073,0.0,0.3861597854732073,0.3861597854732073,3,43,86,1.0
bb,11,l2,0,1,42,0.3828891728991133,0.0,0.3828891728991133,0.3828891728991133,4,86,128,1.0
bb,23,l1,0,1,43,0.007518840445697905,0.0,0.007518840445697905,0.007518840445697905,2,0,43,1.0
bb,23,l1,0,1,43,0.03311911476875183,0.0,0.03311911476875183,0.03311911476875183,3,43,86,1.0
bb,23,l1,0,1,42,0.12521300766827606,0.0,0.12521300766827606,0.12521300766827606,4,86,128,1.0
bb,23,l2,0,1,43,0.3509138964661643,0.0,0.3509138964661643,0.3509138964661643,2,0,43,1.0
bb,23,l2,0,1,43,0.35746181823785966,0.0,0.35746181823785966,0.35746181823785966,3,43,86,1.0
bb,23,l2,0,1,42,0.3704144182523904,0.0,0.3704144182523904,0.3704144182523904,4,86,128,1.0
bb,37,l1,0,1,43,0.007703777335984096,0.0,0.007703777335984096,0.007703777335984096,2,0,43,1.0
bb,37,l1,0,1,43,0.021121334011435264,0.0,0.021121334011435264,0.021121334011435264,3,43,86,1.0
bb,37,l1,0,1,42,0.13872321625800751,0.0,0.13872321625800751,0.13872321625800751,4,86,128,1.0
bb,37,l2,0,1,43,0.35322560759474164,0.0,0.35322560759474164,0.35322560759474164,2,0,43,1.0
bb,37,l2,0,1,43,0.3523028495692512,0.0,0.3523028495692512,0.3523028495692512,3,43,86,1.0
bb,37,l2,0,1,42,0.3889953927230269,0.0,0.3889953927230269,0.3889953927230269,4,86,128,1.0
mb,11,l1,0,1,15,0.043130108239452174,0.0,0.043130108239452174,0.043130108239452174,2,0,15,0.5
mb,11,l1,0,1,14,0.12000615355486131,0.0,0.12000615355486131,0.12000615355486131,3,15,29,0.5
mb,11,l1,0,1,14,0.23214877402253148,0.0,0.23214877402253148,0.23214877402253148,4,29,43,0.5
mb,11,l1,1,1,15,0.003981665562182461,0.0,0.003981665562182461,0.003981665562182461,2,43,58,1.0
mb,11,l1,1,1,14,0.022330303890940074,0.0,0.022330303890940074,0.022330303890940074,3,58,72,1.0
mb,11,l1,1,1,14,0.0926228344220392,0.0,0.0926228344220392,0.0926228344220392,4,72,86,1.0
mb,11,l1,2,1,14,0.0006922749218971882,0.0,0.0006922749218971882,0.0006922749218971882,2,86,100,1.5
mb,11,l1,2,1,14,0.0032483669412098834,0.0,0.0032483669412098834,0.0032483669412098834,3,100,114,1.5
mb,11,l1,2,1,14,0.03292743538767395,0.0,0.03292743538767395,0.03292743538767395,4,114,128,1.5
mb,11,l2,0,1,43,0.38966588068488295,0.0,0.38966588068488295,0.38966588068488295,2,0,43,1.0
mb,11,l2,0,1,43,0.41891673216514863,0.0,0.41891673216514863,0.41891673216514863,3,43,86,1.0
mb,11,l2,0,1,42,0.41334926946258954,0.0,0.41334926946258954,0.41334926946258954,4,86,128,1.0
mb,23,l1,0,1,15,0.03928098078197482,0.0,0.03928098078197482,0.03928098078197482,2,0,15,0.5
mb,23,l1,0,1,14,0.10219042885543879,0.0,0.10219042885543879,0.10219042885543879,3,15,29,0.5
mb,23,l1,0,1,14,0.2835605415128278,0.0,0.2835605415128278,0.2835605415128278,4,29,43,0.5
mb,23,l1,1,1,15,0.00643914292025624,0.0,0.00643914292025624,0.00643914292025624,2,43,58,1.0
mb,23,l1,1,1,14,0.027750165672630882,0.0,0.027750165672630882,0.027750165672630882,3,58,72,1.0
mb,23,l1,1,1,14,0.09392454795039289,0.0,0.09392454795039289,0.09392454795039289,4,72,86,1.0
mb,23,l1,2,1,14,0.0004437659755751207,0.0,0.0004437659755751207,0.0004437659755751207,2,86,100,1.5
mb,23,l1,2,1,14,0.0026566789737763894,0.0,0.0026566789737763894,0.0026566789737763894,3,100,114,1.5
mb,23,l1,2,1,14,0.02883887153270851,0.0,0.02883887153270851,0.02883887153270851,4,114,128,1.5
mb,23,l2,0,1,43,0.3774716044816373,0.0,0.3774716044816373,0.3774716044816373,2,0,43,1.0
mb,23,l2,0,1,43,0.411723457703392,0.0,0.411723457703392,0.411723457703392,3,43,86,1.0
mb,23,l2,0,1,42,0.40971236075609835,0.0,0.40971236075609835,0.40971236075609835,4,86,128,1.0
mb,37,l1,0,1,15,0.03446542964435609,0.0,0.03446542964435609,0.03446542964435609,2,0,15,0.5
mb,37,l1,0,1,14,0.13536045630976049,0.0,0.13536045630976049,0.13536045630976049,3,15,29,0.5
mb,37,l1,0,1,14,0.23986438511786423,0.0,0.23986438511786423,0.23986438511786423,4,29,43,0.5
mb,37,l1,1,1,15,0.006185111552904793,0.0,0.006185111552904793,0.006185111552904793,2,43,58,1.0
mb,37,l1,1,1,14,0.020365899839060873,0.0,0.020365899839060873,0.020365899839060873,3,58,72,1.0
mb,37,l1,1,1,14,0.07038128372621415,0.0,0.07038128372621415,0.07038128372621415,4,72,86,1.0
mb,37,l1,2,1,14,0.0004260153365521159,0.0,0.0004260153365521159,0.0004260153365521159,2,86,100,1.5
mb,37,l1,2,1,14,0.003928808103758402,0.0,0.003928808103758402,0.003928808103758402,3,100,114,1.5
mb,37,l1,2,1,14,0.041725835463410015,0.0,0.041725835463410015,0.041725835463410015,4,114,128,1.5
mb,37,l2,0,1,43,0.37161334319663414,0.0,0.37161334319663414,0.37161334319663414,2,0,43,1.0
mb,37,l2,0,1,43,0.3850501641314901,0.0,0.3850501641314901,0.3850501641314901,3,43,86,1.0
mb,37,l2,0,1,42,0.40978533560541514,0.0,0.40978533560541514,0.40978533560541514,4,86,128,1.0
bm,11,l1,0,1,43,0.007233729406506696,0.0,0.007233729406506696,0.007233729406506696,2,0,43,1.0
bm,11,l1,0,1,43,0.03354678132753865,0.0,0.03354678132753865,0.03354678132753865,3,43,86,1.0
bm,11,l1,0,1,42,0.13215942440594527,0.0,0.13215942440594527,0.13215942440594527,4,86,128,1.0
bm,11,l2,0,1,15,0.3399326264634416,0.0,0.3399326264634416,0.3399326264634416,2,0,15,0.5
bm,11,l2,0,1,14,0.41005751207043456,0.0,0.41005751207043456,0.41005751207043456,3,15,29,0.5
bm,11,l2,0,1,14,0.43161270472403673,0.0,0.43161270472403673,0.43161270472403673,4,29,43,0.5
bm,11,l2,1,1,15,0.3826264634415728,0.0,0.3826264634415728,0.3826264634415728,2,43,58,1.0
bm,11,l2,1,1,14,0.38366231184322636,0.0,0.38366231184322636,0.38366231184322636,3,58,72,1.0
bm,11,l2,1,1,14,0.354030578434157,0.0,0.354030578434157,0.354030578434157,4,72,86,1.0
bm,11,l2,2,1,14,0.3385756887247941,0.0,0.3385756887247941,0.3385756887247941,2,86,100,1.5
bm,11,l2,2,1,14,0.38004118148253335,0.0,0.38004118148253335,0.38004118148253335,3,100,114,1.5
bm,11,l2,2,1,14,0.345658193694973,0.0,0.345658193694973,0.345658193694973,4,114,128,1.5
bm,23,l1,0,1,43,0.008863485752153745,0.0,0.008863485752153745,0.008863485752153745,2,0,43,1.0
bm,23,l1,0,1,43,0.03620910197728359,0.0,0.03620910197728359,0.03620910197728359,3,43,86,1.0
bm,23,l1,0,1,42,0.12819905961059042,0.0,0.12819905961059042,0.12819905961059042,4,86,128,1.0
bm,23,l2,0,1,15,0.44131875414181576,0.0,0.44131875414181576,0.44131875414181576,2,0,15,0.5
bm,23,l2,0,1,14,0.41536495313831295,0.0,0.41536495313831295,0.41536495313831295,3,15,29,0.5
bm,23,l2,0,1,14,0.416850089936571,0.0,0.416850089936571,0.416850089936571,4,29,43,0.5
bm,23,l2,1,1,15,0.3212060967528164,0.0,0.3212060967528164,0.3212060967528164,2,43,58,1.0
bm,23,l2,1,1,14,0.3672607213859699,0.0,0.3672607213859699,0.3672607213859699,3,58,72,1.0
bm,23,l2,1,1,14,0.3947032093155354,0.0,0.3947032093155354,0.3947032093155354,4,72,86,1.0
bm,23,l2,2,1,14,0.3144170690144845,0.0,0.3144170690144845,0.3144170690144845,2,86,100,1.5
bm,23,l2,2,1,14,0.36062789927104044,0.0,0.36062789927104044,0.36062789927104044,3,100,114,1.5
bm,23,l2,2,1,14,0.31494367130550033,0.0,0.31494367130550033,0.31494367130550033,4,114,128,1.5
bm,37,l1,0,1,43,0.007567001094209934,0.0,0.007567001094209934,0.007567001094209934,2,0,43,1.0
bm,37,l1,0,1,43,0.02175320171991308,0.0,0.02175320171991308,0.02175320171991308,3,43,86,1.0
bm,37,l1,0,1,42,0.13580027769888606,0.0,0.13580027769888606,0.13580027769888606,4,86,128,1.0
bm,37,l2,0,1,15,0.43018555334658715,0.0,0.43018555334658715,0.43018555334658715,2,0,15,0.5
bm,37,l2,0,1,14,0.410507194925684,0.0,0.410507194925684,0.410507194925684,3,15,29,0.5
bm,37,l2,0,1,14,0.45667660702451957,0.0,0.45667660702451957,0.45667660702451957,4,29,43,0.5
bm,37,l2,1,1,15,0.3311961563949635,0.0,0.3311961563949635,0.3311961563949635,2,43,58,1.0
bm,37,l2,1,1,14,0.39330090883271795,0.0,0.39330090883271795,0.39330090883271795,3,58,72,1.0
bm,37,l2,1,1,14,0.3525691091545962,0.0,0.3525691091545962,0.3525691091545962,4,72,86,1.0
bm,37,l2,2,1,14,0.33667045346965824,0.0,0.33667045346965824,0.33667045346965824,2,86,100,1.5
bm,37,l2,2,1,14,0.36427269715043076,0.0,0.36427269715043076,0.36427269715043076,3,100,114,1.5
bm,37,l2,2,1,14,0.3425222474675755,0.0,0.3425222474675755,0.3425222474675755,4,114,128,1.5
mm,11,l1,0,1,15,0.037187983211840074,0.0,0.037187983211840074,0.037187983211840074,2,0,15,0.5
mm,11,l1,0,1,14,0.11408335700085204,0.0,0.11408335700085204,0.11408335700085204,3,15,29,0.5
mm,11,l1,0,1,14,0.21114385117864243,0.0,0.21114385117864243,0.21114385117864243,4,29,43,0.5
mm,11,l1,1,1,15,0.005284956925115971,0.0,0.005284956925115971,0.005284956925115971,2,43,58,1.0
mm,11,l1,1,1,14,0.015052541891508094,0.0,0.015052541891508094,0.015052541891508094,3,58,72,1.0
mm,11,l1,1,1,14,0.0908122692416927,0.0,0.0908122692416927,0.0908122692416927,4,72,86,1.0
mm,11,l1,2,1,14,0.0006745242828741835,0.0,0.0006745242828741835,0.0006745242828741835,2,86,100,1.5
mm,11,l1,2,1,14,0.003692132916785004,0.0,0.003692132916785004,0.003692132916785004,3,100,114,1.5
mm,11,l1,2,1,14,0.034406655306257694,0.0,0.034406655306257694,0.034406655306257694,4,114,128,1.5
mm,11,l2,0,1,15,0.3999171636845593,0.0,0.3999171636845593,0.3999171636845593,2,0,15,0.5
mm,11,l2,0,1,14,0.4464049039098741,0.0,0.4464049039098741,0.4464049039098741,3,15,29,0.5
mm,11,l2,0,1,14,0.43536400643756507,0.0,0.43536400643756507,0.43536400643756507,4,29,43,0.5
mm,11,l2,1,1,15,0.37026176275679257,0.0,0.37026176275679257,0.37026176275679257,2,43,58,1.0
mm,11,l2,1,1,14,0.4255952380952381,0.0,0.4255952380952381,0.4255952380952381,3,58,72,1.0
mm,11,l2,1,1,14,0.35436784057559406,0.0,0.35436784057559406,0.35436784057559406,4,72,86,1.0
mm,11,l2,2,1,14,0.3837214806399697,0.0,0.3837214806399697,0.3837214806399697,2,86,100,1.5
mm,11,l2,2,1,14,0.39933020922086526,0.0,0.39933020922086526,0.39933020922086526,3,100,114,1.5
mm,11,l2,2,1,14,0.4242639401685127,0.0,0.4242639401685127,0.4242639401685127,4,114,128,1.5
mm,23,l1,0,1,15,0.04132979898387453,0.0,0.04132979898387453,0.04132979898387453,2,0,15,0.5
mm,23,l1,0,1,14,0.11726663826564424,0.0,0.11726663826564424,0.11726663826564424,3,15,29,0.5
mm,23,l1,0,1,14,0.29105131118053584,0.0,0.29105131118053584,0.29105131118053584,4,29,43,0.5
mm,23,l1,1,1,15,0.004147338193063839,0.0,0.004147338193063839,0.004147338193063839,2,43,58,1.0
mm,23,l1,1,1,14,0.020152892170784815,0.0,0.020152892170784815,0.020152892170784815,3,58,72,1.0
mm,23,l1,1,1,14,0.10920784814920004,0.0,0.10920784814920004,0.10920784814920004,4,72,86,1.0
mm,23,l1,2,1,14,0.00014200511218403862,0.0,0.00014200511218403862,0.00014200511218403862,2,86,100,1.5
mm,23,l1,2,1,14,0.004307488402915839,0.0,0.004307488402915839,0.004307488402915839,3,100,114,1.5
mm,23,l1,2,1,14,0.03027075641389757,0.0,0.03027075641389757,0.03027075641389757,4,114,128,1.5
mm,23,l2,0,1,15,0.4432239893969516,0.0,0.4432239893969516,0.4432239893969516,2,0,15,0.5
mm,23,l2,0,1,14,0.42323440310517846,0.0,0.42323440310517846,0.42323440310517846,3,15,29,0.5
mm,23,l2,0,1,14,0.41537087001798734,0.0,0.41537087001798734,0.41537087001798734,4,29,43,0.5
mm,23,l2,1,1,15,0.388220675944334,0.0,0.388220675944334,0.388220675944334,2,43,58,1.0
mm,23,l2,1,1,14,0.39026554955978415,0.0,0.39026554955978415,0.39026554955978415,3,58,72,1.0
mm,23,l2,1,1,14,0.4308967622834422,0.0,0.4308967622834422,0.4308967622834422,4,72,86,1.0
mm,23,l2,2,1,14,0.3413270377733598,0.0,0.3413270377733598,0.3413270377733598,2,86,100,1.5
mm,23,l2,2,1,14,0.33308482438701126,0.0,0.33308482438701126,0.33308482438701126,3,100,114,1.5
mm,23,l2,2,1,14,0.37270425068635804,0.0,0.37270425068635804,0.37270425068635804,4,114,128,1.5
