metric,effect,mean,std
linear_test_ba,l1_mt_main_effect,-0.013147269397269382,0.03247046886988461
linear_test_ba,l2_mt_main_effect,0.012851731601731605,0.011895481590521648
linear_test_ba,l1_x_l2_interaction,0.033381433381433324,0.02581294928952922
lif_test_ba,l1_mt_main_effect,0.010455285455285485,0.051005283672412825
lif_test_ba,l2_mt_main_effect,-0.010895817145817175,0.038264854425319
lif_test_ba,l1_x_l2_interaction,0.05351222851222862,0.04825191347176276
l1_pre_reset_fixed250_ba,l1_mt_main_effect,0.005732924482924506,0.019661329539525516
l1_pre_reset_fixed250_ba,l2_mt_main_effect,-0.004414798164798173,0.0069777136573408215
l1_pre_reset_fixed250_ba,l1_x_l2_interaction,0.008515096015095924,0.027487130442218243
l1_communication_fixed250_ba,l1_mt_main_effect,0.022893310393310384,0.013360011029645765
l1_communication_fixed250_ba,l2_mt_main_effect,0.01577311577311578,0.015121594343778215
l1_communication_fixed250_ba,l1_x_l2_interaction,-0.02109788359788371,0.0209164289769077
l2_pre_reset_fixed250_ba,l1_mt_main_effect,-0.012716450216450181,0.0037465942949178044
l2_pre_reset_fixed250_ba,l2_mt_main_effect,-0.00142195767195763,0.029413290168935784
l2_pre_reset_fixed250_ba,l1_x_l2_interaction,-0.007079957079957048,0.036373995144300404
l2_communication_fixed250_ba,l1_mt_main_effect,0.00604696229696224,0.012589725653068904
l2_communication_fixed250_ba,l2_mt_main_effect,0.014028101528101541,0.009734216776647734
l2_communication_fixed250_ba,l1_x_l2_interaction,0.06155927405927405,0.04520525665418476
l1_threshold_delta_fixed250,l1_mt_main_effect,0.017160385910385878,0.03287311741261131
l1_threshold_delta_fixed250,l2_mt_main_effect,0.020187913937913953,0.011783662766419624
l1_threshold_delta_fixed250,l1_x_l2_interaction,-0.029612979612979633,0.03039100910404652
l1_to_l2_transform_delta_fixed250,l1_mt_main_effect,-0.035609760609760566,0.010223716774033614
l1_to_l2_transform_delta_fixed250,l2_mt_main_effect,-0.01719507344507341,0.014350862297245
l1_to_l2_transform_delta_fixed250,l1_x_l2_interaction,0.01401792651792666,0.038047693275274276
l2_threshold_delta_fixed250,l1_mt_main_effect,0.01876341251341242,0.011282703207805535
l2_threshold_delta_fixed250,l2_mt_main_effect,0.015450059200059171,0.03793730930303402
l2_threshold_delta_fixed250,l1_x_l2_interaction,0.0686392311392311,0.06982085588831409
