readout,seed,epoch,train_loss,train_accuracy,train_balanced_accuracy,train_macro_f1,train_hidden_1_firing_rate,train_hidden_2_firing_rate,train_output_firing_rate,train_output_full_window_firing_rate,train_mean_active_bins,val_loss,val_accuracy,val_balanced_accuracy,val_macro_f1,val_hidden_1_firing_rate,val_hidden_2_firing_rate,val_output_firing_rate,val_output_full_window_firing_rate,val_silent_output_fraction,val_mean_active_bins,val_mean_last_active_bin
fixed200_zero_hold_gru,11,1,2.4490565580673347,0.11876075731497418,0.1142935267355863,0.08518700233288429,0.007452539065771183,0.03358640946622674,0.0665290501951195,0.03399122438414372,4.001721170395869,2.441702127456665,0.11904761904761904,0.11111111111111112,0.07086644849618202,0.004717265823896058,0.024386028443508033,0.04704371872530946,0.022023034474206348,0.42857142857142855,2.6031746031746033,3.4285714285714284
fixed200_zero_hold_gru,11,2,2.4079056184181042,0.14285714285714285,0.13645571484953953,0.11797581832757847,0.007576582310281877,0.03568729378464837,0.0708297393940409,0.036687276449548195,4.123924268502582,2.433912515640259,0.12698412698412698,0.12083333333333333,0.09108211472341908,0.004844833640593451,0.026926411201826005,0.05149899043104205,0.02433655753968254,0.42857142857142855,2.7301587301587302,3.507936507936508
fixed200_zero_hold_gru,11,3,2.375511550246746,0.18244406196213425,0.17328149888888109,0.14583206705506782,0.007947665265379268,0.03918013172659822,0.0776981760932554,0.04055759869836489,4.285714285714286,2.4104292392730713,0.1349206349206349,0.13134920634920635,0.09518494495236525,0.005165810727767536,0.030200651830392417,0.05703515933631815,0.02720520988343254,0.40476190476190477,2.9365079365079363,3.7222222222222223
fixed200_zero_hold_gru,11,4,2.3398421204644104,0.1927710843373494,0.18249647765574661,0.1533625059007909,0.008433108764466478,0.04356063778116469,0.08349209472926122,0.04396947443793029,4.502581755593804,2.3964791297912598,0.1746031746031746,0.1625,0.09916738962791594,0.005525195329646212,0.03361754894214731,0.06109263892546747,0.029145740327380952,0.3888888888888889,3.142857142857143,3.9285714285714284
fixed200_zero_hold_gru,11,5,2.3081912419882165,0.21514629948364888,0.20296425351521688,0.17463754608157092,0.0091294781181436,0.0490727113236304,0.09270950223591874,0.049158828393932874,4.769363166953529,2.367443799972534,0.16666666666666666,0.15634920634920635,0.11261747998248699,0.00600940435431481,0.037996005618470725,0.0679511236941445,0.03250751798115079,0.36507936507936506,3.373015873015873,4.2063492063492065
fixed200_zero_hold_gru,11,6,2.2765817051294954,0.2547332185886403,0.2399787346288471,0.21264529293081136,0.00996009680606964,0.05504222704205537,0.09925971829098766,0.05280097790716437,5.049913941480207,2.3434464931488037,0.18253968253968253,0.17301587301587304,0.13302321770459025,0.006641756649986832,0.042574730050039505,0.07302914581687298,0.035069056919642856,0.3412698412698413,3.6031746031746033,4.404761904761905
fixed200_zero_hold_gru,11,7,2.2445589388093934,0.26506024096385544,0.25222349964178786,0.22232287866900305,0.011015511162845227,0.0633915935317467,0.1089680648835145,0.0581956032836704,5.378657487091222,2.317617416381836,0.20634920634920634,0.1974206349206349,0.15465421016891603,0.007460659731366869,0.04937971863752085,0.08045825651830392,0.038614908854166664,0.2698412698412698,3.9523809523809526,4.888888888888889
fixed200_zero_hold_gru,11,8,2.2241787836596805,0.26506024096385544,0.24952102852375693,0.21559759267435138,0.012120124106051218,0.07270923007352571,0.1195986232770027,0.06453611600419536,5.748709122203098,2.2846641540527344,0.1984126984126984,0.18412698412698414,0.1374234163680885,0.008296023176191731,0.056924051883065575,0.08858418927223247,0.042703295510912696,0.2698412698412698,4.174603174603175,5.0396825396825395
fixed200_zero_hold_gru,11,9,2.1750502393496016,0.2891566265060241,0.2757020274669198,0.24245270255693951,0.013393006682633527,0.0836088105247291,0.13524848426482658,0.07342056563306798,6.146299483648881,2.278146266937256,0.18253968253968253,0.16666666666666666,0.13233353253909863,0.009245237468176631,0.06517206566587656,0.1025947019576859,0.04971555679563492,0.24603174603174602,4.5,5.404761904761905
fixed200_zero_hold_gru,11,10,2.1515226245131633,0.30120481927710846,0.28567726272309296,0.2526379120186431,0.014834943976418175,0.09401588172241111,0.15141440702095232,0.08315383464662221,6.502581755593804,2.224876880645752,0.21428571428571427,0.20592231842231842,0.17900788904078377,0.010378259151962076,0.07424584101483628,0.11770257220612765,0.057257758246527776,0.21428571428571427,4.809523809523809,5.73015873015873
fixed200_zero_hold_gru,11,11,2.099851038698075,0.31669535283993117,0.30438569113453945,0.26411925551760757,0.01622768268377242,0.10428320799906209,0.1616607977289095,0.08957691816372633,6.857142857142857,2.192213773727417,0.20634920634920634,0.18813131313131315,0.15785695001796696,0.01154420156263717,0.0840219252041085,0.12998474672987445,0.06342909071180555,0.18253968253968253,5.158730158730159,6.166666666666667
fixed200_zero_hold_gru,11,12,2.062289120203041,0.3442340791738382,0.32894504944911906,0.292770249257059,0.017703640276684477,0.11615550731070058,0.17120061299345135,0.09555374119244836,7.161790017211704,2.152615547180176,0.21428571428571427,0.19507575757575757,0.15439034734475368,0.012726604336757088,0.09476642744271793,0.13956467825476254,0.06862676711309523,0.15873015873015872,5.404761904761905,6.373015873015873
fixed200_zero_hold_gru,11,13,2.035794272069882,0.32358003442340794,0.3078803881677556,0.2752436720958338,0.019429777915487296,0.12968616535749578,0.18295750498266536,0.10276597461273666,7.4716006884681585,2.1131043434143066,0.2777777777777778,0.2555916305916306,0.23184870720269782,0.014050291897111754,0.10564261258888596,0.14809937670090423,0.07341754247271826,0.12698412698412698,5.753968253968254,6.674603174603175
