architecture,condition,seed,epoch,split,shift,valid_firing_rate_hz,tail_firing_rate_hz,tail_valid_ratio,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz
mid_long,sat_relative_tail,37,1,train,6,15.655115815566013,29.027059904494454,1.8541581069386024,30.037991841778418,29.24713611116365,27.693467748545203
mid_long,sat_relative_tail,37,1,train,7,12.25938411943403,23.670190967953445,1.9307814109870807,23.988349000397193,23.755127259430186,23.23350545037292
mid_long,sat_relative_tail,37,1,val,6,11.530172107469975,24.260651629072683,2.104101430832511,25.599627885342173,24.39211582068725,22.667674477198286
mid_long,sat_relative_tail,37,1,val,7,7.843385128610306,17.88025619604567,2.279660618834575,18.257805686377115,17.965695679981394,17.378684807256235
mid_long,sat_relative_tail,37,2,train,6,14.673152306461633,27.698989297684832,1.8877326915966788,28.76051773814252,27.936978683966636,26.291178318717044
mid_long,sat_relative_tail,37,2,train,7,12.422057874684869,23.807953618987227,1.916586918139053,24.081153499397907,23.918543877235788,23.39218096877305
mid_long,sat_relative_tail,37,2,val,6,10.583326017616248,22.845685642678124,2.1586489544639207,24.220943078085934,23.013431013431013,21.174099269337365
mid_long,sat_relative_tail,37,2,val,7,7.751616773476136,17.814695468830806,2.298190943828352,18.172219315076457,17.913599627885343,17.320231796422274
mid_long,sat_relative_tail,37,3,train,6,15.152190019994466,28.380762577700708,1.8730469021474874,29.454937489360898,28.59710112033692,26.98270633554627
mid_long,sat_relative_tail,37,3,train,7,13.046363711042895,24.62141584598329,1.8872243938088946,24.890570129812815,24.718276559928885,24.224899598393574
mid_long,sat_relative_tail,37,3,val,6,10.88458306683221,23.41345427059713,2.1510657897355046,24.844235129949414,23.558578987150415,21.706223230032755
mid_long,sat_relative_tail,37,3,val,7,8.025851653979123,18.36145920356447,2.2877895076046006,18.758299901157045,18.44572358858073,17.84026203073822
mid_long,sat_relative_tail,37,4,train,6,15.734232326591682,29.224317247507752,1.857371662049067,30.257494656806188,29.408131742038798,27.905909351692483
mid_long,sat_relative_tail,37,4,train,7,13.75785083826017,25.71012729758993,1.8687604335766483,25.955804379212296,25.81135215902858,25.33431685927383
mid_long,sat_relative_tail,37,4,val,6,11.449373147555923,24.340215618411108,2.125899409925946,25.696377696377695,24.498168498168496,22.699924414210127
mid_long,sat_relative_tail,37,4,val,7,8.578334608358311,19.24239169351951,2.2431383913109033,19.669980812837956,19.286702715274142,18.73116654069035
mid_long,sat_relative_tail,37,5,train,6,15.741990848963232,28.952657029837933,1.8391992034314235,29.95729227742997,29.141016184045444,27.660246427888424
mid_long,sat_relative_tail,37,5,train,7,14.297068143082848,26.319706322605136,1.8409163374757387,26.61189183736516,26.393196017980873,25.923558178291398
mid_long,sat_relative_tail,37,5,val,6,11.51492197265176,24.286748617575686,2.109154423734468,25.57544043258329,24.41630327344613,22.75031494079113
mid_long,sat_relative_tail,37,5,val,7,8.99757954274678,19.93237060906234,2.215303628533123,20.375138089423803,19.9713936856794,19.410430839002267
mid_long,sat_relative_tail,37,6,train,6,15.838359863683527,28.785906245821092,1.8174802500747294,29.77612175546771,28.989301003070366,27.492828456683878
mid_long,sat_relative_tail,37,6,train,7,14.970936645380178,27.16961077392276,1.814823709263837,27.522182923215624,27.228436508987283,26.723929732535584
mid_long,sat_relative_tail,37,6,val,6,11.597326209915096,24.324302820543423,2.0974061072583643,25.672190243618815,24.436769579626723,22.74225245653817
mid_long,sat_relative_tail,37,6,val,7,9.410938460187868,20.707642121175954,2.200380143678314,21.193790336647478,20.77144020001163,20.111866969009824
mid_long,sat_relative_tail,37,7,train,6,15.990569822314844,28.933331607849226,1.8093996605094556,29.91532850396878,29.16199807077604,27.621779635549
