architecture,objective,profile,seed,shift,alpha,tau_syn_ms,tau_group,neuron_start,neuron_stop,neuron_count,n_test_samples,fs_hz,tail_stage1_steps,tail_stage2_steps,tail_stage3_steps,valid_firing_rate_hz,tail_stage1_firing_rate_hz,tail_stage2_firing_rate_hz,tail_stage3_firing_rate_hz,tail_firing_rate_hz,valid_spikes_per_neuron_sample,tail_stage1_spikes_per_neuron_sample,tail_stage2_spikes_per_neuron_sample,tail_stage3_spikes_per_neuron_sample,tail_spikes_per_neuron_sample,tail_to_valid_rate_ratio
short_mid,whole_count_ce,a1,23,2,0.75,54.31342963722199,short_mid,0,32,32,146,64.0,13,13,12,0.9827700463883366,0.04320337197049526,0.0,0.0,0.014780100937274693,1.269691780821918,0.00877568493150685,0.0,0.0,0.00877568493150685,0.015039226105426509
short_mid,whole_count_ce,a1,23,3,0.875,117.0136826471659,short_mid,32,64,32,146,64.0,13,13,12,2.256626905235255,0.5047418335089568,0.001053740779768177,0.0,0.17303532804614274,2.915453767123288,0.10252568493150685,0.00021404109589041095,0.0,0.10273972602739725,0.07667874899688111
short_mid,whole_count_ce,a1,23,4,0.9375,242.10347130039656,short_mid,64,96,32,146,64.0,13,13,12,6.397614314115308,3.9199157007376186,1.0158061116965227,0.16666666666666666,1.7411679884643114,8.26541095890411,0.7962328767123288,0.20633561643835616,0.03125,1.0338184931506849,0.2721589490980574
short_mid,whole_count_ce,a1,23,5,0.96875,492.1461612435418,short_mid,96,128,32,146,64.0,13,13,12,11.389662027833001,13.609062170706006,9.36354056902002,5.96689497716895,9.743330930064888,14.714897260273972,2.7643407534246576,1.9019691780821917,1.118792808219178,5.785102739726027,0.855453911297371
