epoch,train_ba,val_ba,train_total_loss,val_loss
1,0.06481587871131896,0.05496031746031746,3.1706844329833985,4.920774936676025
2,0.08941510329875109,0.04265873015873015,2.609509325027466,2.7440078258514404
3,0.09342489237485686,0.05952380952380953,2.512751054763794,2.5538976192474365
4,0.09054258396581892,0.08333333333333333,2.5092923641204834,2.503441095352173
5,0.0906761309743659,0.08333333333333333,2.5115530490875244,2.4923412799835205
6,0.10029989237485686,0.08333333333333333,2.512768268585205,2.493403434753418
7,0.09702057138720255,0.07142857142857142,2.5126319408416746,2.4977712631225586
8,0.09687459358792287,0.07142857142857142,2.511938047409058,2.5094118118286133
9,0.10563054346073214,0.09226190476190477,2.510933446884155,2.494953155517578
10,0.1098678943996199,0.07837301587301587,2.509494256973267,2.497246503829956
11,0.11827067217739769,0.0992063492063492,2.50583553314209,2.4417824745178223
12,0.12909815642811687,0.0992063492063492,2.500230073928833,2.463993549346924
13,0.12648117585959948,0.12003968253968254,2.49621467590332,2.456885814666748
14,0.11927675990518351,0.12202380952380953,2.4956877708435057,2.6381876468658447
15,0.12124670752029243,0.12202380952380953,2.4967830657958983,2.7731282711029053
16,0.1321803541919184,0.12202380952380953,2.489843797683716,2.7023701667785645
17,0.13371347385003807,0.13392857142857142,2.4821286678314207,2.7930033206939697
18,0.13215895307381917,0.12698412698412698,2.4763633251190185,2.7685413360595703
19,0.13837993669653234,0.12698412698412698,2.4693367004394533,3.1559762954711914
20,0.14044186891176644,0.13392857142857142,2.4713961601257326,3.189228057861328
21,0.1478783934866558,0.13392857142857142,2.4606273651123045,3.087582588195801
22,0.15434866485865673,0.12698412698412698,2.452875757217407,3.2393782138824463
23,0.15248909695742216,0.12698412698412698,2.451593589782715,3.2163245677948
24,0.1553179002230534,0.13392857142857142,2.4425920486450194,3.1967411041259766
25,0.15085205466050972,0.13392857142857142,2.445641803741455,3.3109991550445557
26,0.15994035798110273,0.12896825396825398,2.435941791534424,3.388824939727783
27,0.16557015568364217,0.12896825396825398,2.422231435775757,3.208930492401123
28,0.16680824992418739,0.14424603174603176,2.4253721237182617,3.245257616043091
29,0.1714313663566808,0.1359126984126984,2.4027849674224853,3.293330430984497
30,0.16953323735505718,0.14285714285714288,2.4115188121795654,3.7308132648468018
31,0.18784401608250256,0.15476190476190474,2.3920682430267335,3.341531753540039
32,0.18145275302457284,0.16309523809523807,2.389240789413452,3.334303855895996
33,0.18702611484793472,0.15476190476190474,2.388827610015869,3.572314500808716
34,0.19878890044650463,0.15476190476190474,2.3860973834991457,3.41036057472229
35,0.20891350940689787,0.16170634920634921,2.3741520404815675,3.453627586364746
36,0.21319181476174007,0.16170634920634921,2.380087661743164,3.438628911972046
37,0.21253477924741485,0.16865079365079363,2.3644546031951905,3.2373478412628174
38,0.2131668510725607,0.15476190476190477,2.3694337368011475,3.5951530933380127
39,0.20996469057873354,0.1630952380952381,2.3546502590179443,3.4773805141448975
40,0.22197206495296729,0.17003968253968252,2.3522102355957033,3.289484977722168
41,0.22844760969432779,0.16170634920634921,2.3458544254302978,3.506225109100342
42,0.2297891041774257,0.15476190476190477,2.3434235095977782,3.535712957382202
43,0.23489950303782456,0.15476190476190477,2.330135154724121,3.766679286956787
44,0.23004785500614502,0.15476190476190477,2.327685594558716,3.9521729946136475
45,0.23557726110551971,0.1755952380952381,2.334429216384888,3.7516114711761475
46,0.24884174353666885,0.1755952380952381,2.3247067451477053,3.253727436065674
47,0.24379607437936443,0.1755952380952381,2.31594033241272,3.7595813274383545
48,0.24850639084213189,0.15476190476190477,2.308689069747925,4.115101337432861
