experiment,condition,seed,sampling_rate_hz,n_bins,feature_dim,nominal_fraction_per_bin,accuracy,balanced_accuracy,macro_f1
experiment_1_3,temporal_bins,11,64.0,1,30,1.0,0.3684210526315789,0.3401124338624339,0.33772122771735774
experiment_1_3,temporal_bins,11,64.0,2,60,0.5,0.5263157894736842,0.5127314814814815,0.5028096794273266
experiment_1_3,temporal_bins,11,64.0,4,120,0.25,0.5684210526315789,0.5641534391534392,0.5586387798075104
experiment_1_3,temporal_bins,11,64.0,10,300,0.1,0.6631578947368421,0.6759259259259259,0.6739850033580684
experiment_1_3,permuted_10_bins,11,64.0,10,300,0.1,0.17894736842105263,0.17080026455026454,0.15756421439470977
experiment_1_3,random_10_groups,11,64.0,10,300,0.1,0.21052631578947367,0.22123015873015872,0.21762888169621916
experiment_1_3,temporal_bins,11,64.0,20,600,0.05,0.6210526315789474,0.6245039682539683,0.6382174248466818
experiment_1_3,temporal_bins,23,64.0,1,30,1.0,0.3684210526315789,0.3401124338624339,0.33772122771735774
experiment_1_3,temporal_bins,23,64.0,2,60,0.5,0.5263157894736842,0.5127314814814815,0.5028096794273266
experiment_1_3,temporal_bins,23,64.0,4,120,0.25,0.5684210526315789,0.5641534391534392,0.5586387798075104
experiment_1_3,temporal_bins,23,64.0,10,300,0.1,0.6631578947368421,0.6759259259259259,0.6739850033580684
experiment_1_3,permuted_10_bins,23,64.0,10,300,0.1,0.17894736842105263,0.16699735449735445,0.16193957115009747
experiment_1_3,random_10_groups,23,64.0,10,300,0.1,0.22105263157894736,0.21279761904761907,0.19150132275132273
experiment_1_3,temporal_bins,23,64.0,20,600,0.05,0.6210526315789474,0.6245039682539683,0.6382174248466818
experiment_1_3,temporal_bins,37,64.0,1,30,1.0,0.3684210526315789,0.3401124338624339,0.33772122771735774
experiment_1_3,temporal_bins,37,64.0,2,60,0.5,0.5263157894736842,0.5127314814814815,0.5028096794273266
experiment_1_3,temporal_bins,37,64.0,4,120,0.25,0.5684210526315789,0.5641534391534392,0.5586387798075104
experiment_1_3,temporal_bins,37,64.0,10,300,0.1,0.6631578947368421,0.6759259259259259,0.6739850033580684
experiment_1_3,permuted_10_bins,37,64.0,10,300,0.1,0.18947368421052632,0.19626322751322753,0.18892195767195766
experiment_1_3,random_10_groups,37,64.0,10,300,0.1,0.24210526315789474,0.22751322751322753,0.2307037790783921
experiment_1_3,temporal_bins,37,64.0,20,600,0.05,0.6210526315789474,0.6245039682539683,0.6382174248466818
experiment_1_3,temporal_bins,53,64.0,1,30,1.0,0.3684210526315789,0.3401124338624339,0.33772122771735774
experiment_1_3,temporal_bins,53,64.0,2,60,0.5,0.5263157894736842,0.5127314814814815,0.5028096794273266
experiment_1_3,temporal_bins,53,64.0,4,120,0.25,0.5684210526315789,0.5641534391534392,0.5586387798075104
experiment_1_3,temporal_bins,53,64.0,10,300,0.1,0.6631578947368421,0.6759259259259259,0.6739850033580684
experiment_1_3,permuted_10_bins,53,64.0,10,300,0.1,0.2,0.19146825396825395,0.1721007370657391
experiment_1_3,random_10_groups,53,64.0,10,300,0.1,0.17894736842105263,0.1669973544973545,0.1634831127478186
experiment_1_3,temporal_bins,53,64.0,20,600,0.05,0.6210526315789474,0.6245039682539683,0.6382174248466818
experiment_1_3,temporal_bins,71,64.0,1,30,1.0,0.3684210526315789,0.3401124338624339,0.33772122771735774
experiment_1_3,temporal_bins,71,64.0,2,60,0.5,0.5263157894736842,0.5127314814814815,0.5028096794273266
experiment_1_3,temporal_bins,71,64.0,4,120,0.25,0.5684210526315789,0.5641534391534392,0.5586387798075104
experiment_1_3,temporal_bins,71,64.0,10,300,0.1,0.6631578947368421,0.6759259259259259,0.6739850033580684
experiment_1_3,permuted_10_bins,71,64.0,10,300,0.1,0.1368421052631579,0.1412037037037037,0.1520344980097302
experiment_1_3,random_10_groups,71,64.0,10,300,0.1,0.23157894736842105,0.22205687830687829,0.20278158946889593
experiment_1_3,temporal_bins,71,64.0,20,600,0.05,0.6210526315789474,0.6245039682539683,0.6382174248466818
