seed,model_kind,split,layer,state,lag_steps,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
37,a2,test,L1,spike50,1,0.9390197548726898,0.05828132268771165,0.9444129389988163,0.05709752543990987,18882367157.52538,176406639727.4525,9029
37,a2,test,L1,spike50,2,0.9094766295992539,0.08012427489875706,0.9176841788601487,0.07792505310319989,47637154626.78488,340081210596.7494,8897
37,a2,test,L1,spike50,4,0.8036523726855727,0.13909574063936453,0.8222518562731588,0.13288363885858734,144643919736.05844,774266567031.6051,8635
37,a2,test,L1,spike50,8,0.7298766613641842,0.1597781272775473,0.7558896309120787,0.15050562851904697,420854768170.8983,1548391887974.0986,8128
37,a2,test,L1,spike50,16,0.6701353905221535,0.17268926119343195,0.7010033496176562,0.16310574715293893,1077897720032.4248,2725404444400.5728,7111
37,a2,test,L1,spike50,32,0.6154209413607054,0.17649070566934397,0.6498668746201951,0.1665025714847709,2033271678851.4902,4203590611115.3413,5070
37,a2,test,L1,spike50,48,0.547399978156531,0.18987850923958152,0.5864551326824532,0.17941841157732424,2758281352827.5884,4692345259236.824,3204
37,a2,test,L1,spike50,64,0.4837242671204502,0.21585762211448625,0.5246690542438928,0.20227664906224319,3496205095930.7803,5024133941118.403,1730
37,a2,test,L1,syn_current,1,0.940267375740064,0.10454455353375287,0.946061846655118,0.09704029933559014,2127065331.076659,55365418115.21512,10429
37,a2,test,L1,syn_current,2,0.8885246669691788,0.13129081810957913,0.8995044268098907,0.1221632385528447,2773514958.8324075,52996729912.34413,10301
37,a2,test,L1,syn_current,4,0.8045346608085888,0.15746128833524695,0.8240888118240077,0.14708580411677374,4425585771.940623,74127342776.02805,10045
37,a2,test,L1,syn_current,8,0.6997821719785854,0.17660684212050792,0.7305507355865363,0.16482974471344855,8400071805.983345,102802557166.4498,9533
37,a2,test,L1,syn_current,16,0.6596093498354251,0.18967597810993886,0.6946708593351375,0.17645334826841116,18748998357.967754,193954582508.8936,8509
37,a2,test,L1,syn_current,32,0.6266059151342965,0.20718739247482126,0.6636197885160358,0.1940090241021553,29506126721.535686,265353845081.63202,6461
