seed,model_kind,split,layer,state,lag_steps,corr_mean,corr_std,cosine_mean,cosine_std,normalized_l2_mean,normalized_l2_std,count
37,random_a2,test,L1,spike50,1,0.9216941794141004,0.11218314599368216,0.9232114649523262,0.11078226638941208,31020981092.024654,188303985646.93503,5887
37,random_a2,test,L1,spike50,2,0.876725580274708,0.162662246436892,0.8790167108683632,0.16062895468834845,61655681954.543884,274985702827.4398,5646
37,random_a2,test,L1,spike50,4,0.7451771315919692,0.24924512443330024,0.7500358450075001,0.24576838082052554,139096536007.0751,481801423436.9036,5238
37,random_a2,test,L1,spike50,8,0.6929658836888406,0.26828573365172936,0.6988697508867728,0.2642690190155231,244565133319.85297,680024424421.3326,4783
37,random_a2,test,L1,spike50,16,0.6497770018642692,0.27805082701104955,0.6562556225529201,0.27380778122815486,486867277638.795,1006401470977.843,3975
37,random_a2,test,L1,spike50,32,0.600074977291351,0.29181424908595105,0.6073272993907977,0.28718702933153467,969400716952.9984,1625412743635.6626,2644
37,random_a2,test,L1,spike50,48,0.5397781681109647,0.30793695452719705,0.5473190887209102,0.30368423505610986,1343475603476.2092,1813595411378.7085,1525
37,random_a2,test,L1,spike50,64,0.4782922220122892,0.2988516917609101,0.48673933100941236,0.29428410627302276,1489810548489.065,1816911688560.082,705
37,random_a2,test,L1,syn_current,1,0.9195441811167305,0.12759972965472935,0.9193760231627398,0.1277216687521119,1359041430.1098747,34575404252.96851,10429
37,random_a2,test,L1,syn_current,2,0.849308243420244,0.1584785809406208,0.8489685964896121,0.15862739075820298,1757551536.5380423,33012351346.438457,10301
37,random_a2,test,L1,syn_current,4,0.7402309707010084,0.18157441442858427,0.7396617505324918,0.18169892207183524,2698492866.2560806,44353220381.31019,10045
37,random_a2,test,L1,syn_current,8,0.6182534994562477,0.19085473795057828,0.617443973584259,0.19085246825959595,4923535631.047598,60011811430.18744,9533
37,random_a2,test,L1,syn_current,16,0.5749757146045282,0.21099569204460283,0.5736520015054425,0.21081116379964224,10456776049.55066,107548099465.99219,8509
37,random_a2,test,L1,syn_current,32,0.5373587157088054,0.2386579029180834,0.5366696939457037,0.23834935424859133,16495930378.523586,149892224760.89062,6461
37,random_a2,test,L1,syn_current,48,0.45760194864885223,0.23776841548568098,0.4567131188597248,0.23736481393645686,23915244682.498898,179969036123.77133,4425
37,random_a2,test,L1,syn_current,64,0.41364148704640286,0.25338310953027404,0.4129270163853705,0.2527810699807263,33104315963.43015,220781101381.1761,2662
37,random_a2,test,L1,pre_reset,1,0.9617469914691303,0.07355370225091984,0.9616841752732536,0.07361290228782655,1359041429.981738,34575404252.97355,10429
37,random_a2,test,L1,pre_reset,2,0.9090737227547258,0.11499924492748441,0.908940107129702,0.11509499882013252,2391943777.800665,49180316003.61241,10301
37,random_a2,test,L1,pre_reset,4,0.8018766557115168,0.1596719351150187,0.8016186451445702,0.1597969256814588,4258281385.952384,69176613296.14459,10045
37,random_a2,test,L1,pre_reset,8,0.6611273253381296,0.1855002229238676,0.6606682673839444,0.18558668829005684,8322047100.993282,101960471584.18622,9533
37,random_a2,test,L1,pre_reset,16,0.6008076705938609,0.20966010300964877,0.5997006659343567,0.2095131018472436,18676248864.0165,191207570510.89722,8509
37,random_a2,test,L1,pre_reset,32,0.5583730327541501,0.24244336533904448,0.5578952833121131,0.2421982686222561,30258915781.949604,271422374463.26636,6461
37,random_a2,test,L1,pre_reset,48,0.4730738696589182,0.24394680779986924,0.4724705994149167,0.24352681522308514,44109272441.36463,330135235981.0752,4425
37,random_a2,test,L1,pre_reset,64,0.4253442188239004,0.26321314634954657,0.4249462112191356,0.26237854680277933,61000345743.489395,398570537044.1815,2662
37,random_a2,test,L2,spike50,1,0.9526156728801253,0.06424385509838819,0.9556876291722614,0.06350564940561816,16097965794.870527,139714849938.67822,5120
37,random_a2,test,L2,spike50,2,0.9386187149744842,0.06963845764409082,0.9425141091427073,0.06889305675240161,37490158453.86357,240010176097.97086,4979
37,random_a2,test,L2,spike50,4,0.8723255794647348,0.12784876428557732,0.8809308668670252,0.12544255881083224,116939188125.5268,583481592781.7484,4710
37,random_a2,test,L2,spike50,8,0.8154833569845495,0.15637182484072976,0.8287033673139125,0.15195624437578803,370802034408.36365,1387174182655.149,4234
37,random_a2,test,L2,spike50,16,0.7188283118601908,0.18877949310733616,0.7390318180521831,0.1830407929714213,1145413661344.8032,2908030407839.6914,3401
37,random_a2,test,L2,spike50,32,0.608205197924452,0.2099548542743221,0.6334813521552829,0.20594846578884843,3256601381826.422,5245580165832.196,2138
37,random_a2,test,L2,spike50,48,0.5478058480010928,0.21423896282074392,0.5727982140602644,0.21213023350722793,5213763724257.313,6164099818111.016,1132
37,random_a2,test,L2,spike50,64,0.5240198577125804,0.22306585753406533,0.547838480692295,0.21744324931835696,6428179347266.392,6048226076963.284,437
37,random_a2,test,L2,syn_current,1,0.9743337757476819,0.07330012360056287,0.9744231084728352,0.07313019333374864,7704161009.153808,71477012224.11755,7427
37,random_a2,test,L2,syn_current,2,0.9603230285000899,0.09524241819402528,0.9604556579047382,0.09499106429608974,15395960632.081615,101085285830.45369,7302
37,random_a2,test,L2,syn_current,4,0.929393855711691,0.13135519140356924,0.9296442318887367,0.13095415831520388,35148284149.0674,168869580377.23145,7052
37,random_a2,test,L2,syn_current,8,0.8716671879469508,0.17865122276426212,0.8721252350915519,0.17813451329810506,89442674170.80144,309023309992.83075,6552
37,random_a2,test,L2,syn_current,16,0.7918299413309896,0.21979389706255056,0.7925792561420396,0.21928653844692425,253609459569.51614,601146889723.8751,5559
37,random_a2,test,L2,syn_current,32,0.6936648591604836,0.25158591688212617,0.6948474460687726,0.2510005362535111,726686201461.3955,1354843532883.8835,3753
37,random_a2,test,L2,syn_current,48,0.6159840613389479,0.2653514916222187,0.6174721971472426,0.26473196256399045,1272325060585.536,1887292193981.268,2261
37,random_a2,test,L2,syn_current,64,0.5403653136724093,0.28866125809992377,0.5418197600727437,0.28834504923393073,1704218271464.2874,2040631596609.0796,1098
37,random_a2,test,L2,pre_reset,1,0.9857987765653036,0.04422684373698785,0.9858880298540607,0.04408235263916557,7704161009.101264,71477012224.1232,7427
37,random_a2,test,L2,pre_reset,2,0.9730804092868145,0.07002231612445307,0.9732495763034088,0.06979391912847534,18990455469.954315,125779165778.67976,7302
37,random_a2,test,L2,pre_reset,4,0.9417084855514183,0.11127127333168566,0.9420775969805282,0.1109029619491942,51253601932.20279,249035537009.84933,7052
37,random_a2,test,L2,pre_reset,8,0.8804576728231817,0.1660990752513812,0.8812007199583065,0.16569946540265193,147086055564.19305,513044304372.3718,6552
37,random_a2,test,L2,pre_reset,16,0.7937341580974686,0.21456448574531897,0.794905383210028,0.2143419727134641,443000028207.40015,1044220736710.0664,5559
37,random_a2,test,L2,pre_reset,32,0.6916937607859697,0.2468320355886265,0.6932882621126117,0.24648174185607158,1282205861146.1204,2357674934907.723,3753
37,random_a2,test,L2,pre_reset,48,0.6125696684270605,0.26276729110633795,0.614421764906919,0.2622296470740923,2279592528751.363,3373443857085.1143,2261
37,random_a2,test,L2,pre_reset,64,0.536700646782119,0.2893783448956496,0.5385990390265736,0.28851723050331335,3089245519330.796,3671475102820.687,1098
37,random_a2,test,L1,spike50,1,0.9350506614910995,0.10392854546647794,0.9360339037277876,0.10281702357562204,22623755274.332603,158177370666.30023,498
37,random_a2,test,L1,spike50,2,0.9015610711083457,0.15478740822053547,0.9028932962485204,0.153301805925022,45411784077.47591,222849518280.68912,470
37,random_a2,test,L1,spike50,4,0.7958245414688115,0.23571492541921707,0.798608376475154,0.23344574674252258,97386605089.85191,350031068412.63104,420
37,random_a2,test,L1,spike50,8,0.7649430764689662,0.25235585021960993,0.7681998847347562,0.2498875306427992,172667551470.45697,506744785903.03577,372
37,random_a2,test,L1,spike50,16,0.7296245993640584,0.27084938589953506,0.7334000065322583,0.2678282882402754,370494028622.76166,798857165734.9668,287
37,random_a2,test,L1,spike50,32,0.5901992811046397,0.32523436445238135,0.5958972300316048,0.32141505384836083,878334236543.2963,1188613170625.914,122
37,random_a2,test,L1,spike50,48,0.5423191507680747,0.30887103448592784,0.5473846531145862,0.30631415333728673,1299079676663.776,1495376494040.0012,33
37,random_a2,test,L1,spike50,64,,,,,1470166047755.5825,1581753813132.7717,0
37,random_a2,test,L1,syn_current,1,0.915611103613923,0.1214753524765069,0.9154151360789071,0.12175653992698024,729706459.250403,12399099657.376146,1397
37,random_a2,test,L1,syn_current,2,0.8417482396635373,0.15250395107033976,0.8413536003633982,0.1527636341868168,1497074965.7562242,21095409735.899162,1379
37,random_a2,test,L1,syn_current,4,0.7279546922787946,0.17810829576569864,0.7273248679373633,0.17815841977305058,2775592634.7116504,33754246680.59905,1343
37,random_a2,test,L1,syn_current,8,0.6114229292718647,0.19282848099297517,0.6105809130153851,0.1929510981877314,4398418396.480666,45909625948.04615,1271
37,random_a2,test,L1,syn_current,16,0.6084721696705369,0.19624801555955437,0.6073690883849936,0.1965688061392645,7935837165.567808,80134114945.61694,1127
37,random_a2,test,L1,syn_current,32,0.5225818968290137,0.20721905114115838,0.5215063090382808,0.20784812784733703,11282163907.25561,98186418987.82213,839
37,random_a2,test,L1,syn_current,48,0.4825717976345029,0.20282092162975612,0.480339380884452,0.2037295762591345,22839684163.099815,158477634793.696,551
37,random_a2,test,L1,syn_current,64,0.37563369297377025,0.16984313011151744,0.3735200799415516,0.1705212155742364,33949311097.685593,173833547021.60446,288
37,random_a2,test,L1,pre_reset,1,0.9623553889686981,0.06621001378883268,0.962267927840621,0.06641623425952119,729706459.1128438,12399099657.384241,1397
37,random_a2,test,L1,pre_reset,2,0.907721714714622,0.10692195962087259,0.9075291570464121,0.10714263833075385,1808881818.481114,24755427749.570934,1379
37,random_a2,test,L1,pre_reset,4,0.7962356485513843,0.15430097888084374,0.7958785609629648,0.15439155076094488,3850481307.454257,46063731104.167854,1343
