label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.9686288567539566,0.031371143246043356,0.45454545454545453
1,B,9,0.9724496055596106,0.027550394440389377,0.4444444444444444
2,C,12,0.9788904953304826,0.021109504669517377,0.4166666666666667
3,D,11,0.9654155210990297,0.034584478900970154,0.7272727272727273
4,E,12,0.9786249119586558,0.021375088041344286,0.8333333333333334
5,G,12,0.9784721266304833,0.021527873369516764,0.3333333333333333
6,H,12,0.9836466465675217,0.01635335343247843,0.6666666666666666
7,I,11,0.9682731852989193,0.03172681470108066,0.6363636363636364
8,J,12,0.9732151349525678,0.02678486504743202,0.5833333333333334
9,K,12,0.9797507824807253,0.02024921751927473,0.3333333333333333
10,L,6,0.9538005378373456,0.04619946216265428,0.6666666666666666
11,X,7,0.9787082595876739,0.021291740412326003,0.7142857142857143
