transition,count,fraction
reference_wrong -> query_wrong,85,0.6746031746031746
reference_correct -> query_wrong,23,0.18253968253968253
reference_correct -> query_correct,11,0.0873015873015873
reference_wrong -> query_correct,7,0.05555555555555555
