contrast,architecture,training_family,regularization,seed,metric,delta
ordered_minus_wholecount,234x234,local_tsce,task_only,11,macro_f1,0.019030369785013712
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,11,accuracy,0.12100456621004563
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,11,balanced_accuracy,0.12339026714026707
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,11,macro_f1,0.131225970914785
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,11,accuracy,-0.1004566210045662
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,11,balanced_accuracy,-0.10583282458282456
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,11,macro_f1,-0.11219560112977128
ordered_minus_wholecount,234x234,local_tsce,task_only,23,accuracy,-0.0547945205479452
ordered_minus_wholecount,234x234,local_tsce,task_only,23,balanced_accuracy,-0.04796869796869796
ordered_minus_wholecount,234x234,local_tsce,task_only,23,macro_f1,-0.021234334072519512
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,23,accuracy,0.07990867579908678
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,23,balanced_accuracy,0.09404253154253156
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,23,macro_f1,0.1189890976278889
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,23,accuracy,-0.13470319634703198
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,23,balanced_accuracy,-0.14201122951122952
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,23,macro_f1,-0.1402234317004084
ordered_minus_wholecount,234x234,local_tsce,task_only,37,accuracy,0.020547945205479423
ordered_minus_wholecount,234x234,local_tsce,task_only,37,balanced_accuracy,0.017746142746142834
ordered_minus_wholecount,234x234,local_tsce,task_only,37,macro_f1,0.019942323058328215
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,37,accuracy,0.13470319634703198
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,37,balanced_accuracy,0.1400252525252526
ordered_minus_phase_shuffled,234x234,local_tsce,task_only,37,macro_f1,0.14706535291944955
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,37,accuracy,-0.11415525114155256
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,37,balanced_accuracy,-0.12227910977910977
phase_shuffled_minus_wholecount,234x234,local_tsce,task_only,37,macro_f1,-0.12712302986112134
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,11,accuracy,0.03424657534246578
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.036731324231324414
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,11,macro_f1,0.0369904776858857
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,11,accuracy,0.09817351598173518
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.10294242794242797
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,11,macro_f1,0.11391786238810186
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,11,accuracy,-0.0639269406392694
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,-0.06621110371110356
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,11,macro_f1,-0.07692738470221616
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,23,accuracy,0.0273972602739726
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.03025585525585517
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,23,macro_f1,0.020962207196755456
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,23,accuracy,0.08904109589041093
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.09283286158286158
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,23,macro_f1,0.0798497922436428
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,23,accuracy,-0.061643835616438325
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,-0.06257700632700641
phase_shuffled_minus_wholecount,234x234,local_tsce,task_plus_reg,23,macro_f1,-0.05888758504688735
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,37,accuracy,0.006849315068493178
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.0052919302919303135
ordered_minus_wholecount,234x234,local_tsce,task_plus_reg,37,macro_f1,0.019742783344677495
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,37,accuracy,0.1324200913242009
ordered_minus_phase_shuffled,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.13394684019684028
