architecture,training_family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,e2e_wc,task_only,11,l2_fixed250_ordered,test,0.6232876712328768,0.604585692085692,0.6061250006814523
234x234,e2e_wc,task_only,11,l2_fixed250_ordered,train,0.9810671256454389,0.9809995422514369,0.9823776773429977
234x234,e2e_wc,task_only,11,l2_fixed250_ordered,val,0.5873015873015873,0.576936026936027,0.5909563651059159
234x234,e2e_wc,task_only,11,l2_fixed250_phase_shuffled,test,0.4132420091324201,0.3994736744736745,0.37886351414697694
234x234,e2e_wc,task_only,11,l2_fixed250_phase_shuffled,train,0.9672977624784854,0.967004510924011,0.9700692673988391
234x234,e2e_wc,task_only,11,l2_fixed250_phase_shuffled,val,0.3968253968253968,0.3804112554112555,0.37216888890130173
234x234,e2e_wc,task_only,11,l2_wholecount_shared,test,0.6027397260273972,0.5951250138750138,0.5918729783861363
234x234,e2e_wc,task_only,11,l2_wholecount_shared,train,0.9345955249569707,0.9327033792923024,0.937765980380486
234x234,e2e_wc,task_only,11,l2_wholecount_shared,val,0.47619047619047616,0.4691558441558441,0.47664700701027934
234x234,e2e_wc,task_only,23,l2_fixed250_ordered,test,0.6301369863013698,0.6071178821178821,0.5956474572373696
234x234,e2e_wc,task_only,23,l2_fixed250_ordered,train,0.9449225473321858,0.9453933175118864,0.949369580047218
234x234,e2e_wc,task_only,23,l2_fixed250_ordered,val,0.5079365079365079,0.5012626262626262,0.5189288626533624
234x234,e2e_wc,task_only,23,l2_fixed250_phase_shuffled,test,0.3904109589041096,0.37319370444370437,0.35613653524952044
234x234,e2e_wc,task_only,23,l2_fixed250_phase_shuffled,train,0.9305794606999426,0.9256964898287712,0.9324251663682163
234x234,e2e_wc,task_only,23,l2_fixed250_phase_shuffled,val,0.3650793650793651,0.34643458393458393,0.3356164829741049
234x234,e2e_wc,task_only,23,l2_wholecount_shared,test,0.5821917808219178,0.5646346708846709,0.5576599053799598
234x234,e2e_wc,task_only,23,l2_wholecount_shared,train,0.9018932874354562,0.9008730708505898,0.906759304028849
234x234,e2e_wc,task_only,23,l2_wholecount_shared,val,0.5238095238095238,0.5063251563251564,0.5147002668776862
234x234,e2e_wc,task_only,37,l2_fixed250_ordered,test,0.6301369863013698,0.6161678599178599,0.6153117452882363
234x234,e2e_wc,task_only,37,l2_fixed250_ordered,train,0.9432013769363167,0.9436988228699722,0.9476289044051828
234x234,e2e_wc,task_only,37,l2_fixed250_ordered,val,0.5158730158730159,0.506024531024531,0.5069097674209007
234x234,e2e_wc,task_only,37,l2_fixed250_phase_shuffled,test,0.4223744292237443,0.4160674973174973,0.40325984925653974
234x234,e2e_wc,task_only,37,l2_fixed250_phase_shuffled,train,0.9627079747561677,0.9621306091199235,0.9657092799807946
234x234,e2e_wc,task_only,37,l2_fixed250_phase_shuffled,val,0.3783068783068783,0.36684102934102936,0.3529062455782704
234x234,e2e_wc,task_only,37,l2_wholecount_shared,test,0.5753424657534246,0.5614690864690864,0.5589470945617151
234x234,e2e_wc,task_only,37,l2_wholecount_shared,train,0.8537005163511188,0.8463062497265086,0.8576488980420601
234x234,e2e_wc,task_only,37,l2_wholecount_shared,val,0.46825396825396826,0.45275372775372774,0.43838493185656496
234x234,e2e_wc,task_plus_reg,11,l2_fixed250_ordered,test,0.636986301369863,0.6189706127206127,0.614310710373329
234x234,e2e_wc,task_plus_reg,11,l2_fixed250_ordered,train,0.9759036144578314,0.976057117168196,0.9779169940360785
234x234,e2e_wc,task_plus_reg,11,l2_fixed250_ordered,val,0.5158730158730159,0.5023268398268398,0.5017507683886995
234x234,e2e_wc,task_plus_reg,11,l2_fixed250_phase_shuffled,test,0.47260273972602745,0.4606511544011544,0.4501274800273865
234x234,e2e_wc,task_plus_reg,11,l2_fixed250_phase_shuffled,train,0.9575444635685599,0.9576706816468167,0.9621061521736002
234x234,e2e_wc,task_plus_reg,11,l2_fixed250_phase_shuffled,val,0.41005291005291006,0.3997635080968414,0.4015258214012651
234x234,e2e_wc,task_plus_reg,11,l2_wholecount_shared,test,0.4520547945205479,0.446716477966478,0.4295744948106268
234x234,e2e_wc,task_plus_reg,11,l2_wholecount_shared,train,0.9759036144578314,0.9758392522444487,0.9778179700887399
234x234,e2e_wc,task_plus_reg,11,l2_wholecount_shared,val,0.5158730158730159,0.5136363636363636,0.5157762588201941
234x234,e2e_wc,task_plus_reg,23,l2_fixed250_ordered,test,0.6095890410958904,0.5910575535575535,0.5838872865755805
234x234,e2e_wc,task_plus_reg,23,l2_fixed250_ordered,train,0.955249569707401,0.9553685231238846,0.9586316578328712
234x234,e2e_wc,task_plus_reg,23,l2_fixed250_ordered,val,0.5158730158730159,0.504004329004329,0.514139682163928
234x234,e2e_wc,task_plus_reg,23,l2_fixed250_phase_shuffled,test,0.4337899543378995,0.42169890294890305,0.4042104895228675
234x234,e2e_wc,task_plus_reg,23,l2_fixed250_phase_shuffled,train,0.9541021227768215,0.954104860452989,0.9587912787794438
234x234,e2e_wc,task_plus_reg,23,l2_fixed250_phase_shuffled,val,0.3703703703703704,0.35442921276254613,0.35175161732497706
234x234,e2e_wc,task_plus_reg,23,l2_wholecount_shared,test,0.5821917808219178,0.5700126262626262,0.5592917296444945
234x234,e2e_wc,task_plus_reg,23,l2_wholecount_shared,train,0.9225473321858864,0.9229986162566598,0.9267343715353369
234x234,e2e_wc,task_plus_reg,23,l2_wholecount_shared,val,0.48412698412698413,0.4708453583453584,0.4761384158926729
234x234,e2e_wc,task_plus_reg,37,l2_fixed250_ordered,test,0.5958904109589042,0.5867077367077367,0.5928509023845614
234x234,e2e_wc,task_plus_reg,37,l2_fixed250_ordered,train,0.9328743545611016,0.932204927683003,0.9382171909466989
234x234,e2e_wc,task_plus_reg,37,l2_fixed250_ordered,val,0.47619047619047616,0.4770622895622896,0.4896195963765623
234x234,e2e_wc,task_plus_reg,37,l2_fixed250_phase_shuffled,test,0.4223744292237443,0.4158836533836534,0.40097938364147945
234x234,e2e_wc,task_plus_reg,37,l2_fixed250_phase_shuffled,train,0.9213998852553069,0.9171470757118548,0.9260317319457195
234x234,e2e_wc,task_plus_reg,37,l2_fixed250_phase_shuffled,val,0.3597883597883598,0.3432519640852974,0.32460091255168644
234x234,e2e_wc,task_plus_reg,37,l2_wholecount_shared,test,0.541095890410959,0.5258581696081697,0.5075356380163255
234x234,e2e_wc,task_plus_reg,37,l2_wholecount_shared,train,0.8209982788296041,0.8053054685823086,0.8154660419658374
234x234,e2e_wc,task_plus_reg,37,l2_wholecount_shared,val,0.4523809523809524,0.4328162578162578,0.42637525201312965
234x234,local_tsce,task_only,11,l2_fixed250_ordered,test,0.6164383561643836,0.6009400321900321,0.6033114887870581
234x234,local_tsce,task_only,11,l2_fixed250_ordered,train,0.963855421686747,0.9638407802603574,0.9668757549041559
234x234,local_tsce,task_only,11,l2_fixed250_ordered,val,0.5714285714285714,0.5608585858585858,0.5693827259273483
234x234,local_tsce,task_only,11,l2_fixed250_phase_shuffled,test,0.49543378995433796,0.47754976504976504,0.4720855178722731
234x234,local_tsce,task_only,11,l2_fixed250_phase_shuffled,train,0.9254159495123351,0.9194153495685322,0.9277788929556587
234x234,local_tsce,task_only,11,l2_fixed250_phase_shuffled,val,0.44973544973544977,0.4314033189033189,0.42392899527749345
234x234,local_tsce,task_only,11,l2_wholecount_shared,test,0.5958904109589042,0.5833825896325896,0.5842811190020444
234x234,local_tsce,task_only,11,l2_wholecount_shared,train,0.9432013769363167,0.9435885801780627,0.9466798768350418
