seed,accuracy,balanced_accuracy,beta,macro_f1
11,0.3287671232876712,0.3080599955599955,1.0,0.27684485277364534
11,0.4246575342465753,0.4017940392940393,0.95,0.3806249832651134
11,0.4931506849315068,0.4797070984570984,0.9,0.47399568375134193
11,0.541095890410959,0.5272359584859584,0.8,0.5268281478567797
11,0.5547945205479452,0.5369831557331557,0.7,0.5296144609496655
11,0.541095890410959,0.5295426795426795,0.6,0.5234493036430689
11,0.5616438356164384,0.5483918858918858,0.5,0.540320959485313
23,0.3698630136986301,0.3619380619380619,1.0,0.34719929874055594
23,0.410958904109589,0.40056748806748804,0.95,0.3762063277852752
23,0.4520547945205479,0.4430007492507492,0.9,0.41361907786056396
23,0.4863013698630137,0.47560356310356305,0.8,0.4434027112626184
23,0.5068493150684932,0.4934607059607059,0.7,0.4643096368754264
23,0.5205479452054794,0.5130765068265067,0.6,0.48961708906561846
23,0.5205479452054794,0.5102355977355977,0.5,0.4875195817491214
37,0.3013698630136986,0.29571053946053943,1.0,0.26158864283864286
37,0.3972602739726027,0.4004544067044067,0.95,0.3707674558362701
37,0.4520547945205479,0.4452325452325452,0.9,0.4320907553787168
37,0.5068493150684932,0.5071844821844821,0.8,0.4918337407253311
37,0.5205479452054794,0.5207126207126206,0.7,0.5072844408549079
37,0.5342465753424658,0.5326173826173826,0.6,0.5249525058404793
37,0.5273972602739726,0.5246808746808745,0.5,0.5164765508524926
