seed,condition,accuracy,balanced_accuracy,macro_f1
11,X1_wlin_analog,0.5684931506849316,0.5505723443223443,0.5452973954880896
11,X2_wlin_lif_beta05,0.5342465753424658,0.512580475080475,0.5070692101129858
11,X3_wlif_analog,0.5,0.47719294594294587,0.4588435228336705
11,X4_wlif_lif_beta05,0.5,0.46971639471639465,0.4469469217464315
23,X1_wlin_analog,0.547945205479452,0.5283182095682095,0.5155063884381423
23,X2_wlin_lif_beta05,0.4931506849315068,0.4749111999111999,0.44374540234447357
23,X3_wlif_analog,0.4794520547945205,0.45851509601509594,0.4196884064306223
23,X4_wlif_lif_beta05,0.5,0.490989565989566,0.46531180337827055
37,X1_wlin_analog,0.5821917808219178,0.570564158064158,0.555417569226738
37,X2_wlin_lif_beta05,0.5205479452054794,0.5118360805860805,0.49766347687400314
37,X3_wlif_analog,0.5068493150684932,0.5005855255855255,0.4941578047556308
37,X4_wlif_lif_beta05,0.4726027397260274,0.45727466977466974,0.44322312608811393
