condition,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
if_beta1_bipolar_gain1,3,0.3287671232876712,0.32891622266622267,0.30048053010808773,0.006849315068493143,0.004661122524092748,0.009171766387136987
if_beta1_cap31_gain1,3,0.4657534246575343,0.4545741295741295,0.44475091083963664,0.03559008508703174,0.03342168456297727,0.04602069883873242
if_beta1_gain_calibrated,3,0.4703196347031963,0.46121262996262996,0.450381622038548,0.0316356311884727,0.027340806451681254,0.03971833186860176
lif_beta05_bipolar_gain1,3,0.5319634703196346,0.5228970103970103,0.5090151835078293,0.022017467490851473,0.020958811908519746,0.02933852796346002
lif_beta05_cap31_gain1,3,0.5159817351598174,0.4962491212491212,0.479886182175634,0.007908907797118146,0.004677894532643552,0.0036764401765731034
lif_beta05_gain_calibrated,3,0.4748858447488584,0.45490712990712984,0.44246044567781145,0.0285159725954265,0.026617152697012092,0.024547423822573265
