beta,n,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,accuracy_std,balanced_accuracy_std,macro_f1_std
0.5,3,0.5365296803652968,0.5277694527694526,0.5147723640289756,0.02201746749085149,0.01926473637046082,0.02644190920219424
0.6,3,0.5319634703196346,0.5250788563288563,0.5126729661830555,0.010462501586657208,0.010507413807964808,0.01998111624640483
0.7,3,0.5273972602739726,0.5170521608021607,0.5004028462266666,0.02469555668126019,0.021990910249826322,0.03319182535372839
0.8,3,0.5114155251141553,0.5033413345913346,0.48735486661490973,0.027681177289913608,0.026029855950389664,0.04189267361609137
0.9,3,0.46575342465753417,0.45598013098013096,0.43990183899687424,0.023726723391354496,0.020578434526608052,0.030936926240174013
0.95,3,0.4109589041095891,0.4009386446886447,0.37586625562888626,0.013698630136986314,0.0007429480445311997,0.004937554916784505
1.0,3,0.3333333333333333,0.3219028656528656,0.29521093145094807,0.03447412984141895,0.035217040941620065,0.04566487419751198
