seed,condition,accuracy,balanced_accuracy,macro_f1
11,A0_linear_analog,0.5684931506849316,0.5505723443223443,0.5479560628318462
11,A1_if_beta1_charge,0.5684931506849316,0.5505723443223443,0.5479560628318462
11,A2_if_beta1_spike_count,0.3287671232876712,0.3080599955599955,0.27684485277364534
11,A3_lif_beta05_spike_count,0.5616438356164384,0.5483918858918858,0.540320959485313
23,A0_linear_analog,0.547945205479452,0.5303994616494616,0.506042309543297
23,A1_if_beta1_charge,0.547945205479452,0.5303994616494616,0.506042309543297
23,A2_if_beta1_spike_count,0.3698630136986301,0.3619380619380619,0.34719929874055594
23,A3_lif_beta05_spike_count,0.5205479452054794,0.5102355977355977,0.4875195817491214
37,A0_linear_analog,0.5616438356164384,0.5550879675879675,0.5506706749131706
37,A1_if_beta1_charge,0.5616438356164384,0.5550879675879675,0.5506706749131706
37,A2_if_beta1_spike_count,0.3013698630136986,0.29571053946053943,0.26158864283864286
37,A3_lif_beta05_spike_count,0.5273972602739726,0.5246808746808745,0.5164765508524926
