seed,mode,split,accuracy,balanced_accuracy,macro_f1,objective_loss
11,linear,test,0.5684931506849316,0.5505723443223443,0.5452973954880896,1.4132543540980718
11,linear,train,0.8519793459552496,0.8518590012406096,0.8556339170204589,0.7650366391659603
11,linear,val,0.5634920634920635,0.5584114959114959,0.5529716538167083,1.3169193267822266
11,lif,test,0.5,0.46971639471639465,0.4469469217464315,2.223894710410131
11,lif,train,0.7142857142857143,0.7155482530796027,0.6904229617203534,2.129216489611312
11,lif,val,0.5158730158730159,0.50501443001443,0.4707763942103022,2.237393617630005
23,linear,test,0.547945205479452,0.5283182095682095,0.5155063884381423,1.766860932519991
23,linear,train,0.6781411359724613,0.6623171473757591,0.6586652300520693,1.5459245611591306
23,linear,val,0.5079365079365079,0.48777657527657525,0.4555098332298877,1.768768072128296
23,lif,test,0.5,0.490989565989566,0.46531180337827055,2.2325557192710983
23,lif,train,0.7418244406196214,0.7226780739832247,0.7008549221870819,2.1191794437303395
23,lif,val,0.46825396825396826,0.45431096681096683,0.4254437229437229,2.236851453781128
37,linear,test,0.5821917808219178,0.570564158064158,0.555417569226738,1.5068390271435046
37,linear,train,0.9242685025817556,0.9221313738546385,0.9252678607175463,0.9488628712865859
37,linear,val,0.5714285714285714,0.5623797498797499,0.5687045768140137,1.4494651556015015
37,lif,test,0.4726027397260274,0.45727466977466974,0.44322312608811393,2.2195535914538658
37,lif,train,0.9363166953528399,0.9349216879096612,0.9371638598116796,2.02145028463124
37,lif,val,0.5396825396825397,0.541576479076479,0.532297315661075,2.1964149475097656
