seed,condition,accuracy,balanced_accuracy,macro_f1
11,if_beta1_bipolar_gain1,0.3287671232876712,0.32361041736041735,0.296963482426535
11,if_beta1_cap31_gain1,0.5068493150684932,0.4924013486513486,0.49493421869467197
11,if_beta1_gain_calibrated,0.5068493150684932,0.4924013486513486,0.49409060190277937
11,lif_beta05_bipolar_gain1,0.547945205479452,0.5310307747807747,0.5203623635378734
11,lif_beta05_cap31_gain1,0.5205479452054794,0.49867840492840493,0.4758827684843972
11,lif_beta05_gain_calibrated,0.4520547945205479,0.43190351315351316,0.41962759462759464
23,if_beta1_bipolar_gain1,0.3356164383561644,0.3323516761016761,0.3108903012788437
23,if_beta1_cap31_gain1,0.4452054794520548,0.4290397102897103,0.40452216897717025
23,if_beta1_gain_calibrated,0.4520547945205479,0.4413794538794538,0.41649842910712476
23,lif_beta05_bipolar_gain1,0.5068493150684932,0.4990904928404927,0.4756977813083951
23,lif_beta05_cap31_gain1,0.5205479452054794,0.49921259296259285,0.48066489209380997
23,lif_beta05_gain_calibrated,0.5068493150684932,0.4840610778110777,0.46842237569791756
37,if_beta1_bipolar_gain1,0.3219178082191781,0.33078657453657456,0.2935878066188845
37,if_beta1_cap31_gain1,0.4452054794520548,0.4422813297813298,0.43479634484706775
37,if_beta1_gain_calibrated,0.4520547945205479,0.44985708735708735,0.4405558351057399
37,lif_beta05_bipolar_gain1,0.541095890410959,0.5385697635697635,0.5309854056772193
37,lif_beta05_cap31_gain1,0.5068493150684932,0.49085636585636583,0.483110885948695
37,lif_beta05_gain_calibrated,0.4657534246575342,0.44875679875679864,0.43933136670792233
