epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
0,0.4863822336553912,0.8315719090505321,1.4812681674957275,0.5622414622414622
1,0.484949509884117,0.829673133763392,1.480512022972107,0.5628727753727754
2,0.4771721110183893,0.8288984734563124,1.4826940298080444,0.5397246272246272
3,0.47442291135837206,0.8428817197968484,1.4939733743667603,0.517502405002405
4,0.4732119577476777,0.8459253695929493,1.492750883102417,0.5258357383357383
5,0.47098315080143704,0.8409870979880109,1.4967297315597534,0.5231902356902357
6,0.4697177922048585,0.8380413826648447,1.4921311140060425,0.5489838864838864
7,0.468853025089648,0.8414732776101044,1.4922139644622803,0.5559283309283309
8,0.4676070404134806,0.8424947829864484,1.497374176979065,0.5370791245791245
9,0.4661584491881569,0.8381321597164061,1.5030173063278198,0.5231902356902357
10,0.4647652951554875,0.8428502607395384,1.5060566663742065,0.5231902356902357
11,0.46314898353845857,0.8428502607395384,1.5071508884429932,0.5301346801346801
12,0.4613700912249068,0.8428502607395384,1.5077199935913086,0.5301346801346801
13,0.4593773750450443,0.8414999520975632,1.5048478841781616,0.5489838864838864
14,0.4583089192126991,0.8474573549098046,1.5054733753204346,0.5489838864838864
15,0.4564210803291268,0.8474271178512657,1.5162771940231323,0.542039442039442
16,0.45433179836675347,0.8517997436822249,1.5235967636108398,0.5350949975949976
17,0.45235023697559273,0.8519926449167928,1.5194071531295776,0.5350949975949976
18,0.451031489647194,0.8521452188743982,1.5277352333068848,0.5350949975949976
19,0.4490379543907671,0.8551081818373611,1.5323444604873657,0.5350949975949976
20,0.44748339554528976,0.8566513917139044,1.5349211692810059,0.5350949975949976
21,0.4469196946198271,0.8599520453086756,1.5364458560943604,0.5281505531505531
22,0.4446643508855324,0.8630978192877828,1.5277518033981323,0.5350949975949976
23,0.4427830847220659,0.8615546094112396,1.5337367057800293,0.5281505531505531
24,0.44134281855236845,0.8632165277398247,1.540799617767334,0.5281505531505531
25,0.44026959034744106,0.8632165277398247,1.5395835638046265,0.5350949975949976
26,0.43816081653773886,0.8632165277398247,1.548710823059082,0.5142616642616642
