epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
0,0.4863822402211352,0.8315719090505321,1.4812681674957275,0.5622414622414622
1,0.4851465630962188,0.8314092448745031,1.4807392358779907,0.5552970177970178
2,0.4776269965348268,0.8269849617203812,1.4829035997390747,0.5397246272246272
3,0.47425005378493346,0.8413385099203051,1.4938896894454956,0.517502405002405
4,0.4729285384824887,0.842779595613842,1.4943495988845825,0.5139309764309764
5,0.4712710607277547,0.8425303078645542,1.4974502325057983,0.5139309764309764
6,0.4698154365134116,0.8358986951054904,1.4911608695983887,0.542039442039442
7,0.46902166006897483,0.8364002383153669,1.4896249771118164,0.5489838864838864
8,0.46794205852712084,0.8372365585065258,1.4930769205093384,0.542039442039442
9,0.4666861438299826,0.8387055756005428,1.4975662231445312,0.5350949975949976
10,0.4653284081390926,0.840248785477086,1.5003944635391235,0.5350949975949976
11,0.4641280709773866,0.8434259822817339,1.503320574760437,0.5258357383357383
12,0.4624356001666819,0.8481138462463275,1.5026109218597412,0.5258357383357383
13,0.46077724080693083,0.8465997535372661,1.5006712675094604,0.5281505531505531
14,0.4601274772888617,0.8482955373714147,1.502030849456787,0.5281505531505531
15,0.4582924237554947,0.8466288707047481,1.5137968063354492,0.5162457912457913
16,0.45711561868194867,0.85337207072625,1.517378568649292,0.5162457912457913
17,0.4552164662007416,0.8530539656715096,1.5118000507354736,0.5281505531505531
18,0.4545137573437518,0.8531774224616332,1.5206341743469238,0.5281505531505531
19,0.45183721605348504,0.858887299004843,1.5211995840072632,0.5281505531505531
20,0.4502324680966067,0.8604898631074072,1.52544105052948,0.5258357383357383
21,0.4488131514207016,0.8604607459399253,1.5313706398010254,0.5258357383357383
22,0.44643267614706045,0.859949739650617,1.5300986766815186,0.5258357383357383
23,0.44443002317530356,0.8604607459399253,1.5384109020233154,0.506986531986532
24,0.44147045081946196,0.8593449009409397,1.527011752128601,0.5119468494468494
25,0.4385604751705097,0.8594042551669605,1.5343854427337646,0.5000420875420875
