method,seed,train_ba,val_ba,test_ba,test_objective_loss,best_epoch,feature_dim,l1_dim,l2_dim,parameter_count
l2_whole,11,0.9215147046540851,0.6070226070226071,0.5455218392718393,1.412886142730713,83,128,0,128,1536
l2_whole,23,0.9099215283623736,0.5500420875420876,0.5881195193695193,1.3236825466156006,94,128,0,128,1536
l2_whole,37,0.905983710901947,0.5753066378066378,0.5334991397491397,1.4842517375946045,51,128,0,128,1536
l1_l2_timeshared,11,0.9261752333954965,0.595316257816258,0.5523670773670772,1.3835355043411255,100,256,128,128,3072
l1_l2_timeshared,23,0.9123966234302867,0.5758357383357383,0.5956952769452769,1.3032679557800293,96,256,128,128,3072
l1_l2_timeshared,37,0.918891858491467,0.568596681096681,0.5444617882117881,1.3178449869155884,98,256,128,128,3072
l1_fixed250_l2_whole_true_phase,11,0.9466631238158695,0.6365199615199616,0.5716741591741591,1.3031007051467896,94,2176,2048,128,26112
l1_fixed250_l2_whole_true_phase,23,0.9387500197202829,0.6223003848003849,0.6418262293262292,1.2496274709701538,98,2176,2048,128,26112
l1_fixed250_l2_whole_true_phase,37,0.9220762620819456,0.5735209235209234,0.6103056665556664,1.3472460508346558,58,2176,2048,128,26112
l1_fixed250_l2_whole_destroyed_phase,11,0.9381986176430298,0.5951479076479077,0.5251255688755688,1.4123152494430542,74,2176,2048,128,26112
l1_fixed250_l2_whole_destroyed_phase,23,0.9200801300964053,0.5097643097643098,0.5457854645354645,1.4102965593338013,66,2176,2048,128,26112
l1_fixed250_l2_whole_destroyed_phase,37,0.9121629145556188,0.5549723424723425,0.5330031080031079,1.4669864177703857,50,2176,2048,128,26112
