comparison,test_ba_delta_mean,test_ba_delta_std,val_ba_delta_mean,val_ba_delta_std
true_phase_vs_destroyed_phase,0.0732973045473045,0.024988004696772283,0.05748556998556997,0.04902189620636599
true_phase_vs_timeshared,0.04376063751063749,0.023358770353234002,0.030864197530864185,0.02261814167617767
timeshared_vs_l2,0.008461214711214674,0.0021968825156261466,0.00245911495911492,0.020362131677563317
