comparison,seed,test_ba_delta,val_ba_delta
true_phase_vs_destroyed_phase,11,0.046548590298590264,0.04137205387205389
true_phase_vs_destroyed_phase,23,0.09604076479076473,0.1125360750360751
true_phase_vs_destroyed_phase,37,0.07730255855255852,0.018548581048580925
true_phase_vs_timeshared,11,0.01930708180708185,0.04120370370370363
true_phase_vs_timeshared,23,0.04613095238095233,0.04646464646464654
true_phase_vs_timeshared,37,0.06584387834387828,0.0049242424242423866
timeshared_vs_l2,11,0.00684523809523796,-0.011706349206349165
timeshared_vs_l2,23,0.007575757575757569,0.025793650793650702
timeshared_vs_l2,37,0.010962648462648494,-0.006709956709956777
