method,shift_bins,shift_ms,test_ba_mean,test_ba_std
l1_fixed250_l2_whole_true_phase,0.0,0.0,0.6079353516853515,0.035136050305826484
l1_fixed250_l2_whole_true_phase,1.0,250.0,0.5976199726199726,0.019941357959819103
l1_fixed250_l2_whole_true_phase,2.0,500.0,0.5472670847670847,0.03430906642814674
l1_fixed250_l2_whole_true_phase,3.0,750.0,0.42972305472305466,0.0156870908251536
l1_fixed250_l2_whole_true_phase,4.0,1000.0,0.370054945054945,0.010312544278062186
l1_fixed250_l2_whole_true_phase,5.0,1250.0,0.36945230695230696,0.020107593337936023
l1_fixed250_l2_whole_true_phase,6.0,1500.0,0.359395696895697,0.010594009264630506
l1_fixed250_l2_whole_true_phase,7.0,1750.0,0.36464091464091464,0.014443975479382044
l1_fixed250_l2_whole_true_phase,8.0,2000.0,0.4123818311318311,0.027521674380781166
l1_fixed250_l2_whole_true_phase,9.0,2250.0,0.4542441354941355,0.010118842153683688
l1_fixed250_l2_whole_true_phase,10.0,2500.0,0.5159264346764346,0.013740921657619058
l1_fixed250_l2_whole_true_phase,11.0,2750.0,0.5538690476190475,0.014975691415442848
l1_fixed250_l2_whole_true_phase,12.0,3000.0,0.5353655603655604,0.011473456918989018
l1_fixed250_l2_whole_true_phase,13.0,3250.0,0.49199296074296067,0.024037541688863642
l1_fixed250_l2_whole_true_phase,14.0,3500.0,0.5032011969511969,0.0177594586360334
l1_fixed250_l2_whole_true_phase,15.0,3750.0,0.5329510767010767,0.024218980784453944
