method,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,test_objective_loss_mean,test_objective_loss_std,best_epoch_mean,best_epoch_std,feature_dim_mean,feature_dim_std,l1_dim_mean,l1_dim_std,l2_dim_mean,l2_dim_std,parameter_count_mean,parameter_count_std
l2_whole,0.9124733146394686,0.00807382509317708,0.5774571107904442,0.028551064789391428,0.5557134994634995,0.028701026472328472,1.4069401423136394,0.08044956471997118,76.0,22.338307903688676,128.0,0.0,0.0,0.0,128.0,0.0,1536.0,0.0
l1_l2_timeshared,0.9191545717724168,0.006893060774745485,0.579916225749559,0.013819252084288136,0.5641747141747141,0.027582291550683858,1.3348828156789143,0.042760209830265065,98.0,2.0,256.0,0.0,128.0,0.0,128.0,0.0,3072.0,0.0
l1_fixed250_l2_whole_true_phase,0.9358298018726994,0.012550864380144617,0.6107804232804233,0.033041668121738484,0.6079353516853515,0.035136050305826484,1.2999914089838664,0.048883510263299526,83.33333333333333,22.030282189144405,2176.0,0.0,2048.0,0.0,128.0,0.0,26112.0,0.0
l1_fixed250_l2_whole_destroyed_phase,0.9234805540983513,0.013346783183925369,0.5532948532948533,0.04271650938855413,0.5346380471380471,0.010426533059970669,1.429866075515747,0.032163001014604245,63.333333333333336,12.220201853215574,2176.0,0.0,2048.0,0.0,128.0,0.0,26112.0,0.0
