method,seed,split,full_ba,full_equals_branch_sum_max_error,l1_only_ba,l1_removal_drop,l2_only_ba,l2_removal_drop
l2_whole,11,test,0.5455218392718393,0.0,,0.0,0.5455218392718393,
l2_whole,11,train,0.9215147046540851,0.0,,0.0,0.9215147046540851,
l2_whole,11,val,0.6070226070226071,0.0,,0.0,0.6070226070226071,
l2_whole,23,test,0.5881195193695193,0.0,,0.0,0.5881195193695193,
l2_whole,23,train,0.9099215283623736,0.0,,0.0,0.9099215283623736,
l2_whole,23,val,0.5500420875420876,0.0,,0.0,0.5500420875420876,
l2_whole,37,test,0.5334991397491397,0.0,,0.0,0.5334991397491397,
l2_whole,37,train,0.905983710901947,0.0,,0.0,0.905983710901947,
l2_whole,37,val,0.5753066378066378,0.0,,0.0,0.5753066378066378,
l1_l2_timeshared,11,test,0.5523670773670772,2.384185791015625e-06,0.22750166500166494,0.02489871239871233,0.5274683649683649,0.32486541236541233
l1_l2_timeshared,11,train,0.9261752333954965,3.814697265625e-06,0.3450525604611119,0.009526932368406293,0.9166483010270902,0.5811226729343846
l1_l2_timeshared,11,val,0.595316257816258,1.9073486328125e-06,0.2683982683982684,-0.0064814814814814214,0.6017977392977394,0.32691798941798955
l1_l2_timeshared,23,test,0.5956952769452769,4.291534423828125e-06,0.21882284382284387,0.036081973581973514,0.5596133033633034,0.376872433122433
l1_l2_timeshared,23,train,0.9123966234302867,3.337860107421875e-06,0.3137201548183298,0.023014696872223794,0.8893819265580629,0.5986764686119569
l1_l2_timeshared,23,val,0.5758357383357383,1.6689300537109375e-06,0.30912698412698414,0.03134920634920646,0.5444865319865319,0.2667087542087542
l1_l2_timeshared,37,test,0.5444617882117881,2.1457672119140625e-06,0.1632117882117882,0.013451825951825924,0.5310099622599622,0.38125
l1_l2_timeshared,37,train,0.918891858491467,1.9073486328125e-06,0.21521739737454357,0.025504008415222712,0.8933878500762443,0.7036744611169234
l1_l2_timeshared,37,val,0.568596681096681,1.430511474609375e-06,0.20959595959595959,0.06471861471861473,0.5038780663780663,0.3590007215007215
l1_fixed250_l2_whole_true_phase,11,test,0.5716741591741591,0.0,0.33777472527472535,0.04271769896769895,0.5289564602064601,0.23389943389943374
l1_fixed250_l2_whole_true_phase,11,train,0.9466631238158695,2.9802322387695312e-08,0.5927710041581576,0.030186391416230363,0.9164767323996391,0.35389211965771183
l1_fixed250_l2_whole_true_phase,11,val,0.6365199615199616,0.0,0.390945165945166,0.05496031746031749,0.5815596440596441,0.2455747955747956
l1_fixed250_l2_whole_true_phase,23,test,0.6418262293262292,0.0,0.3445221445221445,0.07626054501054491,0.5655656843156843,0.2973040848040847
l1_fixed250_l2_whole_true_phase,23,train,0.9387500197202829,1.4901161193847656e-08,0.6476825303421202,0.05235836038667152,0.8863916593336114,0.29106748937816274
l1_fixed250_l2_whole_true_phase,23,val,0.6223003848003849,0.0,0.3972643097643098,0.09877344877344885,0.523526936026936,0.22503607503607503
l1_fixed250_l2_whole_true_phase,37,test,0.6103056665556664,0.0,0.26904970029970027,0.06143856143856141,0.548867105117105,0.34125596625596616
l1_fixed250_l2_whole_true_phase,37,train,0.9220762620819456,7.450580596923828e-09,0.48306344232988613,0.0641875988755426,0.857888663206403,0.43901281975205947
l1_fixed250_l2_whole_true_phase,37,val,0.5735209235209234,0.0,0.32209595959595955,0.08849206349206334,0.4850288600288601,0.2514249639249639
l1_fixed250_l2_whole_destroyed_phase,11,test,0.5251255688755688,9.5367431640625e-07,0.16486985236985238,-0.010775335775335737,0.5359009046509046,0.3602557165057164
l1_fixed250_l2_whole_destroyed_phase,11,train,0.9381986176430298,9.5367431640625e-07,0.4174533090005445,0.020731802692586898,0.9174668149504429,0.5207453086424854
l1_fixed250_l2_whole_destroyed_phase,11,val,0.5951479076479077,9.5367431640625e-07,0.2362133237133237,-0.018554593554593435,0.6137025012025011,0.358934583934584
l1_fixed250_l2_whole_destroyed_phase,23,test,0.5457854645354645,9.5367431640625e-07,0.13916430791430792,-0.02771672771672773,0.5735021922521922,0.4066211566211566
l1_fixed250_l2_whole_destroyed_phase,23,train,0.9200801300964053,9.5367431640625e-07,0.4315490032408585,0.030266611975182656,0.8898135181212227,0.48853112685554684
l1_fixed250_l2_whole_destroyed_phase,23,val,0.5097643097643098,4.76837158203125e-07,0.16108104858104857,-0.002020202020201922,0.5117845117845117,0.3486832611832612
l1_fixed250_l2_whole_destroyed_phase,37,test,0.5330031080031079,9.5367431640625e-07,0.200726356976357,-0.010903679653679665,0.5439067876567876,0.3322767510267509
l1_fixed250_l2_whole_destroyed_phase,37,train,0.9121629145556188,9.5367431640625e-07,0.3469367513028902,0.03680743565501232,0.8753554789006065,0.5652261632527287
l1_fixed250_l2_whole_destroyed_phase,37,val,0.5549723424723425,7.152557373046875e-07,0.1283068783068783,0.05605459355459358,0.4989177489177489,0.4266654641654642
