method,split,full_ba_mean,full_ba_std,l1_only_ba_mean,l1_only_ba_std,l2_only_ba_mean,l2_only_ba_std,l1_removal_drop_mean,l1_removal_drop_std,l2_removal_drop_mean,l2_removal_drop_std,full_equals_branch_sum_max_error_mean,full_equals_branch_sum_max_error_std
l2_whole,test,0.5557134994634995,0.028701026472328472,,,0.5557134994634995,0.028701026472328472,0.0,0.0,,,0.0,0.0
l2_whole,train,0.9124733146394686,0.00807382509317708,,,0.9124733146394686,0.00807382509317708,0.0,0.0,,,0.0,0.0
l2_whole,val,0.5774571107904442,0.028551064789391428,,,0.5774571107904442,0.028551064789391428,0.0,0.0,,,0.0,0.0
l1_l2_timeshared,test,0.5641747141747141,0.027582291550683858,0.20317876567876567,0.03488337641553498,0.5393638768638769,0.01762569666738655,0.024810837310837257,0.011315329732883194,0.3609959484959484,0.03136642319028222,2.940495808919271e-06,1.1760909229078884e-06
l1_l2_timeshared,train,0.9191545717724168,0.006893060774745485,0.2913300375513284,0.06775160814955983,0.8998060258871324,0.014722721546164918,0.019348545885284268,0.008596350216558012,0.6278245342210883,0.0662717322336616,3.0199686686197915e-06,9.926156995134986e-07
l1_l2_timeshared,val,0.579916225749559,0.013819252084288136,0.26237373737373737,0.050038259777874024,0.5500541125541125,0.04919668740074185,0.02986211319544659,0.03562333517880809,0.3175424883758217,0.046854848431076575,1.6689300537109375e-06,2.384185791015625e-07
l1_fixed250_l2_whole_true_phase,test,0.6079353516853515,0.035136050305826484,0.3171155233655234,0.04176271575067133,0.5477964165464165,0.018328082359630602,0.06013893513893509,0.016809146365967757,0.2908198283198282,0.05397120015823267,0.0,0.0
l1_fixed250_l2_whole_true_phase,train,0.9358298018726994,0.012550864380144617,0.574505658943388,0.08381573934146229,0.8869190183132178,0.02929759450139009,0.048910783559481495,0.017260789861919142,0.3613241429293113,0.07425214759380741,1.7384688059488933e-08,1.138094985225757e-08
l1_fixed250_l2_whole_true_phase,val,0.6107804232804233,0.033041668121738484,0.37010181176847845,0.04169417557356254,0.5300384800384801,0.048593705564200125,0.08074194324194323,0.022911697706279086,0.24067861151194483,0.013859034164779155,0.0,0.0
l1_fixed250_l2_whole_destroyed_phase,test,0.5346380471380471,0.010426533059970669,0.16825350575350576,0.03092019249366126,0.5511032948532948,0.019806728508027834,-0.01646524771524771,0.009744278819161309,0.3663845413845413,0.03754922810914829,9.5367431640625e-07,0.0
l1_fixed250_l2_whole_destroyed_phase,train,0.9234805540983513,0.013346783183925369,0.39864635451476443,0.045333039245965046,0.8942119373240907,0.021397446683861163,0.029268616774260625,0.008084150518233331,0.5248341995835869,0.038510666364494794,9.5367431640625e-07,0.0
l1_fixed250_l2_whole_destroyed_phase,val,0.5532948532948533,0.04271650938855413,0.17520041686708354,0.055321493658984484,0.5414682539682539,0.06288663015133777,0.011826599326599407,0.039184603238092815,0.3780944364277698,0.04237488591323705,7.152557373046875e-07,2.384185791015625e-07
