method,seed,shift_bins,shift_ms,test_ba
l1_fixed250_l2_whole_true_phase,11,0.0,0.0,0.5716741591741591
l1_fixed250_l2_whole_true_phase,11,1.0,250.0,0.5831231268731268
l1_fixed250_l2_whole_true_phase,11,2.0,500.0,0.5307574370074369
l1_fixed250_l2_whole_true_phase,11,3.0,750.0,0.4116668054168054
l1_fixed250_l2_whole_true_phase,11,4.0,1000.0,0.36591255966255964
l1_fixed250_l2_whole_true_phase,11,5.0,1250.0,0.3572455322455323
l1_fixed250_l2_whole_true_phase,11,6.0,1500.0,0.35228521478521485
l1_fixed250_l2_whole_true_phase,11,7.0,1750.0,0.3589951714951715
l1_fixed250_l2_whole_true_phase,11,8.0,2000.0,0.44382353757353754
l1_fixed250_l2_whole_true_phase,11,9.0,2250.0,0.46421980796980794
l1_fixed250_l2_whole_true_phase,11,10.0,2500.0,0.5062541625041624
l1_fixed250_l2_whole_true_phase,11,11.0,2750.0,0.5402299089799089
l1_fixed250_l2_whole_true_phase,11,12.0,3000.0,0.5221472971472971
l1_fixed250_l2_whole_true_phase,11,13.0,3250.0,0.46426282051282053
l1_fixed250_l2_whole_true_phase,11,14.0,3500.0,0.48536671661671654
l1_fixed250_l2_whole_true_phase,11,15.0,3750.0,0.5091762404262403
l1_fixed250_l2_whole_true_phase,23,0.0,0.0,0.6418262293262292
l1_fixed250_l2_whole_true_phase,23,1.0,250.0,0.6203615828615828
l1_fixed250_l2_whole_true_phase,23,2.0,500.0,0.5243339993339994
l1_fixed250_l2_whole_true_phase,23,3.0,750.0,0.44000166500166493
l1_fixed250_l2_whole_true_phase,23,4.0,1000.0,0.3817945942945942
l1_fixed250_l2_whole_true_phase,23,5.0,1250.0,0.39266011766011766
l1_fixed250_l2_whole_true_phase,23,6.0,1500.0,0.3543303918303919
l1_fixed250_l2_whole_true_phase,23,7.0,1750.0,0.35387251637251643
l1_fixed250_l2_whole_true_phase,23,8.0,2000.0,0.39266011766011766
l1_fixed250_l2_whole_true_phase,23,9.0,2250.0,0.45452464202464204
l1_fixed250_l2_whole_true_phase,23,10.0,2500.0,0.5316551504051504
l1_fixed250_l2_whole_true_phase,23,11.0,2750.0,0.5698946886446886
l1_fixed250_l2_whole_true_phase,23,12.0,3000.0,0.542748223998224
l1_fixed250_l2_whole_true_phase,23,13.0,3250.0,0.5068986568986568
l1_fixed250_l2_whole_true_phase,23,14.0,3500.0,0.5208846708846708
l1_fixed250_l2_whole_true_phase,23,15.0,3750.0,0.55759102009102
l1_fixed250_l2_whole_true_phase,37,0.0,0.0,0.6103056665556664
l1_fixed250_l2_whole_true_phase,37,1.0,250.0,0.589375208125208
l1_fixed250_l2_whole_true_phase,37,2.0,500.0,0.5867098179598179
l1_fixed250_l2_whole_true_phase,37,3.0,750.0,0.4375006937506938
l1_fixed250_l2_whole_true_phase,37,4.0,1000.0,0.3624576812076812
l1_fixed250_l2_whole_true_phase,37,5.0,1250.0,0.3584512709512709
l1_fixed250_l2_whole_true_phase,37,6.0,1500.0,0.3715714840714841
l1_fixed250_l2_whole_true_phase,37,7.0,1750.0,0.3810550560550561
l1_fixed250_l2_whole_true_phase,37,8.0,2000.0,0.4006618381618381
l1_fixed250_l2_whole_true_phase,37,9.0,2250.0,0.44398795648795647
l1_fixed250_l2_whole_true_phase,37,10.0,2500.0,0.5098699911199911
l1_fixed250_l2_whole_true_phase,37,11.0,2750.0,0.5514825452325453
l1_fixed250_l2_whole_true_phase,37,12.0,3000.0,0.5412011599511599
l1_fixed250_l2_whole_true_phase,37,13.0,3250.0,0.5048174048174048
l1_fixed250_l2_whole_true_phase,37,14.0,3500.0,0.5033522033522033
l1_fixed250_l2_whole_true_phase,37,15.0,3750.0,0.5320859695859695
