width,depth,mean_best_epoch,mean_train_ba,sd_train_ba,mean_val_ba,sd_val_ba,mean_val_macro_f1,mean_output_firing_rate,mean_network_firing_rate,backbone_params,readout_params,total_params,generalization_gap
128,2,77.66666666666667,0.729460736224286,0.026127700761934842,0.5037938912938913,0.005663707262223092,0.5145140381765619,0.10042040987524264,0.017955390285863283,21760,1452,23212,0.22566684493039468
128,3,76.66666666666667,0.4530834787038343,0.021781840336166636,0.20209435626102293,0.018116663715887223,0.19417086901232525,0.022720178698582703,0.004777163257542505,38144,1452,39596,0.25098912244281135
128,4,75.66666666666667,0.23950005899226248,0.08821262376529285,0.10515873015873016,0.009770692263686608,0.05415087131371205,0.0063134638457261584,0.0013490517378681396,54528,1452,55980,0.13434132883353234
