user,cv_fold
user_1,0
user_15,0
user_18,0
user_20,0
user_10,1
user_12,1
user_2,1
user_6,1
user_13,2
user_5,2
user_7,2
user_8,2
user_0,3
user_14,3
user_16,3
user_3,3
user_11,4
user_19,4
user_4,4
user_9,4
